Parameter,Unit,Value
"Total current",mA,1.99875
"Total power",mW,6.59587
"Output common mode",V,1.64508
"Output common-mode error",mV,-4.92217
"Output differential DC",mV,-0.000170117
"Expected gain",V/V,480
"Expected gain",dB,53.6248
"Differential gain",V/V,465.918
"Differential gain",dB,53.3662
"Gain error",%,-0.4823
"LP -1dB corner",Hz,155.736
"LP -3dB corner",Hz,305.336
"Gain at 0.05 Hz",dB,53.3662
"Gain at 150 Hz",dB,52.4313
"Gain flatness 0.05-150 Hz",dB,0.930668
"CMRR @ 0.05 Hz",dB,216.839
"CMRR @ 60 Hz",dB,216.839
"CMRR @ 150 Hz",dB,216.838
"CMRR @ 1 kHz",dB,216.792
"PSRR+ @ 0.05 Hz",dB,176.217
"PSRR+ @ 60 Hz",dB,176.217
"PSRR+ @ 150 Hz",dB,176.217
"PSRR+ @ 1 kHz",dB,176.215
"PSRR- @ 0.05 Hz",dB,223.026
"PSRR- @ 60 Hz",dB,222.935
"PSRR- @ 150 Hz",dB,222.482
"PSRR- @ 1 kHz",dB,214.6
"Input-referred noise",uVrms,1.89243
"Vout,diff 0.5m",V,NaN
"Vout,diff 5m",V,NaN
"Vout,diff p-p 0.5m",V,NaN
"Vout,diff p-p 5m",V,NaN
