 frequency              onoise_spectrum       
 1.000000000000000e-02  2.517504713693946e-03 
 1.002305238077900e-02  2.514400083642160e-03 
 1.004615790278395e-02  2.511299321383361e-03 
 1.006931668851804e-02  2.508202422057961e-03 
 1.009252886076684e-02  2.505109380812525e-03 
 1.011579454259898e-02  2.502020192799748e-03 
 1.013911385736679e-02  2.498934853178466e-03 
 1.016248692870695e-02  2.495853357113634e-03 
 1.018591388054116e-02  2.492775699776320e-03 
 1.020939483707679e-02  2.489701876343709e-03 
 1.023292992280754e-02  2.486631881999078e-03 
 1.025651926251407e-02  2.483565711931800e-03 
 1.028016298126473e-02  2.480503361337338e-03 
 1.030386120441615e-02  2.477444825417224e-03 
 1.032761405761397e-02  2.474390099379063e-03 
 1.035142166679343e-02  2.471339178436524e-03 
 1.037528415818012e-02  2.468292057809326e-03 
 1.039920165829058e-02  2.465248732723237e-03 
 1.042317429393303e-02  2.462209198410066e-03 
 1.044720219220799e-02  2.459173450107648e-03 
 1.047128548050898e-02  2.456141483059844e-03 
 1.049542428652321e-02  2.453113292516531e-03 
 1.051961873823222e-02  2.450088873733595e-03 
 1.054386896391258e-02  2.447068221972918e-03 
 1.056817509213657e-02  2.444051332502382e-03 
 1.059253725177288e-02  2.441038200595849e-03 
 1.061695557198723e-02  2.438028821533159e-03 
 1.064143018224315e-02  2.435023190600122e-03 
 1.066596121230256e-02  2.432021303088514e-03 
 1.069054879222656e-02  2.429023154296060e-03 
 1.071519305237605e-02  2.426028739526438e-03 
 1.073989412341243e-02  2.423038054089261e-03 
 1.076465213629833e-02  2.420051093300079e-03 
 1.078946722229827e-02  2.417067852480362e-03 
 1.081433951297936e-02  2.414088326957498e-03 
 1.083926914021202e-02  2.411112512064786e-03 
 1.086425623617064e-02  2.408140403141428e-03 
 1.088930093333432e-02  2.405171995532518e-03 
 1.091440336448755e-02  2.402207284589038e-03 
 1.093956366272092e-02  2.399246265667850e-03 
 1.096478196143183e-02  2.396288934131688e-03 
 1.099005839432519e-02  2.393335285349149e-03 
 1.101539309541413e-02  2.390385314694689e-03 
 1.104078619902071e-02  2.387439017548616e-03 
 1.106623783977664e-02  2.384496389297073e-03 
 1.109174815262399e-02  2.381557425332045e-03 
 1.111731727281589e-02  2.378622121051340e-03 
 1.114294533591727e-02  2.375690471858591e-03 
 1.116863247780558e-02  2.372762473163237e-03 
 1.119437883467149e-02  2.369838120380529e-03 
 1.122018454301961e-02  2.366917408931508e-03 
 1.124604973966923e-02  2.364000334243015e-03 
 1.127197456175507e-02  2.361086891747666e-03 
 1.129795914672795e-02  2.358177076883856e-03 
 1.132400363235554e-02  2.355270885095748e-03 
 1.135010815672312e-02  2.352368311833271e-03 
 1.137627285823428e-02  2.349469352552096e-03 
 1.140249787561165e-02  2.346574002713654e-03 
 1.142878334789768e-02  2.343682257785103e-03 
 1.145512941445532e-02  2.340794113239345e-03 
 1.148153621496879e-02  2.337909564554996e-03 
 1.150800388944432e-02  2.335028607216393e-03 
 1.153453257821089e-02  2.332151236713585e-03 
 1.156112242192095e-02  2.329277448542325e-03 
 1.158777356155122e-02  2.326407238204052e-03 
 1.161448613840339e-02  2.323540601205909e-03 
 1.164126029410487e-02  2.320677533060705e-03 
 1.166809617060959e-02  2.317818029286928e-03 
 1.169499391019867e-02  2.314962085408739e-03 
 1.172195365548126e-02  2.312109696955949e-03 
 1.174897554939526e-02  2.309260859464026e-03 
 1.177605973520803e-02  2.306415568474083e-03 
 1.180320635651725e-02  2.303573819532870e-03 
 1.183041555725160e-02  2.300735608192767e-03 
 1.185768748167156e-02  2.297900930011780e-03 
 1.188502227437014e-02  2.295069780553527e-03 
 1.191242008027370e-02  2.292242155387240e-03 
 1.193988104464268e-02  2.289418050087752e-03 
 1.196740531307238e-02  2.286597460235488e-03 
 1.199499303149374e-02  2.283780381416464e-03 
 1.202264434617408e-02  2.280966809222275e-03 
 1.205035940371792e-02  2.278156739250091e-03 
 1.207813835106775e-02  2.275350167102646e-03 
 1.210598133550477e-02  2.272547088388240e-03 
 1.213388850464972e-02  2.269747498720718e-03 
 1.216186000646362e-02  2.266951393719473e-03 
 1.218989598924861e-02  2.264158769009439e-03 
 1.221799660164866e-02  2.261369620221077e-03 
 1.224616199265043e-02  2.258583942990374e-03 
 1.227439231158401e-02  2.255801732958837e-03 
 1.230268770812376e-02  2.253022985773479e-03 
 1.233104833228903e-02  2.250247697086819e-03 
 1.235947433444504e-02  2.247475862556871e-03 
 1.238796586530363e-02  2.244707477847139e-03 
 1.241652307592405e-02  2.241942538626608e-03 
 1.244514611771379e-02  2.239181040569741e-03 
 1.247383514242937e-02  2.236422979356465e-03 
 1.250259030217714e-02  2.233668350672174e-03 
 1.253141174941410e-02  2.230917150207712e-03 
 1.256029963694868e-02  2.228169373659370e-03 
 1.258925411794161e-02  2.225425016728886e-03 
 1.261827534590664e-02  2.222684075123423e-03 
 1.264736347471144e-02  2.219946544555579e-03 
 1.267651865857839e-02  2.217212420743365e-03 
 1.270574105208535e-02  2.214481699410212e-03 
 1.273503081016655e-02  2.211754376284946e-03 
 1.276438808811337e-02  2.209030447101806e-03 
 1.279381304157517e-02  2.206309907600414e-03 
 1.282330582656014e-02  2.203592753525782e-03 
 1.285286659943608e-02  2.200878980628298e-03 
 1.288249551693127e-02  2.198168584663723e-03 
 1.291219273613527e-02  2.195461561393182e-03 
 1.294195841449979e-02  2.192757906583161e-03 
 1.297179270983948e-02  2.190057616005494e-03 
 1.300169578033283e-02  2.187360685437362e-03 
 1.303166778452292e-02  2.184667110661283e-03 
 1.306170888131834e-02  2.181976887465107e-03 
 1.309181922999399e-02  2.179290011642005e-03 
 1.312199899019195e-02  2.176606478990469e-03 
 1.315224832192230e-02  2.173926285314300e-03 
 1.318256738556399e-02  2.171249426422605e-03 
 1.321295634186567e-02  2.168575898129785e-03 
 1.324341535194656e-02  2.165905696255535e-03 
 1.327394457729731e-02  2.163238816624830e-03 
 1.330454417978083e-02  2.160575255067926e-03 
 1.333521432163316e-02  2.157915007420346e-03 
 1.336595516546434e-02  2.155258069522879e-03 
 1.339676687425926e-02  2.152604437221569e-03 
 1.342764961137855e-02  2.149954106367714e-03 
 1.345860354055940e-02  2.147307072817850e-03 
 1.348962882591645e-02  2.144663332433754e-03 
 1.352072563194268e-02  2.142022881082435e-03 
 1.355189412351027e-02  2.139385714636118e-03 
 1.358313446587145e-02  2.136751828972253e-03 
 1.361444682465941e-02  2.134121219973498e-03 
 1.364583136588915e-02  2.131493883527712e-03 
 1.367728825595840e-02  2.128869815527954e-03 
 1.370881766164844e-02  2.126249011872475e-03 
 1.374041975012506e-02  2.123631468464706e-03 
 1.377209468893937e-02  2.121017181213257e-03 
 1.380384264602875e-02  2.118406146031910e-03 
 1.383566378971771e-02  2.115798358839610e-03 
 1.386755828871878e-02  2.113193815560458e-03 
 1.389952631213343e-02  2.110592512123712e-03 
 1.393156802945293e-02  2.107994444463767e-03 
 1.396368361055927e-02  2.105399608520161e-03 
 1.399587322572608e-02  2.102808000237562e-03 
 1.402813704561948e-02  2.100219615565762e-03 
 1.406047524129903e-02  2.097634450459675e-03 
 1.409288798421864e-02  2.095052500879324e-03 
 1.412537544622743e-02  2.092473762789837e-03 
 1.415793779957071e-02  2.089898232161440e-03 
 1.419057521689081e-02  2.087325904969457e-03 
 1.422328787122809e-02  2.084756777194294e-03 
 1.425607593602177e-02  2.082190844821436e-03 
 1.428893958511092e-02  2.079628103841442e-03 
 1.432187899273532e-02  2.077068550249938e-03 
 1.435489433353644e-02  2.074512180047610e-03 
 1.438798578255834e-02  2.071958989240199e-03 
 1.442115351524857e-02  2.069408973838490e-03 
 1.445439770745916e-02  2.066862129858314e-03 
 1.448771853544750e-02  2.064318453320534e-03 
 1.452111617587730e-02  2.061777940251037e-03 
 1.455459080581954e-02  2.059240586680739e-03 
 1.458814260275336e-02  2.056706388645566e-03 
 1.462177174456706e-02  2.054175342186459e-03 
 1.465547840955899e-02  2.051647443349354e-03 
 1.468926277643854e-02  2.049122688185189e-03 
 1.472312502432706e-02  2.046601072749888e-03 
 1.475706533275882e-02  2.044082593104363e-03 
 1.479108388168194e-02  2.041567245314499e-03 
 1.482518085145941e-02  2.039055025451157e-03 
 1.485935642286994e-02  2.036545929590156e-03 
 1.489361077710902e-02  2.034039953812280e-03 
 1.492794409578983e-02  2.031537094203259e-03 
 1.496235656094420e-02  2.029037346853774e-03 
 1.499684835502360e-02  2.026540707859442e-03 
 1.503141966090009e-02  2.024047173320816e-03 
 1.506607066186728e-02  2.021556739343371e-03 
 1.510080154164134e-02  2.019069402037509e-03 
 1.513561248436194e-02  2.016585157518543e-03 
 1.517050367459323e-02  2.014104001906694e-03 
 1.520547529732481e-02  2.011625931327082e-03 
 1.524052753797277e-02  2.009150941909733e-03 
 1.527566058238058e-02  2.006679029789550e-03 
 1.531087461682015e-02  2.004210191106328e-03 
 1.534616982799280e-02  2.001744422004735e-03 
 1.538154640303020e-02  1.999281718634311e-03 
 1.541700452949544e-02  1.996822077149460e-03 
 1.545254439538399e-02  1.994365493709445e-03 
 1.548816618912466e-02  1.991911964478382e-03 
 1.552387009958067e-02  1.989461485625232e-03 
 1.555965631605059e-02  1.987014053323796e-03 
 1.559552502826938e-02  1.984569663752712e-03 
 1.563147642640939e-02  1.982128313095439e-03 
 1.566751070108133e-02  1.979689997540268e-03 
 1.570362804333537e-02  1.977254713280293e-03 
 1.573982864466204e-02  1.974822456513427e-03 
 1.577611269699333e-02  1.972393223442381e-03 
 1.581248039270367e-02  1.969967010274666e-03 
 1.584893192461097e-02  1.967543813222582e-03 
 1.588546748597763e-02  1.965123628503217e-03 
 1.592208727051154e-02  1.962706452338433e-03 
 1.595879147236716e-02  1.960292280954870e-03 
 1.599558028614652e-02  1.957881110583931e-03 
 1.603245390690025e-02  1.955472937461781e-03 
 1.606941253012861e-02  1.953067757829341e-03 
 1.610645635178254e-02  1.950665567932278e-03 
 1.614358556826469e-02  1.948266364021002e-03 
 1.618080037643049e-02  1.945870142350664e-03 
 1.621810097358913e-02  1.943476899181139e-03 
 1.625548755750467e-02  1.941086630777031e-03 
 1.629296032639705e-02  1.938699333407659e-03 
 1.633051947894317e-02  1.936315003347058e-03 
 1.636816521427791e-02  1.933933636873969e-03 
 1.640589773199521e-02  1.931555230271830e-03 
 1.644371723214914e-02  1.929179779828779e-03 
 1.648162391525490e-02  1.926807281837638e-03 
 1.651961798228997e-02  1.924437732595915e-03 
 1.655769963469510e-02  1.922071128405791e-03 
 1.659586907437542e-02  1.919707465574123e-03 
 1.663412650370151e-02  1.917346740412427e-03 
 1.667247212551044e-02  1.914988949236884e-03 
 1.671090614310689e-02  1.912634088368322e-03 
 1.674942876026419e-02  1.910282154132220e-03 
 1.678804018122541e-02  1.907933142858697e-03 
 1.682674061070448e-02  1.905587050882508e-03 
 1.686553025388722e-02  1.903243874543037e-03 
 1.690440931643245e-02  1.900903610184291e-03 
 1.694337800447309e-02  1.898566254154896e-03 
 1.698243652461725e-02  1.896231802808086e-03 
 1.702158508394931e-02  1.893900252501706e-03 
 1.706082389003104e-02  1.891571599598201e-03 
 1.710015315090268e-02  1.889245840464604e-03 
 1.713957307508406e-02  1.886922971472543e-03 
