Parameter,Unit,Spec,Min,MeanMinus3Sigma,MeanMinusSigma,Mean,MeanPlusSigma,MeanPlus3Sigma,Max,Yield_pct
Total current,mA,≤6.2,3.64937,3.60530284802268,3.77929781600756,3.8662953,3.95329278399244,4.12728775197732,4.14765,100.00
Total power,mW,≤22,12.0429,11.8974882181563,12.4716787393854,12.758774,13.0458692606146,13.6200597818437,13.6873,100.00
Output CM error,mV,±40,-10.8932,-13.6554907748514,-4.22458739261714,0.4908642985,5.20631598961714,14.6372193718514,13.2105,100.00
Input-referred offset,uV,±2500,-1757.41,-1948.98491580021,-653.519155666736,-5.78627559999997,641.946604466736,1937.41236460021,2412.94,100.00
S1 gain,V/V,,59.8244,59.8444314899229,59.9469901633077,59.9982695,60.0495488366924,60.1521075100771,60.1399,
S1 gain error,%,±0.5,-0.292666666666674,-0.25928085012845,-0.0883497278205942,-0.00288416666666624,0.0825813944872617,0.253512516795117,0.233166666666662,100.00
S2 gain,V/V,,3.99624,3.99681077808472,3.99895142602824,4.00002175,4.00109207397176,4.00323272191528,4.00319,
S2 gain error,%,±0.25,-0.0940000000000052,-0.0797305478819482,-0.0262143492939829,0.000543749999999843,0.0273018492939825,0.0808180478819479,0.0797500000000007,100.00
INA gain,V/V,,239.073,239.187204431539,239.725394810513,239.99449,240.263585189487,240.801775568461,240.751,
INA gain error,%,±0.5,-0.386249999999999,-0.338664820192039,-0.114418828952902,-0.00229583333333322,0.109827162286235,0.334073153525373,0.312916666666663,100.00
INA CMRR @ 60 Hz,dB,≥80,96.7803,84.9954729443339,102.128208314778,110.694576,119.260943685222,136.393679055666,139.578,100.00
INA CMRR @ 150 Hz,dB,≥80,96.7806,85.450807985165,102.230446995055,110.6202665,119.010086004945,135.789725014835,138.767,100.00
RLD -3 dB bandwidth,Hz,≥150,160.929,155.414298685912,174.214249561971,183.614225,193.014200438029,211.814151314088,207.221,100.00
RLD phase margin,deg,≥60,62.028,61.5089222766951,63.148144425565,63.9677555,64.787366574435,66.4265887233049,66.1352,100.00
Input CM suppression @ 60 Hz,dB,≥35,37.1096,37.1009189756462,37.1868046585487,37.2297475,37.2726903414513,37.3585760243538,37.3223,100.00
Input CM suppression @ 150 Hz,dB,≥25,27.2315,27.1788859927486,27.5480529975829,27.7326365,27.9172200024171,28.2863870072514,28.1478,100.00
