Parameter,Unit,Spec,Min,MeanMinus3Sigma,MeanMinusSigma,Mean,MeanPlusSigma,MeanPlus3Sigma,Max,Yield_pct
Total current,mA,≤6.2,3.7208,3.68730830851303,3.80717323617101,3.8671057,3.92703816382899,4.04690309148697,4.04806,100.00
Total power,mW,≤22,12.2786,12.1681218708792,12.5636729569597,12.7614485,12.9592240430403,13.3547751291208,13.3586,100.00
Output CM error,mV,±40,-3.51299,-4.59648429357031,-1.27930096585677,0.379290698,2.03788236185677,5.35506568957031,5.37652,100.00
Input-referred offset,uV,±2000,-0.00214162,-0.00123052184472345,-0.000402155303841149,1.20279666e-05,0.000426211237041149,0.00125457777792345,0.00129024,100.00
S1 gain,V/V,,59.8292,59.849536849383,59.951946616461,60.0031515,60.054356383539,60.156766150617,60.1461,
S1 gain error,%,±0.5,-0.284666666666666,-0.250771917694935,-0.0800889725649784,0.00525250000000005,0.0905939725649785,0.261276917694935,0.243499999999996,100.00
S2 gain,V/V,,3.99624,3.99681135944121,3.99895175314707,4.00002195,4.00109214685293,4.00323254055879,4.00319,
S2 gain error,%,±0.25,-0.0940000000000052,-0.0797160139697091,-0.0262061713232364,0.000548749999999987,0.0273036713232363,0.0808135139697091,0.0797500000000007,100.00
INA gain,V/V,,239.092,239.207280232101,239.7450934107,240.014,240.2829065893,240.820719767899,240.777,
INA gain error,%,±0.5,-0.378333,-0.330237437741265,-0.106185950523755,0.005839793085,0.117865536693755,0.341917023911265,0.323583,100.00
INA CMRR @ 60 Hz,dB,≥80,208.736,189.434389621185,215.594459873728,228.674495,241.754530126272,267.914600378815,341.896,100.00
INA CMRR @ 150 Hz,dB,≥80,208.744,191.052032421215,216.018570807072,228.50184,240.985109192928,265.951647578785,335.67,100.00
RLD loop UGF,kHz,1.05±0.55,0.820019,0.786058285160455,0.894149971720152,0.948195815,1.00224165827985,1.11033334483954,1.08595,100.00
RLD phase margin,deg,≥60,100.505,100.489881320695,100.609460440232,100.66925,100.729039559768,100.848618679305,100.817,100.00
Input CM suppression @ 60 Hz,dB,≥50,54.9593,54.9509610662467,55.0335533554156,55.0748495,55.1161456445844,55.1987379337533,55.1642,100.00
Input CM suppression @ 150 Hz,dB,≥45,52.7892,52.731322050394,53.081638016798,53.256796,53.431953983202,53.782269949606,53.6459,100.00
