Parameter,Unit,Spec,NOM,FF,SS,FS,SF,VL,VH,TL,TH
Set conditions,,,,,,,,,,,
AVDD,V,,3.300,3.300,3.300,3.300,3.300,3.000,3.600,3.300,3.300
Temperature,C,,27.000,27.000,27.000,27.000,27.000,27.000,27.000,-40.000,125.000
S1 target gain,V/V,,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000
S2 target gain,V/V,,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
INA target gain,V/V,,240.000,240.000,240.000,240.000,240.000,240.000,240.000,240.000,240.000
,,,,,,,,,,,
Operating point,,,,,,,,,,,
Total current,mA,≤6.2,3.860,4.474,3.366,3.977,3.742,3.771,3.930,3.123,4.491
Total power,mW,≤22,12.738,14.765,11.108,13.124,12.348,11.314,14.149,10.307,14.819
Output CM error,mV,±40,0.395,-1.839,2.750,1.748,-1.018,0.365,0.415,-6.736,10.542
Input-referred offset,uV,±2000,0.000,-0.000,-0.000,0.001,-0.001,0.001,-0.001,0.001,0.001
,,,,,,,,,,,
INA,,,,,,,,,,,
S1 gain,V/V,,60.006,59.940,60.047,60.005,60.005,59.997,60.012,59.982,60.017
S1 gain dB,dB,,35.564,35.554,35.570,35.564,35.564,35.563,35.565,35.560,35.566
S1 gain error,%,±0.5,0.009,-0.100,0.079,0.008,0.009,-0.004,0.020,-0.030,0.029
S1 -3 dB bandwidth,kHz,≥150,261.757,330.834,211.064,268.045,255.398,257.167,265.190,273.784,227.570
S2 gain,V/V,,4.000,3.999,4.001,4.000,4.000,4.000,4.000,3.999,4.001
S2 gain dB,dB,,12.041,12.039,12.043,12.041,12.041,12.041,12.041,12.040,12.043
S2 gain error,%,±0.25,0.002,-0.030,0.023,0.001,0.002,1.915e-04,0.003,-0.015,0.019
S2 -3 dB bandwidth,MHz,≥1.5,2.647,3.409,2.100,2.717,2.578,2.597,2.683,2.752,2.321
INA gain,V/V,,240.027,239.689,240.243,240.021,240.026,239.990,240.055,239.892,240.113
INA gain dB,dB,,47.605,47.593,47.613,47.605,47.605,47.604,47.606,47.600,47.608
INA gain error,%,±0.5,0.011,-0.130,0.101,0.009,0.011,-0.004,0.023,-0.045,0.047
Gain flatness 0.05-150 Hz,dB,≤0.1,1.432e-06,8.999e-07,2.208e-06,1.368e-06,1.505e-06,1.483e-06,1.395e-06,1.312e-06,1.894e-06
INA -3 dB bandwidth,kHz,≥150,259.286,327.841,209.004,265.524,252.978,254.746,262.678,271.141,225.472
INA CMRR @ 60 Hz,dB,≥80,225.384,218.695,239.259,210.445,234.189,219.116,216.820,220.541,224.778
INA CMRR @ 150 Hz,dB,≥80,225.265,218.650,238.714,210.430,233.703,219.124,216.476,220.533,224.856
INA PSRR+ @ 60 Hz,dB,≥80,200.677,196.205,194.996,190.667,195.734,194.571,198.889,198.572,197.597
INA PSRR+ @ 150 Hz,dB,≥80,200.748,196.207,182.098,210.536,198.848,194.607,198.945,198.522,197.661
INA PSRR- @ 60 Hz,dB,≥80,216.490,219.881,220.373,244.774,228.583,221.746,239.552,212.358,210.978
INA PSRR- @ 150 Hz,dB,≥80,216.000,219.821,221.122,255.255,228.819,221.743,243.891,212.540,210.978
Input-referred noise 0.05-150 Hz,uVrms,≤4,2.667,2.536,2.803,2.633,2.703,2.668,2.668,2.524,2.954
,,,,,,,,,,,
RLD,,,,,,,,,,,
RLD loop UGF,kHz,1.05±0.55,0.946,1.313,0.717,0.946,0.946,0.946,0.946,0.839,1.082
RLD phase margin,deg,≥60,100.672,100.310,100.899,100.689,100.655,100.644,100.697,100.779,100.540
Input CM suppression @ 60 Hz,dB,≥50,55.072,55.254,54.807,55.074,55.070,55.068,55.075,54.973,55.160
Input CM suppression @ 150 Hz,dB,≥45,53.257,54.098,52.233,53.269,53.245,53.237,53.275,52.853,53.651
RLD output rail headroom,V,≥0.1,1.647,1.647,1.647,1.647,1.647,1.497,1.797,1.647,1.647
CM Interference Gain Change,%,±0.1,-3.724e-05,-5.156e-04,-3.258e-04,-2.836e-04,-2.270e-04,-5.445e-04,-3.291e-04,-1.896e-04,-4.596e-04
