Parameter,Unit,Spec,Min,MeanMinus3Sigma,MeanMinusSigma,Mean,MeanPlusSigma,MeanPlus3Sigma,Max,Yield_pct
Total current,mA,≤6.2,3.66978,3.67243801278557,3.79700353759519,3.8592863,3.92156906240481,4.04613458721443,4.04826,100.00
Total power,mW,≤22,12.1103,12.1190282716876,12.5301070905625,12.7356465,12.9411859094375,13.3522647283125,13.3593,100.00
Output CM error,mV,±40,-10.539,-13.4402187969911,-4.49431981433038,-0.021370323,4.45157916833038,13.3974781509911,12.1504,100.00
Input-referred offset,uV,±2500,-1756.44,-1948.43007863095,-653.267415143652,-5.6860834,641.895248343651,1937.05791183095,2408.81,100.00
S1 gain,V/V,,59.9981,59.9981927163372,59.9998629054457,60.000698,60.0015330945543,60.0032032836628,60.0028,
S1 gain error,%,±0.5,-0.00316666666666521,-0.00301213943801814,-0.000228490923782961,0.00116333333333463,0.00255515759045221,0.00533880610468739,0.00466666666667503,100.00
S2 gain,V/V,,4.00039,4.00039699247176,4.00039899749059,4.0004,4.00040100250942,4.00040300752825,4.00041,
S2 gain error,%,±0.25,0.00975000000000836,0.00992481179393418,0.00997493726464399,0.0099999999999989,0.0100250627353538,0.0100751882060636,0.0102499999999894,100.00
INA gain,V/V,,240.016,240.016636530326,240.023468843442,240.026885,240.030301156558,240.037133469674,240.036,
INA gain error,%,±0.5,0.00666666666666593,0.00693188763595094,0.00977868476753909,0.0112020833333332,0.0126254818991272,0.0154722790307154,0.0150000000000095,100.00
INA CMRR @ 60 Hz,dB,≥80,96.6046,84.6282580926755,102.035278364225,110.7387885,119.442298635775,136.849318907325,139.113,100.00
INA CMRR @ 150 Hz,dB,≥80,96.6049,85.123042993969,102.146010664656,110.6574945,119.168978335344,136.191946006031,137.938,100.00
RLD -3 dB bandwidth,Hz,≥150,183.303,183.302088249471,183.30307941649,183.303575,183.30407058351,183.305061750529,183.304,100.00
RLD phase margin,deg,≥60,63.9813,63.9812737139041,63.981498237968,63.9816105,63.9817227620319,63.9819472860959,63.982,100.00
Input CM suppression @ 60 Hz,dB,≥35,37.2311,37.2310956750421,37.2311978916807,37.231249,37.2313001083193,37.2314023249579,37.2313,100.00
Input CM suppression @ 150 Hz,dB,≥25,27.736,27.7359931181361,27.7360950393787,27.736146,27.7361969606213,27.736298881864,27.7362,100.00
