Parameter,Unit,Spec,NOM,FF,SS,FS,SF,VL,VH,TL,TH
"Set conditions",,,,,,,,,,,
"AVDD",V,,3.300,3.300,3.300,3.300,3.300,3.000,3.600,3.300,3.300
"Temperature",C,,27.000,27.000,27.000,27.000,27.000,27.000,27.000,-40.000,125.000
"S1 target gain",V/V,,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000
"S2 target gain",V/V,,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
"INA target gain",V/V,,240.000,240.000,240.000,240.000,240.000,240.000,240.000,240.000,240.000
"",,,,,,,,,,,
"Operating point",,,,,,,,,,,
"Total current",mA,≤6.2,3.860,4.090,3.636,3.977,3.742,3.771,3.930,3.123,4.491
"Total power",mW,≤22,12.738,13.496,11.998,13.124,12.348,11.314,14.149,10.307,14.819
"Output CM error",mV,±40,-0.134,-2.734,2.570,1.218,-1.541,-0.164,-0.110,-7.165,9.897
"Input-referred offset",uV,±2500,-0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,-0.000,-0.000
"",,,,,,,,,,,
"INA",,,,,,,,,,,
"S1 gain",V/V,,60.001,60.010,59.990,60.000,60.000,59.993,60.007,59.977,60.012
"S1 gain dB",dB,,35.563,35.564,35.562,35.563,35.563,35.562,35.564,35.560,35.565
"S1 gain error",%,±0.5,0.001,0.016,-0.017,-5.630e-04,6.060e-04,-0.012,0.012,-0.038,0.021
"S1 -3 dB bandwidth",kHz,≥150,261.753,277.682,246.432,267.999,255.358,257.117,265.171,273.775,227.559
"S2 gain",V/V,,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.001
"S2 gain dB",dB,,12.042,12.042,12.042,12.042,12.042,12.042,12.042,12.041,12.044
"S2 gain error",%,±0.25,0.010,0.011,0.009,0.010,0.010,0.009,0.011,-0.007,0.028
"S2 -3 dB bandwidth",MHz,≥1.5,2.616,2.758,2.478,2.681,2.550,2.574,2.646,2.715,2.297
"INA gain",V/V,,240.027,240.064,239.982,240.022,240.026,239.992,240.054,239.890,240.117
"INA gain dB",dB,,47.605,47.607,47.604,47.605,47.605,47.604,47.606,47.600,47.608
"INA gain error",%,±0.5,0.011,0.027,-0.007,0.009,0.011,-0.003,0.023,-0.046,0.049
"Gain flatness 0.05-150 Hz",dB,≤0.1,1.433e-06,1.273e-06,1.616e-06,1.367e-06,1.505e-06,1.485e-06,1.396e-06,1.314e-06,1.896e-06
"INA -3 dB bandwidth",kHz,≥150,259.131,274.931,244.032,265.376,252.861,254.598,262.572,270.975,225.342
"Input range low",mV,≤-5,-12.800,-12.850,-12.750,-12.750,-12.850,-11.550,-14.050,-13.000,-12.500
"Input range high",mV,≥5,12.800,12.850,12.750,12.750,12.850,11.550,14.050,13.000,12.500
"Output range low",V,≤-1.2,-3.071,-3.084,-3.059,-3.059,-3.083,-2.771,-3.372,-3.118,-3.000
"Output range high",V,≥1.2,3.071,3.084,3.059,3.059,3.083,2.771,3.372,3.118,3.000
"INA CMRR @ 60 Hz",dB,≥80,229.590,223.271,227.280,226.808,217.890,217.802,212.227,230.347,221.399
"INA CMRR @ 150 Hz",dB,≥80,229.396,223.362,227.283,226.955,217.890,217.966,212.202,230.344,221.348
"INA PSRR+ @ 60 Hz",dB,≥80,210.166,199.413,216.520,203.727,192.655,187.799,201.265,190.093,196.425
"INA PSRR+ @ 150 Hz",dB,≥80,210.166,199.415,216.519,203.727,192.655,187.799,201.265,190.093,196.423
"INA PSRR- @ 60 Hz",dB,≥80,225.095,220.988,224.527,221.532,215.182,211.424,209.943,225.876,221.082
"INA PSRR- @ 150 Hz",dB,≥80,225.250,220.900,224.525,221.431,215.182,211.322,209.969,225.877,221.148
"Input-referred noise 0.05-150 Hz",uVrms,≤4,2.677,2.561,2.798,2.644,2.713,2.678,2.678,2.532,2.967
"THD @ 60 Hz, 5 mVpp",%,≤0.05,1.515e-05,2.707e-05,2.917e-05,2.393e-05,2.982e-05,3.238e-05,3.099e-05,1.469e-05,3.592e-05
"",,,,,,,,,,,
"RLD",,,,,,,,,,,
"RTI residual - BAL",uVpp,≤1000,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.005
"RTI residual - MIS-P",uVpp,≤1000,8.518,8.288,8.753,8.374,8.668,8.762,8.295,8.731,8.281
"RTI residual - MIS-N",uVpp,≤1000,8.518,8.288,8.753,8.373,8.667,8.762,8.295,8.731,8.280
"RTI residual - MIS-RLD",uVpp,≤1000,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.004
"RLD gain",V/V,,4.999,4.999,4.999,4.999,4.999,4.999,4.999,4.999,4.999
"RLD -3 dB bandwidth",Hz,≥150,182.771,182.780,182.763,182.777,182.766,182.763,182.779,163.969,205.947
"RLD phase margin",deg,≥60,64.006,64.011,64.001,64.009,64.003,64.001,64.010,65.786,62.127
"Input CM suppression @ 60 Hz",dB,≥35,37.231,37.235,37.227,37.233,37.229,37.227,37.235,37.129,37.324
"Input CM suppression @ 150 Hz",dB,≥25,27.735,27.739,27.732,27.738,27.733,27.731,27.739,27.317,28.141
