Parameter,Unit,Spec,Min,MeanMinus3Sigma,MeanMinusSigma,Mean,MeanPlusSigma,MeanPlus3Sigma,Max,Yield_pct
FDC bias current,uA,40±10,38.5202,38.2272401932389,39.4800407310796,40.106441,40.7328412689204,41.9856418067611,41.8215,100.00
CMFB bias current,uA,40±10,38.532,38.2272086558958,39.4759978852986,40.1003925,40.7247871147014,41.9735763441041,41.7708,100.00
Total current,mA,≤2.5,1.52229,1.49791711446849,1.57095820482283,1.60747875,1.64399929517717,1.71704038553151,1.69375,100.00
Total power,mW,≤9,5.02355,4.9431259288929,5.1841613429643,5.30467905,5.4251967570357,5.6662321711071,5.58936,100.00
Output CM error,mV,±25,-11.9126,-13.5700871500209,-4.65459050400695,-0.196842181,4.26090614200695,13.1764027880209,14.8545,100.00
LPF input offset,mV,±6,-4.61114,-4.79436807147081,-1.65853669895694,-0.0906210126999999,1.47729467355694,4.61312604607081,5.06658,100.00
Passband gain,V/V,,0.999689,0.999689340166659,0.999733010055553,0.999754845,0.999776679944447,0.99982034983334,0.999803,
Passband gain error,%,±0.5,-0.031099999999995,-0.031065983334042,-0.0266989944446809,-0.0245155000000004,-0.0223320055553199,-0.0179650166659588,-0.0197000000000003,100.00
LPF -1 dB frequency,Hz,≥150,224.387,215.061533500827,244.582354500276,259.342765,274.103175499725,303.623996499173,297.067,100.00
LPF -3 dB frequency,Hz,,439.604,421.317520282824,479.226760094275,508.18138,537.135999905725,595.045239717176,582.181,
CMRR @ 60 Hz,dB,≥80,91.176,74.8442482999768,96.871095766659,107.8845195,118.897943233341,140.924790700023,155.202,100.00
CMRR @ 150 Hz,dB,≥80,91.1661,75.1692176577432,96.9463685525811,107.834944,118.723519447419,140.500670342257,155.262,100.00
