Corner,Process,Environment,AVDD_V,Temperature_C,Parameter,Unit,Value
NOMNOMNOM,NOM,NOMNOM,3.3,27,AVDD,V,3.300
NOMNOMNOM,NOM,NOMNOM,3.3,27,Temperature,C,27.000
NOMNOMNOM,NOM,NOMNOM,3.3,27,LPF target gain,V/V,1.000
NOMNOMNOM,NOM,NOMNOM,3.3,27,FDC bias current,uA,40.092
NOMNOMNOM,NOM,NOMNOM,3.3,27,CMFB bias current,uA,40.092
NOMNOMNOM,NOM,NOMNOM,3.3,27,Total current,mA,1.604
NOMNOMNOM,NOM,NOMNOM,3.3,27,Total power,mW,5.293
NOMNOMNOM,NOM,NOMNOM,3.3,27,Output CM error,mV,0.395
NOMNOMNOM,NOM,NOMNOM,3.3,27,LPF input offset,mV,-0.000
NOMNOMNOM,NOM,NOMNOM,3.3,27,Passband gain,V/V,1.000
NOMNOMNOM,NOM,NOMNOM,3.3,27,Passband gain error,%,-0.027
NOMNOMNOM,NOM,NOMNOM,3.3,27,Loss @ 150 Hz,dB,0.361
NOMNOMNOM,NOM,NOMNOM,3.3,27,LPF -1 dB frequency,Hz,258.691
NOMNOMNOM,NOM,NOMNOM,3.3,27,LPF -3 dB frequency,Hz,506.912
NOMNOMNOM,NOM,NOMNOM,3.3,27,CMRR @ 60 Hz,dB,245.251
NOMNOMNOM,NOM,NOMNOM,3.3,27,CMRR @ 150 Hz,dB,245.218
NOMNOMNOM,NOM,NOMNOM,3.3,27,PSRR+ @ 60 Hz,dB,191.537
NOMNOMNOM,NOM,NOMNOM,3.3,27,PSRR+ @ 150 Hz,dB,262.445
NOMNOMNOM,NOM,NOMNOM,3.3,27,PSRR- @ 60 Hz,dB,234.523
NOMNOMNOM,NOM,NOMNOM,3.3,27,PSRR- @ 150 Hz,dB,237.002
NOMNOMNOM,NOM,NOMNOM,3.3,27,Input-referred noise 0.05-150 Hz,uVrms,6.176
NOMVLNOM,NOM,VLNOM,3,27,AVDD,V,3.000
NOMVLNOM,NOM,VLNOM,3,27,Temperature,C,27.000
NOMVLNOM,NOM,VLNOM,3,27,LPF target gain,V/V,1.000
NOMVLNOM,NOM,VLNOM,3,27,FDC bias current,uA,39.479
NOMVLNOM,NOM,VLNOM,3,27,CMFB bias current,uA,39.479
NOMVLNOM,NOM,VLNOM,3,27,Total current,mA,1.568
NOMVLNOM,NOM,VLNOM,3,27,Total power,mW,4.703
NOMVLNOM,NOM,VLNOM,3,27,Output CM error,mV,0.365
