Parameter,Unit,Spec,NOM,FF,SS,FS,SF,VL,VH,TL,TH
Set conditions,,,,,,,,,,,
AVDD,V,,3.300,3.300,3.300,3.300,3.300,3.000,3.600,3.300,3.300
Temperature,C,,27.000,27.000,27.000,27.000,27.000,27.000,27.000,-40.000,125.000
LPF target gain,V/V,,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
,,,,,,,,,,,
Operating point,,,,,,,,,,,
FDC bias current,uA,40±10,40.092,45.286,35.875,40.727,39.434,39.479,40.525,35.435,43.278
CMFB bias current,uA,40±10,40.092,45.286,35.875,40.727,39.434,39.479,40.525,35.435,43.278
Total current,mA,≤2.5,1.604,1.857,1.400,1.652,1.556,1.568,1.633,1.302,1.861
Total power,mW,≤9,5.293,6.129,4.620,5.451,5.133,4.703,5.878,4.296,6.143
Output CM error,mV,±25,0.395,-1.841,2.752,1.749,-1.019,0.365,0.415,-6.740,10.550
LPF input offset,mV,±6,-0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000
,,,,,,,,,,,
LPF,,,,,,,,,,,
Passband gain,V/V,,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Passband gain error,%,±0.5,-0.027,-0.018,-0.041,-0.027,-0.027,-0.027,-0.026,-0.032,-0.023
Loss @ 150 Hz,dB,,0.361,0.191,0.611,0.361,0.361,0.361,0.361,0.454,0.279
LPF -1 dB frequency,Hz,≥150,258.691,359.135,196.115,258.691,258.690,258.691,258.690,229.654,295.879
LPF -3 dB frequency,Hz,,506.912,703.898,384.135,506.914,506.911,506.913,506.912,449.936,579.847
CMRR @ 60 Hz,dB,≥80,245.251,224.162,219.097,233.018,233.675,246.293,244.300,226.399,245.210
CMRR @ 150 Hz,dB,≥80,245.218,224.158,219.734,240.948,238.643,246.264,244.261,223.836,245.249
PSRR+ @ 60 Hz,dB,≥80,191.537,192.668,190.630,191.775,191.297,191.457,191.623,232.837,254.717
PSRR+ @ 150 Hz,dB,≥80,262.445,192.625,190.492,257.410,257.247,240.812,253.201,191.731,190.297
PSRR- @ 60 Hz,dB,≥80,234.523,215.365,211.807,234.530,226.291,228.750,236.593,212.415,239.118
PSRR- @ 150 Hz,dB,≥80,237.002,215.326,212.170,232.614,234.532,234.117,237.166,213.814,236.401
Input-referred noise 0.05-150 Hz,uVrms,≤10,6.176,5.903,6.452,6.077,6.274,6.164,6.187,5.895,6.715
