Parameter,Unit,Spec,Min,MeanMinus3Sigma,MeanMinusSigma,Mean,MeanPlusSigma,MeanPlus3Sigma,Max,Yield_pct
FDC bias current,uA,40±10,38.7553,38.5956206696786,39.5928525565595,40.0914685,40.5900844434405,41.5873163303214,41.4152,100.00
CMFB bias current,uA,40±10,38.9093,38.5897471269785,39.5869503756595,40.085552,40.5841536243405,41.5813568730215,41.4597,100.00
Total current,mA,≤2.5,1.52817,1.53734478050144,1.58216992683381,1.6045825,1.62699507316619,1.67182021949856,1.66609,100.00
Total power,mW,≤9,5.04297,5.07323946225513,5.22116025408504,5.29512065,5.36908104591495,5.51700183774487,5.4981,100.00
Output CM error,mV,±25,-11.0598,-12.4296207560658,-4.26482776312192,-0.18243126665,3.89996522982192,12.0647582227658,14.4509,100.00
LPF input offset,mV,±6,-4.62518,-4.79588427349765,-1.65889715103255,-0.0904035898,1.47808997143255,4.61507709389765,5.07319,100.00
Passband gain,V/V,,0.999756,0.999755999999998,0.999755999999999,0.999756,0.999756,0.999756000000001,0.999756,
Passband gain error,%,±0.5,-0.0244000000000022,-0.0244000000000022,-0.0244000000000022,-0.0244000000000022,-0.0244000000000022,-0.0244000000000022,-0.0244000000000022,100.00
LPF -1 dB frequency,Hz,≥150,258.692,258.690947702069,258.69181590069,258.69225,258.69268409931,258.69355229793,258.693,100.00
LPF -3 dB frequency,Hz,,506.907,506.907083937972,506.90775464599,506.90809,506.908425354009,506.909096062028,506.909,
CMRR @ 60 Hz,dB,≥80,91.0462,74.1692506915248,96.7060485638416,107.9744475,119.242846436158,141.779644308475,152.967,100.00
CMRR @ 150 Hz,dB,≥80,91.0359,75.1423089065093,96.9537509688364,107.859472,118.765193031164,140.576635093491,148.117,100.00
