Parameter,Unit,Spec,NOM,FF,SS,FS,SF,VL,VH,TL,TH
"Set conditions",,,,,,,,,,,
"AVDD",V,,3.300,3.300,3.300,3.300,3.300,3.000,3.600,3.300,3.300
"Temperature",C,,27.000,27.000,27.000,27.000,27.000,27.000,27.000,-40.000,125.000
"LPF target gain",V/V,,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
"",,,,,,,,,,,
"Operating point",,,,,,,,,,,
"FDC bias current",uA,40±10,40.092,45.286,35.875,40.727,39.434,39.479,40.525,35.435,43.278
"CMFB bias current",uA,40±10,40.092,45.286,35.875,40.727,39.434,39.479,40.525,35.435,43.278
"Total current",mA,≤2.5,1.604,1.857,1.400,1.652,1.556,1.568,1.633,1.302,1.861
"Total power",mW,≤9,5.293,6.129,4.620,5.451,5.133,4.703,5.878,4.296,6.143
"Output CM error",mV,±25,0.395,-1.841,2.752,1.749,-1.019,0.365,0.415,-6.740,10.550
"LPF input offset",mV,±6,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,0.000,0.000
"",,,,,,,,,,,
"LPF",,,,,,,,,,,
"Passband gain",V/V,,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
"Passband gain error",%,±0.5,-0.027,-0.018,-0.041,-0.027,-0.027,-0.027,-0.026,-0.032,-0.023
"Loss @ 150 Hz",dB,,0.361,0.191,0.611,0.361,0.361,0.361,0.361,0.454,0.279
"LPF -1 dB frequency",Hz,≥150,258.691,359.135,196.115,258.691,258.690,258.691,258.690,229.654,295.879
"LPF -3 dB frequency",Hz,,506.912,703.898,384.135,506.914,506.911,506.913,506.912,449.936,579.847
"Input range low",V,≤-1.2,-3.074,-3.072,-3.074,-3.062,-3.086,-2.776,-3.300,-3.130,-3.000
"Input range high",V,≥1.2,3.074,3.072,3.074,3.062,3.086,2.776,3.300,3.130,3.000
"Output range low",V,≤-1.2,-3.073,-3.071,-3.073,-3.061,-3.085,-2.775,-3.299,-3.129,-2.998
"Output range high",V,≥1.2,3.073,3.071,3.073,3.061,3.085,2.775,3.299,3.129,2.998
"CMRR @ 60 Hz",dB,≥80,245.262,224.157,220.579,246.598,233.256,246.238,244.213,222.481,245.083
"CMRR @ 150 Hz",dB,≥80,245.240,224.154,224.079,246.565,247.423,246.214,244.183,225.092,245.033
"PSRR+ @ 60 Hz",dB,≥80,191.538,192.667,190.614,191.776,191.298,191.458,191.625,232.864,253.559
"PSRR+ @ 150 Hz",dB,≥80,258.996,192.626,190.474,255.094,255.688,240.659,253.957,191.730,190.285
"PSRR- @ 60 Hz",dB,≥80,234.292,215.381,213.789,234.168,226.005,228.519,236.234,212.570,239.136
"PSRR- @ 150 Hz",dB,≥80,236.815,215.321,212.287,237.136,228.283,233.832,236.960,213.851,242.852
"Input-referred noise 0.05-150 Hz",uVrms,≤10,6.176,5.903,6.452,6.077,6.274,6.164,6.187,5.895,6.715
"THD @ 60 Hz, 1.2 Vpp",%,≤0.01,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.001
