Parameter,Unit,Spec,Min,MeanMinus3Sigma,MeanMinusSigma,Mean,MeanPlusSigma,MeanPlus3Sigma,Max,Yield_pct
FDC bias current,uA,40±10,38.5202,38.2272401932389,39.4800407310796,40.106441,40.7328412689204,41.9856418067611,41.8215,100.00
CMFB bias current,uA,40±10,38.532,38.2272086558958,39.4759978852986,40.1003925,40.7247871147014,41.9735763441041,41.7708,100.00
Total current,mA,≤2.5,1.52219,1.49792716861188,1.57095758953729,1.6074728,1.64398801046271,1.71701843138812,1.69383,100.00
Total power,mW,≤9,5.02321,4.94316234547622,5.18416121515874,5.30466065,5.42516008484126,5.66615895452378,5.58962,100.00
Output CM error,mV,±20,-11.9081,-13.5646990609713,-4.65274632332376,-0.1967699545,4.25920641432376,13.1711591519713,14.8483,100.00
G2 input offset,mV,±5,-3.45941,-3.59694442895897,-1.24431161605299,-0.0679952096,1.10832119685299,3.46095400975897,3.80075,100.00
G2 gain @ 10 Hz,V/V,,1.99553,1.99533507721621,1.99696252573874,1.99777625,1.99858997426126,2.00021742278379,2.00027,
G2 gain @ 150 Hz,V/V,,1.99553,1.99533507721621,1.99696252573874,1.99777625,1.99858997426126,2.00021742278379,2.00027,
G2 gain error,%,±5,-0.2235,-0.233246139189341,-0.151873713063114,-0.1111875,-0.0705012869368863,0.0108711391893412,0.0135,100.00
G2 -3 dB bandwidth,MHz,≥0.15,4.46847,4.30268515194346,4.71205415064782,4.91673865,5.12142314935218,5.53079214805654,5.48998,100.00
G2 CMRR @ 60 Hz,dB,≥80,91.6824,79.3530124610011,96.893889153667,105.6643275,114.434765846333,131.975642538999,143.031,100.00
G2 CMRR @ 150 Hz,dB,≥80,91.6824,79.3531383421394,96.8939211140465,105.6643125,114.434703885954,131.975486657861,143.03,100.00
G4 input offset,mV,±5,-2.88445,-2.99907275403456,-1.03748153047819,-0.0566859187,0.924109693078186,2.88570091663456,3.16941,100.00
G4 gain @ 10 Hz,V/V,,3.97919,3.97981726161091,3.98134702053697,3.9821119,3.98287677946303,3.98440653838909,3.98483,
G4 gain @ 150 Hz,V/V,,3.97919,3.97981726161091,3.98134702053697,3.9821119,3.98287677946303,3.98440653838909,3.98483,
G4 gain error,%,±5,-0.52025,-0.504568459727238,-0.466324486575746,-0.4472025,-0.428080513424254,-0.389836540272762,-0.37925,100.00
G4 -3 dB bandwidth,MHz,≥0.15,2.70779,2.61227390551714,2.85378293517238,2.97453745,3.09529196482762,3.33680099448286,3.29933,100.00
G4 CMRR @ 60 Hz,dB,≥80,92.1662,77.779420339965,97.380520446655,107.1810705,116.981620553345,136.582720660035,151.641,100.00
G4 CMRR @ 150 Hz,dB,≥80,92.1662,77.7796602902043,97.3805837634014,107.1810455,116.981507236599,136.582430709796,151.639,100.00
G8 input offset,mV,±5,-2.5958,-2.69894612602908,-0.933657338009693,-0.051012944,0.831631450009693,2.59692023802908,2.85226,100.00
G8 gain @ 10 Hz,V/V,,7.93339,7.93521691032007,7.93955023677336,7.9417169,7.94388356322664,7.94821688967993,7.94926,
G8 gain @ 150 Hz,V/V,,7.93339,7.93521691032007,7.93955023677336,7.9417169,7.94388356322664,7.94821688967993,7.94926,
G8 gain error,%,±5,-0.832625,-0.809788620999124,-0.755622040333041,-0.72853875,-0.701455459666958,-0.647288879000875,-0.63425,100.00
G8 -3 dB bandwidth,MHz,≥0.15,1.79097,1.70535574338384,1.89864588112795,1.99529095,2.09193601887205,2.28522615661616,2.23098,100.00
G8 CMRR @ 60 Hz,dB,≥80,91.2676,77.7978229634074,97.6650593211358,107.5986775,117.532295678864,137.399532036593,153.03,100.00
G8 CMRR @ 150 Hz,dB,≥80,91.2676,77.7978869098466,97.6650773032822,107.5986725,117.532267696718,137.399458090153,153.029,100.00
G16 input offset,mV,±5,-2.45085,-2.54822834680099,-0.88151916460033,-0.0481645735,0.78519001760033,2.45189919980099,2.69297,100.00
G16 gain @ 10 Hz,V/V,,15.8477,15.8498898249501,15.8583832749834,15.86263,15.8668767250166,15.8753701750499,15.8753,
G16 gain @ 150 Hz,V/V,,15.8477,15.8498891191473,15.8583827063824,15.8626295,15.8668762936176,15.8753698808527,15.8753,
G16 gain error,%,±5,-0.951875,-0.938188594061731,-0.88510453135391,-0.8585625,-0.83202046864609,-0.778936405938269,-0.779375,100.00
G16 -3 dB bandwidth,MHz,≥0.15,0.836213,0.804498940620849,0.882211066873616,0.92106713,0.959923193126383,1.03763531937915,1.02197,100.00
G16 CMRR @ 60 Hz,dB,≥80,91.1857,74.6361486304142,96.8263632101381,107.9214705,119.016577789862,141.206792369586,155.061,100.00
G16 CMRR @ 150 Hz,dB,≥80,91.1857,74.636554223526,96.8264717411753,107.9214305,119.016389258825,141.206306776474,155.058,100.00
