Parameter,Unit,Spec,Min,MeanMinus3Sigma,MeanMinusSigma,Mean,MeanPlusSigma,MeanPlus3Sigma,Max,Yield_pct
FDC bias current,uA,40±10,39.2526,39.1010980232723,39.7714356744241,40.1066045,40.4417733255759,41.1121109767278,40.9287,100.00
CMFB bias current,uA,40±10,39.2526,39.1010980232723,39.7714356744241,40.1066045,40.4417733255759,41.1121109767278,40.9287,100.00
Total current,mA,≤2.5,1.54743,1.53385597765848,1.58245062588616,1.60674795,1.63104527411384,1.67963992234152,1.67999,100.00
Total power,mW,≤9,5.10651,5.06172361958831,5.22208673986277,5.3022683,5.38244986013723,5.54281298041169,5.54396,100.00
Output CM error,mV,±20,-4.0263,-5.10194295949104,-1.80028642183035,-0.149458153,1.50137011583035,4.80302665349104,4.82671,100.00
G2 input offset,mV,±5,-1.06636e-06,-1.33393156098824e-06,-3.9727626764708e-07,7.10513790235e-08,5.3937902569408e-07,1.47603431903524e-06,1.47725e-06,100.00
G2 gain @ 10 Hz,V/V,,1.99551,1.99532722907569,1.9969595096919,1.99777565,1.9985917903081,2.00022407092431,2.00029,
G2 gain @ 150 Hz,V/V,,1.99551,1.99532722907569,1.9969595096919,1.99777565,1.9985917903081,2.00022407092431,2.00029,
G2 gain error,%,±5,-0.2245,-0.233638546215643,-0.152024515405214,-0.1112175,-0.0704104845947855,0.0112035462156433,0.0145,100.00
G2 -3 dB bandwidth,MHz,≥0.15,4.52296,4.35153441014011,4.72793283671337,4.91613205,5.10433126328663,5.48072968985989,5.46515,100.00
G2 CMRR @ 60 Hz,dB,≥80,215.667,182.018210668243,225.297460222748,246.937085,268.576709777252,311.855959331757,298.05,100.00
G2 CMRR @ 150 Hz,dB,≥80,215.668,182.008296655141,225.294478885047,246.93757,268.580661114953,311.866843344859,297.901,100.00
G4 input offset,mV,±5,-1.06255e-06,-1.13373060264885e-06,-3.77081472866282e-07,1.243092025e-09,3.79567656916282e-07,1.13621678669885e-06,8.95032e-07,100.00
G4 gain @ 10 Hz,V/V,,3.97918,3.97981597993919,3.9813462266464,3.98211135,3.9828764733536,3.98440672006081,3.98483,
G4 gain @ 150 Hz,V/V,,3.97918,3.97981597993919,3.9813462266464,3.98211135,3.9828764733536,3.98440672006081,3.98483,
G4 gain error,%,±5,-0.5205,-0.504600501520345,-0.466344333840115,-0.44721625,-0.428088166159885,-0.389831998479655,-0.37925,100.00
G4 -3 dB bandwidth,MHz,≥0.15,2.74207,2.64438592450807,2.86420450816936,2.9741138,3.08402309183064,3.30384167549193,3.28604,100.00
G4 CMRR @ 60 Hz,dB,≥80,206.819,165.753800021376,214.522636673792,238.907055,263.291473326208,312.060309978624,300.053,100.00
G4 CMRR @ 150 Hz,dB,≥80,206.819,165.730643187945,214.514391062648,238.906265,263.298138937352,312.081886812055,301.75,100.00
G8 input offset,mV,±5,-1.26534e-06,-1.67356690653448e-06,-5.64496428711494e-07,-9.96118979999999e-09,5.44574049111494e-07,1.65364452693448e-06,1.62265e-06,100.00
G8 gain @ 10 Hz,V/V,,7.93338,7.93521274817057,7.93954968272352,7.94171815,7.94388661727647,7.94822355182943,7.94928,
G8 gain @ 150 Hz,V/V,,7.93338,7.93521257474303,7.93954955824768,7.94171805,7.94388654175232,7.94822352525697,7.94928,
G8 gain error,%,±5,-0.83275,-0.809840647867837,-0.755628965955945,-0.728523125,-0.701417284044054,-0.647205602132163,-0.634,100.00
G8 -3 dB bandwidth,MHz,≥0.15,1.80373,1.72946188244166,1.90642812748055,1.99491125,2.08339437251945,2.26036061755834,2.25667,100.00
G8 CMRR @ 60 Hz,dB,≥80,185.417,171.145825802446,190.505465267482,200.185285,209.865104732518,229.224744197554,238.153,100.00
G8 CMRR @ 150 Hz,dB,≥80,185.417,171.142017467343,190.504142489114,200.185205,209.866267510886,229.228392532657,238.279,100.00
G16 input offset,mV,±5,-8.962e-07,-1.01275099280885e-06,-3.26636492346617e-07,1.64207578845e-08,3.59478008115617e-07,1.04559250857785e-06,8.6967e-07,100.00
G16 gain @ 10 Hz,V/V,,15.8477,15.8498883974164,15.8583834658055,15.862631,15.8668785341945,15.8753736025836,15.8753,
G16 gain @ 150 Hz,V/V,,15.8477,15.8498895369892,15.8583835123297,15.8626305,15.8668774876703,15.8753714630108,15.8753,
G16 gain error,%,±5,-0.951875,-0.938197516147364,-0.885103338715788,-0.85855625,-0.832009161284212,-0.778914983852636,-0.779375,100.00
G16 -3 dB bandwidth,MHz,≥0.15,0.84763,0.816031700566762,0.885931636855588,0.920881605,0.955831573144413,1.02573150943324,1.01841,100.00
G16 CMRR @ 60 Hz,dB,≥80,197.438,181.648201652289,205.089573884096,216.81026,228.530946115904,251.972318347711,257.143,100.00
G16 CMRR @ 150 Hz,dB,≥80,197.438,181.648445617397,205.089628539132,216.81022,228.530811460868,251.971994382603,257.144,100.00
