Parameter,Unit,Spec,Min,MeanMinus3Sigma,MeanMinusSigma,Mean,MeanPlusSigma,MeanPlus3Sigma,Max,Yield_pct
FDC bias current,uA,40±10,38.7553,38.5956206696786,39.5928525565595,40.0914685,40.5900844434405,41.5873163303214,41.4152,100.00
CMFB bias current,uA,40±10,38.9093,38.5897471269785,39.5869503756595,40.085552,40.5841536243405,41.5813568730215,41.4597,100.00
Total current,mA,≤2.5,1.52796,1.53733596906036,1.58216282302012,1.60457625,1.62698967697988,1.67181653093964,1.6659,100.00
Total power,mW,≤9,5.04228,5.07320998621872,5.22113792873957,5.2951019,5.36906587126043,5.51699381378128,5.49748,100.00
Output CM error,mV,±20,-11.0555,-12.4246878470104,-4.26312939927014,-0.1823501754,3.89842904847014,12.0599874962104,14.445,100.00
G2 input offset,mV,±5,-3.47005,-3.59811494593186,-1.24458784287729,-0.06782429135,1.10893926017729,3.46246636323186,3.80614,100.00
G2 gain @ 10 Hz,V/V,,1.99776,1.99774722070781,1.99778054023594,1.9977972,1.99781385976406,1.99784717929219,1.99784,
G2 gain @ 150 Hz,V/V,,1.99776,1.99774722070781,1.99778054023594,1.9977972,1.99781385976406,1.99784717929219,1.99784,
G2 gain error,%,±5,-0.112,-0.112638964609714,-0.110972988203238,-0.11014,-0.109307011796762,-0.107641035390286,-0.108,100.00
G2 -3 dB bandwidth,MHz,≥0.15,4.62513,4.67843479679709,4.83530936559903,4.91374665,4.99218393440097,5.14905850320291,5.15552,100.00
G2 CMRR @ 60 Hz,dB,≥80,92.0331,79.2874565503751,96.7181568501251,105.433507,114.148857149875,131.579557449625,167.33,100.00
G2 CMRR @ 150 Hz,dB,≥80,92.0331,79.3054001906201,96.7235513968734,105.432627,114.141702603127,131.55985380938,167.154,100.00
G4 input offset,mV,±5,-2.89323,-3.00001533461313,-1.03770621960438,-0.0565516621,0.924602895404377,2.88691201041313,3.17348,100.00
G4 gain @ 10 Hz,V/V,,3.98211,3.98211117239002,3.98213489079667,3.98214675,3.98215860920332,3.98218232760997,3.98217,
G4 gain @ 150 Hz,V/V,,3.98211,3.98211117239002,3.98213489079667,3.98214675,3.98215860920332,3.98218232760997,3.98217,
G4 gain error,%,±5,-0.44725,-0.447220690249419,-0.44662773008314,-0.44633125,-0.44603476991686,-0.445441809750581,-0.44575,100.00
G4 -3 dB bandwidth,MHz,≥0.15,2.79574,2.82874147655968,2.92465202551989,2.9726073,3.02056257448011,3.11647312344032,3.11966,100.00
G4 CMRR @ 60 Hz,dB,≥80,91.9936,77.2835929568421,97.2660299856141,107.2572485,117.248467014386,137.230904043158,151.184,100.00
G4 CMRR @ 150 Hz,dB,≥80,91.9936,77.2837145850512,97.2660638616837,107.2572385,117.248413138316,137.230762414949,151.183,100.00
G8 input offset,mV,±5,-2.6037,-2.69979281796262,-0.933859212887542,-0.05089241035,0.832074392187542,2.59800799726262,2.85591,100.00
G8 gain @ 10 Hz,V/V,,7.94179,7.94177739217342,7.94180523072447,7.94181915,7.94183306927552,7.94186090782658,7.94185,
G8 gain @ 150 Hz,V/V,,7.94179,7.94177739217342,7.94180523072447,7.94181915,7.94183306927552,7.94186090782658,7.94185,
G8 gain error,%,±5,-0.727625,-0.727782597832208,-0.727434615944069,-0.727260625,-0.727086634055931,-0.726738652167792,-0.726875,100.00
G8 -3 dB bandwidth,MHz,≥0.15,1.85693,1.88234868523522,1.95679772841174,1.99402225,2.03124677158826,2.10569581476478,2.10805,100.00
G8 CMRR @ 60 Hz,dB,≥80,91.1344,78.0750969595502,97.7549473198501,107.5948725,117.43479768015,137.11464804045,145.721,100.00
G8 CMRR @ 150 Hz,dB,≥80,91.1344,78.0750969595502,97.7549473198501,107.5948725,117.43479768015,137.11464804045,145.721,100.00
G16 input offset,mV,±5,-2.4583,-2.54902734566703,-0.881709463622344,-0.0480505226,0.785608418422344,2.45292630046703,2.69642,100.00
G16 gain @ 10 Hz,V/V,,15.8628,15.8628,15.8628,15.8628,15.8628,15.8628,15.8628,
G16 gain @ 150 Hz,V/V,,15.8628,15.8628,15.8628,15.8628,15.8628,15.8628,15.8628,
G16 gain error,%,±5,-0.8575,-0.857500000000004,-0.857500000000002,-0.857500000000001,-0.8575,-0.857499999999998,-0.8575,100.00
G16 -3 dB bandwidth,MHz,≥0.15,0.861946,0.872756538904546,0.904373199634848,0.92018153,0.935989860365151,0.967606521095454,0.968528,100.00
G16 CMRR @ 60 Hz,dB,≥80,91.0585,73.3625253501661,96.4984764500554,108.066452,119.634427549945,142.770378649834,155.39,100.00
G16 CMRR @ 150 Hz,dB,≥80,91.0585,73.3639148203073,96.4988562734357,108.066327,119.633797726564,142.768739179693,155.372,100.00
