Parameter,Unit,Spec,NOM,FF,SS,FS,SF,VL,VH,TL,TH
"Set conditions",,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"AVDD",V,,3.300,3.300,3.300,3.300,3.300,3.000,3.600,3.300,3.300
"Temperature",C,,27.000,27.000,27.000,27.000,27.000,27.000,27.000,-40.000,125.000
"Shared OP gain code",code,,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000
"",,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Operating point",,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"FDC bias current",uA,40±10,40.092,45.286,35.875,40.727,39.434,39.479,40.525,35.435,43.278
"CMFB bias current",uA,40±10,40.092,45.286,35.875,40.727,39.434,39.479,40.525,35.435,43.278
"Total current",mA,≤2.5,1.604,1.857,1.400,1.652,1.555,1.567,1.633,1.302,1.862
"Total power",mW,≤9,5.293,6.129,4.620,5.451,5.133,4.702,5.878,4.296,6.144
"Output CM error",mV,±20,-0.134,-2.344,2.201,1.219,-1.541,-0.164,-0.110,-7.167,9.901
"",,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"G2",,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"G2 target gain",V/V,,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000
"G2 input offset",mV,±5,1.033e-07,-8.661e-07,-1.891e-06,-4.063e-08,-2.633e-07,-3.333e-08,-5.670e-07,-7.065e-08,4.000e-08
"G2 gain @ 10 Hz",V/V,,1.998,1.997,1.999,1.998,1.998,1.999,1.997,1.995,2.002
"G2 gain @ 150 Hz",V/V,,1.998,1.997,1.999,1.998,1.998,1.999,1.997,1.995,2.002
"G2 gain error",%,±5,-0.110,-0.138,-0.054,-0.123,-0.103,-0.027,-0.166,-0.246,0.099
"G2 -3 dB bandwidth",MHz,≥0.15,4.913,6.433,3.848,5.047,4.780,4.838,4.965,5.124,4.260
"G2 input range low",V,≤-1.2,-1.552,-1.554,-1.548,-1.549,-1.556,-1.397,-1.705,-1.581,-1.507
"G2 input range high",V,≥1.2,1.552,1.554,1.548,1.549,1.556,1.397,1.705,1.581,1.507
"G2 output range low",V,≤-2.4,-3.098,-3.103,-3.089,-3.091,-3.105,-2.789,-3.403,-3.153,-3.013
"G2 output range high",V,≥2.4,3.098,3.103,3.089,3.091,3.105,2.789,3.403,3.153,3.013
"G2 CMRR @ 60 Hz",dB,≥80,243.257,218.303,214.761,286.727,252.970,272.625,256.009,223.669,237.726
"G2 CMRR @ 150 Hz",dB,≥80,243.261,218.302,214.761,287.496,252.978,272.740,256.008,223.667,237.724
"G2 PSRR+ @ 60 Hz",dB,≥80,243.956,189.162,233.831,237.761,237.034,237.279,247.822,254.143,246.808
"G2 PSRR+ @ 150 Hz",dB,≥80,244.180,189.162,233.760,237.738,236.995,237.274,247.946,254.599,246.992
"G2 PSRR- @ 60 Hz",dB,≥80,232.665,211.249,210.082,240.125,237.199,241.982,239.276,214.854,248.851
"G2 PSRR- @ 150 Hz",dB,≥80,232.664,211.249,210.082,240.117,237.205,242.011,239.267,214.854,248.853
"G2 input-referred noise 0.05-150 Hz",uVrms,≤10,4.628,4.425,4.832,4.555,4.702,4.618,4.637,4.419,5.030
"G2 THD @ 60 Hz, 1.20 Vpp",%,≤0.05,0.015,0.016,0.011,0.012,0.016,0.012,0.013,0.015,0.015
"",,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"G4",,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"G4 target gain",V/V,,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
"G4 input offset",mV,±5,-1.894e-07,-7.817e-07,-9.019e-07,2.475e-08,4.823e-08,-3.765e-07,-9.851e-09,3.633e-08,7.412e-08
"G4 gain @ 10 Hz",V/V,,3.982,3.981,3.983,3.982,3.982,3.983,3.982,3.980,3.985
"G4 gain @ 150 Hz",V/V,,3.982,3.981,3.983,3.982,3.982,3.983,3.982,3.980,3.985
"G4 gain error",%,±5,-0.446,-0.469,-0.422,-0.450,-0.444,-0.426,-0.460,-0.489,-0.385
"G4 -3 dB bandwidth",MHz,≥0.15,2.972,3.844,2.348,3.053,2.891,2.925,3.006,3.124,2.552
"G4 input range low",V,≤-0.6,-0.772,-0.772,-0.772,-0.770,-0.774,-0.697,-0.848,-0.786,-0.753
"G4 input range high",V,≥0.6,0.772,0.772,0.772,0.770,0.774,0.697,0.848,0.786,0.753
"G4 output range low",V,≤-2.4,-3.074,-3.073,-3.073,-3.066,-3.082,-2.774,-3.374,-3.129,-2.998
"G4 output range high",V,≥2.4,3.074,3.073,3.073,3.066,3.082,2.774,3.374,3.129,2.998
"G4 CMRR @ 60 Hz",dB,≥80,273.935,217.984,214.623,276.588,274.206,260.437,276.457,239.622,211.379
"G4 CMRR @ 150 Hz",dB,≥80,274.004,217.985,214.624,276.644,274.171,260.392,276.367,239.622,211.379
"G4 PSRR+ @ 60 Hz",dB,≥80,251.501,190.721,188.698,249.392,246.557,241.418,259.523,243.931,247.087
"G4 PSRR+ @ 150 Hz",dB,≥80,251.295,190.721,188.698,249.280,246.339,241.478,259.479,243.781,246.999
"G4 PSRR- @ 60 Hz",dB,≥80,249.532,213.133,209.584,253.587,273.869,243.470,273.548,234.553,204.135
"G4 PSRR- @ 150 Hz",dB,≥80,249.534,213.132,209.584,253.652,274.191,243.457,272.967,234.555,204.135
"G4 input-referred noise 0.05-150 Hz",uVrms,≤10,3.859,3.689,4.029,3.797,3.920,3.851,3.866,3.683,4.196
"G4 THD @ 60 Hz, 0.60 Vpp",%,≤0.05,0.004,0.004,0.003,0.003,0.004,0.003,0.003,0.004,0.004
"",,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"G8",,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"G8 target gain",V/V,,8.000,8.000,8.000,8.000,8.000,8.000,8.000,8.000,8.000
"G8 input offset",mV,±5,-2.429e-07,-6.974e-07,-5.285e-07,1.235e-07,5.585e-08,-1.883e-07,-7.431e-07,-5.320e-07,1.109e-07
"G8 gain @ 10 Hz",V/V,,7.942,7.939,7.944,7.942,7.942,7.943,7.941,7.938,7.947
"G8 gain @ 150 Hz",V/V,,7.942,7.939,7.944,7.942,7.942,7.943,7.941,7.938,7.947
"G8 gain error",%,±5,-0.727,-0.760,-0.696,-0.731,-0.725,-0.708,-0.740,-0.775,-0.661
"G8 -3 dB bandwidth",MHz,≥0.15,1.994,2.557,1.579,2.057,1.931,1.956,2.021,2.166,1.629
"G8 input range low",V,≤-0.3,-0.381,-0.381,-0.382,-0.380,-0.382,-0.344,-0.419,-0.389,-0.371
"G8 input range high",V,≥0.3,0.381,0.381,0.382,0.380,0.382,0.344,0.419,0.389,0.371
"G8 output range low",V,≤-2.4,-3.029,-3.024,-3.031,-3.019,-3.037,-2.730,-3.326,-3.090,-2.945
"G8 output range high",V,≥2.4,3.029,3.024,3.031,3.019,3.037,2.730,3.326,3.090,2.945
"G8 CMRR @ 60 Hz",dB,≥80,221.607,201.198,197.008,191.379,190.109,221.227,207.262,204.326,195.210
"G8 CMRR @ 150 Hz",dB,≥80,221.589,201.199,197.007,191.379,190.109,221.244,207.251,204.329,195.210
"G8 PSRR+ @ 60 Hz",dB,≥80,258.845,197.691,189.613,258.552,249.672,260.294,250.251,250.748,265.918
"G8 PSRR+ @ 150 Hz",dB,≥80,259.305,197.692,189.614,258.669,249.523,260.062,250.349,250.822,266.647
"G8 PSRR- @ 60 Hz",dB,≥80,218.145,195.231,196.235,187.852,186.583,217.976,203.676,201.141,191.791
"G8 PSRR- @ 150 Hz",dB,≥80,218.126,195.233,196.233,187.852,186.583,217.994,203.665,201.144,191.791
"G8 input-referred noise 0.05-150 Hz",uVrms,≤10,3.473,3.320,3.626,3.417,3.528,3.466,3.479,3.314,3.776
"G8 THD @ 60 Hz, 0.30 Vpp",%,≤0.05,2.185e-04,1.639e-04,3.197e-04,1.922e-04,2.322e-04,3.566e-04,1.492e-04,2.263e-04,1.819e-04
"",,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"G16",,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"G16 target gain",V/V,,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000
"G16 input offset",mV,±5,1.599e-08,-5.896e-07,-8.851e-07,3.721e-08,4.707e-08,-2.862e-08,-8.014e-08,-8.569e-08,1.978e-07
"G16 gain @ 10 Hz",V/V,,15.863,15.858,15.866,15.863,15.863,15.862,15.863,15.860,15.865
"G16 gain @ 150 Hz",V/V,,15.863,15.858,15.866,15.863,15.863,15.862,15.863,15.860,15.865
"G16 gain error",%,±5,-0.857,-0.888,-0.837,-0.858,-0.857,-0.860,-0.855,-0.873,-0.842
"G16 -3 dB bandwidth",MHz,≥0.15,0.920,1.170,0.735,0.947,0.893,0.903,0.932,0.988,0.771
"G16 input range low",V,≤-0.15,-0.187,-0.187,-0.187,-0.187,-0.188,-0.168,-0.206,-0.192,-0.181
"G16 input range high",V,≥0.15,0.187,0.187,0.187,0.187,0.188,0.168,0.206,0.192,0.181
"G16 output range low",V,≤-2.4,-2.968,-2.962,-2.973,-2.960,-2.976,-2.671,-3.265,-3.041,-2.871
"G16 output range high",V,≥2.4,2.968,2.962,2.973,2.960,2.976,2.671,3.265,3.041,2.871
