Corner,Process,Environment,AVDD_V,Temperature_C,Parameter,Unit,Value
NOMNOMNOM,NOM,NOMNOM,3.3,27,"FDC bias current",uA,40.092
NOMNOMNOM,NOM,NOMNOM,3.3,27,"CMFB bias current",uA,40.092
NOMNOMNOM,NOM,NOMNOM,3.3,27,"Total current",mA,1.604
NOMNOMNOM,NOM,NOMNOM,3.3,27,"Total power",mW,5.293
NOMNOMNOM,NOM,NOMNOM,3.3,27,"Output CM error",mV,-0.134
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G2 target gain",V/V,2.000
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G2 input offset",mV,1.033e-07
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G2 gain @ 10 Hz",V/V,1.998
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G2 gain @ 150 Hz",V/V,1.998
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G2 gain error",%,-0.110
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G2 -3 dB bandwidth",MHz,4.913
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G2 input range low",V,-1.552
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G2 input range high",V,1.552
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G2 output range low",V,-3.098
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G2 output range high",V,3.098
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G2 CMRR @ 60 Hz",dB,243.257
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G2 CMRR @ 150 Hz",dB,243.261
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G2 PSRR+ @ 60 Hz",dB,243.956
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G2 PSRR+ @ 150 Hz",dB,244.180
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G2 PSRR- @ 60 Hz",dB,232.665
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G2 PSRR- @ 150 Hz",dB,232.664
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G2 input-referred noise 0.05-150 Hz",uVrms,4.628
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G2 THD @ 60 Hz, 1.20 Vpp",%,0.015
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G4 target gain",V/V,4.000
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G4 input offset",mV,-1.894e-07
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G4 gain @ 10 Hz",V/V,3.982
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G4 gain @ 150 Hz",V/V,3.982
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G4 gain error",%,-0.446
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G4 -3 dB bandwidth",MHz,2.972
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G4 input range low",V,-0.772
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G4 input range high",V,0.772
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G4 output range low",V,-3.074
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G4 output range high",V,3.074
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G4 CMRR @ 60 Hz",dB,273.935
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G4 CMRR @ 150 Hz",dB,274.004
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G4 PSRR+ @ 60 Hz",dB,251.501
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G4 PSRR+ @ 150 Hz",dB,251.295
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G4 PSRR- @ 60 Hz",dB,249.532
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G4 PSRR- @ 150 Hz",dB,249.534
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G4 input-referred noise 0.05-150 Hz",uVrms,3.859
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G4 THD @ 60 Hz, 0.60 Vpp",%,0.004
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G8 target gain",V/V,8.000
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G8 input offset",mV,-2.429e-07
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G8 gain @ 10 Hz",V/V,7.942
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G8 gain @ 150 Hz",V/V,7.942
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G8 gain error",%,-0.727
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G8 -3 dB bandwidth",MHz,1.994
