Parameter,Unit,Value
"Set conditions",,
"AVDD",V,3.3
"Bias current",uA,40
"CLoad per output",pF,10
"Vin,cm",V,1.65
"Vout,cm target",V,1.65
"",,
"Operating",,
"Total current",uA,1400.48
"Total power",mW,4.62158
"VOUTP,DC",V,1.65
"VOUTN,DC",V,1.65
"VOUT,CM",V,1.65
"VOUT,diff,DC",V,-3.37658e-06
"Required VCMFB",V,2.4833
"",,
"Open-loop",,
"Differential DC gain",dB,90.0898
"Differential UGF",MHz,12.4889
"Differential PM",deg,72.5293
"Plant gain",V/V,1.50054e-10
"Differential-step CM disturbance",mV,2236.9
"",,
"Noise/Offset",,
"Input offset",mV,-4.46673e-08
"Input noise, 1-150 Hz",uVrms,2.43833
