Parameter,Unit,Spec,Min,MeanMinus3Sigma,MeanMinusSigma,Mean,MeanPlusSigma,MeanPlus3Sigma,Max,Yield_pct
FDC bias current,uA,40±10,38.7226,38.1758747307462,39.4452945769154,40.0800045,40.7147144230846,41.9841342692538,41.7163,100
CMFB bias current,uA,40±10,38.7122,38.2011541239033,39.4588723746344,40.0877315,40.7165906253655,41.9743088760967,41.6049,100
Total current,mA,≤2.5,1.51907,1.49699912208142,1.56948774069381,1.60573205,1.64197635930619,1.71446497791858,1.7448,100
Total power,mW,≤9,5.01294,4.9401019462755,5.17931088209183,5.29891535,5.41851981790817,5.6577287537245,5.75783,100
Differential DC gain,dB,≥85,91.1431,90.9714528732575,91.6782062910858,92.031583,92.3849597089142,93.0917131267426,93.0004,100
Differential UGF,MHz,≥8,12.8512,12.6538704998783,13.9632351666261,14.6179175,15.2725998333739,16.5819645001217,16.829,100
Differential phase margin,deg,≥60,73.4069,72.9789756702332,75.7111512234111,77.077239,78.4433267765889,81.1755023297668,80.5519,100
Input differential offset,uV,±3000,-2094.09,-2276.70511381859,-738.553931939529,30.521659,799.597249939529,2337.74843181859,2352.45,100
Gain error,%,±0.01,-0.00277,-0.00281104728127033,-0.00260678242709011,-0.00250465,-0.00240251757290989,-0.00219825271872967,-0.00224,100
Output CM error,mV,±25,-10.4587,-14.2801952134022,-5.06382072846741,-0.455633486,4.15255375646741,13.3689282414022,13.1143,100
