Parameter,Unit,Spec,Min,MeanMinus3Sigma,MeanMinusSigma,Mean,MeanPlusSigma,MeanPlus3Sigma,Max,Yield_pct
FDC bias current,uA,40±10,39.2526,39.1010980232723,39.7714356744241,40.1066045,40.4417733255759,41.1121109767278,40.9287,100
CMFB bias current,uA,40±10,39.2526,39.1010980232723,39.7714356744241,40.1066045,40.4417733255759,41.1121109767278,40.9287,100
Total current,mA,≤2.5,1.54737,1.53380634914561,1.58243721638187,1.60675265,1.63106808361813,1.67969895085439,1.68,100
Total power,mW,≤9,5.10634,5.0615620929308,5.22204323097693,5.3022838,5.38252436902307,5.5430055070692,5.54402,100
Differential DC gain,dB,≥85,91.1432,90.9726207265318,91.6785035755106,92.031445,92.3843864244894,93.0902692734682,92.9966,100
Differential UGF,MHz,≥8,13.0746,12.7721054021399,14.0080041340466,14.6259535,15.2439028659534,16.4798015978601,16.2534,100
Differential phase margin,deg,≥60,73.5827,73.0436188173654,75.7347716057885,77.080348,78.4259243942115,81.1170771826346,80.6091,100
Input differential offset,uV,±3000,-0.000582045,-0.000217919120596574,-7.89135165889744e-05,-9.41071458517465e-06,6.00920874186251e-05,0.000199097691426225,4.01429e-05,100
Gain error,%,±0.01,-0.00277,-0.0028115579782977,-0.00260725265943257,-0.0025051,-0.00240294734056743,-0.0021986420217023,-0.00224,100
Output CM error,mV,±25,-4.02329,-5.09800385507822,-1.79891207135941,-0.1493661795,1.50017971235941,4.79927149607822,4.82275,100
