Parameter,Unit,Spec,Min,MeanMinus3Sigma,MeanMinusSigma,Mean,MeanPlusSigma,MeanPlus3Sigma,Max,Yield_pct
FDC bias current,uA,40±10,38.852,38.4138385460097,39.5146331820032,40.0650305,40.6154278179968,41.7162224539903,41.4963,100
CMFB bias current,uA,40±10,38.9066,38.438792208639,39.5281010695463,40.0727555,40.6174099304537,41.706718791361,41.5239,100
Total current,mA,≤2.5,1.54081,1.52444665786968,1.57674338595656,1.60289175,1.62904011404344,1.68133684213032,1.68191,100
Total power,mW,≤9,5.08467,5.03066992452778,5.20325130817593,5.289542,5.37583269182407,5.54841407547222,5.5503,100
Differential DC gain,dB,≥85,92.0458,92.0504101892163,92.0596960630721,92.064339,92.0689819369279,92.0782678107838,92.0743,100
Differential UGF,MHz,≥8,13.8008,13.6166948284212,14.2536999428071,14.5722025,14.8907050571929,15.5277101715788,15.8143,100
Differential phase margin,deg,≥60,76.4496,76.5224454102851,76.923213470095,77.1235975,77.323981529905,77.7247495897149,77.6494,100
Input differential offset,uV,±3000,-2094.94,-2276.81303448961,-738.610958496536,30.4900795,799.591117496536,2337.79319348961,2353.51,100
Gain error,%,±0.01,-0.0025,-0.00249923744575131,-0.00249364581525044,-0.00249085,-0.00248805418474957,-0.00248246255424869,-0.00249,100
Output CM error,mV,±25,-10.1449,-12.4147296616084,-4.43462681153615,-0.4445753865,3.54547603853615,11.5255788886084,10.9151,100
