Parameter,Unit,Spec,NOM,FF,SS,FS,SF,VL,VH,TL,TH
"Set conditions",,,,,,,,,,,
"AVDD",V,,3.300,3.300,3.300,3.300,3.300,3.000,3.600,3.300,3.300
"Vin,cm",V,,1.650,1.650,1.650,1.650,1.650,1.500,1.800,1.650,1.650
"VREF",V,,1.650,1.650,1.650,1.650,1.650,1.500,1.800,1.650,1.650
"Closed-loop target gain",V/V,,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
"",,,,,,,,,,,
"Operating point",,,,,,,,,,,
"FDC bias current",uA,40±10,40.092,45.286,35.875,40.727,39.434,39.479,40.525,35.435,43.278
"CMFB bias current",uA,40±10,40.092,45.286,35.875,40.727,39.434,39.479,40.525,35.435,43.278
"Total current",mA,≤2.5,1.604,1.857,1.400,1.652,1.556,1.567,1.633,1.302,1.861
"Total power",mW,≤9,5.293,6.129,4.620,5.451,5.133,4.702,5.878,4.296,6.142
"",,,,,,,,,,,
"Open-loop simulation",,,,,,,,,,,
"Differential DC gain",dB,≥85,92.064,91.944,92.065,91.872,92.165,91.531,92.491,92.462,91.117
"Differential UGF",MHz,≥8,14.576,16.733,12.814,14.882,14.249,14.185,14.883,17.014,11.472
"Differential phase margin",deg,≥60,77.135,71.566,81.609,76.288,77.958,76.992,77.264,76.913,75.117
"Input differential offset",uV,±3000,0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,0.000
"CMRR @ 60 Hz",dB,≥80,310.521,312.797,324.622,324.759,229.964,316.027,228.347,315.193,323.547
"CMRR @ 150 Hz",dB,≥80,310.557,310.743,323.718,326.798,229.964,317.521,228.347,313.369,327.835
"PSRR+ @ 60 Hz",dB,≥80,307.375,315.633,316.238,320.393,220.817,328.871,221.794,309.943,315.483
"PSRR+ @ 150 Hz",dB,≥80,307.346,315.837,311.214,313.652,220.817,324.426,221.794,318.782,333.513
"PSRR- @ 60 Hz",dB,≥80,292.936,308.393,322.140,319.722,232.233,305.591,234.336,329.264,284.617
"PSRR- @ 150 Hz",dB,≥80,304.677,293.772,331.587,339.624,232.212,318.833,234.341,314.149,324.017
"Input-referred noise 0.05-150 Hz",uVrms,≤4,3.083,2.949,3.221,3.035,3.133,3.078,3.090,2.944,3.354
"",,,,,,,,,,,
"Closed-loop simulation",,,,,,,,,,,
"Closed-loop differential gain",dB,,-2.156e-04,-2.206e-04,-2.168e-04,-2.215e-04,-2.145e-04,-2.305e-04,-2.057e-04,-2.070e-04,-2.414e-04
"Gain error",%,±0.01,-0.002,-0.003,-0.002,-0.003,-0.002,-0.003,-0.002,-0.002,-0.003
"Output common mode, DC",V,,1.650,1.648,1.652,1.651,1.648,1.500,1.800,1.643,1.660
"Output CM error",mV,±25,-0.134,-2.343,2.199,1.218,-1.540,-0.164,-0.110,-7.162,9.893
"Input CM low",mV,≤1000,870.000,770.000,975.000,790.000,950.000,870.000,870.000,870.000,865.000
"Input CM high",V,≥2.3,3.300,3.300,3.300,3.300,3.300,3.000,3.600,3.300,3.300
"Input CM high headroom",mV,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Differential output swing low",V,≤-1.8,-3.248,-3.253,-3.248,-3.243,-3.253,-2.948,-3.548,-3.278,-3.208
"Differential output swing high",V,≥1.8,3.248,3.253,3.248,3.243,3.253,2.948,3.548,3.278,3.208
"Differential SR rise",V/us,≥4,7.204,9.005,5.872,7.330,7.070,7.066,7.304,6.403,7.678
"Differential SR fall",V/us,≥4,7.204,9.005,5.872,7.330,7.070,7.066,7.304,6.403,7.678
"Differential settling time",ns,≤300,175.868,124.926,221.833,171.439,180.305,175.886,175.868,195.670,156.864
"Differential-step CM disturbance",mV,≤60,37.043,33.644,40.242,37.291,36.627,36.906,37.077,31.713,44.950
"CMFB SR rise",V/us,≥2,3.555,4.446,2.883,3.620,3.473,3.447,3.612,3.173,3.769
"CMFB SR fall",V/us,≥2,3.496,4.510,2.756,3.509,3.480,3.437,3.538,3.452,3.337
"CMFB settling time",ns,≤1000,309.737,265.722,383.696,310.546,314.005,319.060,305.752,330.666,318.715
