Parameter,Unit,Spec,NOM,FF,SS,FS,SF,VL,VH,TL,TH
"Set conditions",,,,,,,,,,,
"AVDD",V,,3.300,3.300,3.300,3.300,3.300,3.000,3.600,3.300,3.300
"Vin,cm",V,,1.650,1.650,1.650,1.650,1.650,1.500,1.800,1.650,1.650
"VREF",V,,1.650,1.650,1.650,1.650,1.650,1.500,1.800,1.650,1.650
"Closed-loop target gain",V/V,,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
"",,,,,,,,,,,
"Operating point",,,,,,,,,,,
"FDC bias current",uA,40±10,40.092,45.286,35.875,40.727,39.434,39.479,40.525,35.435,43.278
"CMFB bias current",uA,40±10,40.092,45.286,35.875,40.727,39.434,39.479,40.525,35.435,43.278
"Total current",mA,≤2.5,1.604,1.857,1.400,1.652,1.556,1.568,1.633,1.302,1.861
"Total power",mW,≤9,5.293,6.129,4.620,5.451,5.133,4.703,5.878,4.296,6.142
"",,,,,,,,,,,
"Open-loop simulation",,,,,,,,,,,
"Differential DC gain",dB,≥85,88.699,88.550,88.731,88.379,88.952,88.122,89.195,89.168,87.741
"Differential UGF",MHz,≥8,12.447,14.528,10.764,12.619,12.257,12.170,12.662,13.933,10.253
"Differential phase margin",deg,≥60,72.649,66.886,77.375,71.851,73.436,72.365,72.892,75.290,69.080
"Input differential offset",uV,±3000,-0.000,-0.000,0.000,0.000,0.000,-0.000,0.000,-0.000,-0.000
"CMRR @ 60 Hz",dB,≥80,285.310,311.336,296.211,334.082,294.280,314.786,298.385,285.922,286.303
"CMRR @ 150 Hz",dB,≥80,285.322,358.824,295.776,331.726,294.428,338.284,298.865,286.211,286.341
"PSRR+ @ 60 Hz",dB,≥80,266.685,272.894,259.938,276.403,271.821,276.696,273.872,272.874,259.735
"PSRR+ @ 150 Hz",dB,≥80,258.182,273.176,266.133,260.513,260.086,260.002,260.203,262.669,305.063
"PSRR- @ 60 Hz",dB,≥80,282.569,291.306,279.423,278.740,292.440,294.133,297.502,309.147,274.160
"PSRR- @ 150 Hz",dB,≥80,277.076,300.965,282.441,280.892,283.131,286.933,288.764,282.124,273.993
"Input-referred noise 0.05-150 Hz",uVrms,≤4,3.086,2.950,3.222,3.035,3.135,3.080,3.091,2.945,3.356
"",,,,,,,,,,,
"Closed-loop simulation",,,,,,,,,,,
"Closed-loop differential gain",dB,,-3.190e-04,-3.247e-04,-3.165e-04,-3.310e-04,-3.102e-04,-3.411e-04,-3.010e-04,-3.023e-04,-3.551e-04
"Gain error",%,±0.01,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.003,-0.003,-0.004
"Output common mode, DC",V,,1.650,1.648,1.653,1.652,1.649,1.500,1.800,1.643,1.661
"Output CM error",mV,±25,0.395,-1.839,2.748,1.747,-1.017,0.365,0.415,-6.733,10.536
"Input CM low",mV,≤1000,870.000,770.000,975.000,790.000,955.000,870.000,875.000,870.000,865.000
"Input CM high",V,≥2.3,3.300,3.300,3.300,3.185,3.300,3.000,3.600,3.300,3.300
"Input CM high headroom",mV,,0.000,0.000,0.000,115.000,0.000,0.000,0.000,0.000,0.000
"Differential output swing low",V,≤-1.8,-3.188,-3.183,-3.188,-3.173,-3.198,-2.888,-3.483,-3.233,-3.118
"Differential output swing high",V,≥1.8,3.188,3.183,3.188,3.173,3.198,2.888,3.483,3.233,3.118
"Differential SR rise",V/us,≥4,7.232,9.031,5.903,7.360,7.103,7.101,7.334,6.443,7.706
"Differential SR fall",V/us,≥4,7.232,9.031,5.903,7.360,7.103,7.101,7.334,6.443,7.706
"Differential settling time",ns,≤300,149.698,149.144,200.295,165.133,154.280,154.705,149.702,174.303,180.993
"Differential-step CM disturbance",mV,≤60,30.247,27.596,33.256,30.706,29.694,30.066,30.352,24.927,39.263
"CMFB SR rise",V/us,≥2,3.589,4.487,2.913,3.660,3.505,3.477,3.650,3.208,3.800
"CMFB SR fall",V/us,≥2,3.526,4.541,2.785,3.541,3.509,3.468,3.569,3.474,3.379
"CMFB settling time",ns,≤1000,329.729,275.711,373.846,325.534,333.998,334.052,325.742,340.681,333.963
