Parameter,Unit,Spec,Min,MeanMinus3Sigma,MeanMinusSigma,Mean,MeanPlusSigma,MeanPlus3Sigma,Max,Yield_pct
FDC bias current,uA,40±10,39.2526,39.1010980232723,39.7714356744241,40.1066045,40.4417733255759,41.1121109767278,40.9287,100
CMFB bias current,uA,40±10,39.2526,39.1010980232723,39.7714356744241,40.1066045,40.4417733255759,41.1121109767278,40.9287,100
Total current,mA,≤2.5,1.54741,1.53383934753324,1.58247234917775,1.60678885,1.63110535082225,1.67973835246676,1.68005,100
Total power,mW,≤9,5.10645,5.06167037833124,5.22215849277708,5.30240255,5.38264660722292,5.54313472166876,5.54415,100
Differential DC gain,dB,≥85,87.7986,87.629316274568,88.3203417581893,88.6658545,89.0113672418106,89.7023927254319,89.613,100
Differential UGF,MHz,≥8,11.4109,11.263362667367,12.0708552224557,12.4746015,12.8783477775443,13.685840332633,13.6031,100
Differential phase margin,deg,≥60,69.2055,68.3618409652099,71.2336623217366,72.669573,74.1054836782634,76.9773050347901,77.4916,100
Input differential offset,uV,±3000,-0.000482035,-0.000238464987408364,-8.04012356731214e-05,-1.3693598055e-06,7.76625160621214e-05,0.000235726267797364,0.000445304,100
Gain error,%,±0.01,-0.00407,-0.00413089637741985,-0.00383686545913995,-0.00368985,-0.00354283454086005,-0.00324880362258015,-0.00331,100
Output CM error,mV,±25,-3.51141,-4.59433346104206,-1.27871158268069,0.3790993565,2.03691029568069,5.35253217404206,5.37385,100
