Parameter,Unit,NOM,NOM_Temp_C,NOM_VDD_V,FF,FF_Temp_C,FF_VDD_V,SS,SS_Temp_C,SS_VDD_V,FS,FS_Temp_C,FS_VDD_V,SF,SF_Temp_C,SF_VDD_V
Ibias minimum,uA,34.802,-40.000,3.000,39.339,-40.000,3.000,31.054,-40.000,3.000,35.334,-40.000,3.000,34.202,-40.000,3.000
Ibias maximum,uA,43.571,125.000,3.600,49.441,125.000,3.600,38.851,125.000,3.600,44.224,125.000,3.600,42.912,125.000,3.600
Ibias error minimum,%,-12.995,-40.000,3.000,-1.653,-40.000,3.000,-22.364,-40.000,3.000,-11.666,-40.000,3.000,-14.495,-40.000,3.000
Ibias error maximum,%,8.927,125.000,3.600,23.603,125.000,3.600,-2.873,125.000,3.600,10.559,125.000,3.600,7.281,125.000,3.600
BP minimum,V,1.261,125.000,3.000,1.358,125.000,3.000,1.160,125.000,3.000,1.138,125.000,3.000,1.386,125.000,3.000
BP maximum,V,2.031,-40.000,3.600,2.140,-40.000,3.600,1.918,-40.000,3.600,1.916,-40.000,3.600,2.146,-40.000,3.600
Maximum |VREF error|,uV,5.129,-40.000,3.600,4.101,-40.000,3.600,6.155,-40.000,3.600,5.127,-40.000,3.600,5.128,-40.000,3.600
Maximum |mirror error|,%,1.010e-01,125.000,3.000,1.341e-01,-40.000,3.600,1.389e-01,125.000,3.000,1.490e-01,125.000,3.000,1.351e-01,-40.000,3.600
Maximum IMST,fA,1.172e-02,125.000,3.000,7.394e-01,125.000,3.600,1.507e-03,125.000,3.000,2.045e-01,125.000,3.000,6.520e-04,125.000,3.000
Minimum MST margin,V,1.107,125.000,3.600,7.415e-01,125.000,3.600,1.441,125.000,3.600,1.021,125.000,3.600,1.192,125.000,3.600
IDD minimum,uA,72.097,-40.000,3.000,81.839,-40.000,3.000,64.131,-40.000,3.000,73.205,-40.000,3.000,70.842,-40.000,3.000
IDD maximum,uA,91.210,125.000,3.600,103.971,125.000,3.600,81.086,125.000,3.600,92.551,125.000,3.600,89.858,125.000,3.600
Power maximum,uW,328.356,125.000,3.600,374.297,125.000,3.600,291.910,125.000,3.600,333.182,125.000,3.600,323.487,125.000,3.600
