Parameter,Unit,NOM,FF,SS,FS,SF,VL,VH,TL,TH
Ibias,uA,39.997,45.168,35.799,40.621,39.350,39.393,40.423,35.353,43.171
Ibias error,%,-7.499e-03,12.920,-10.503,1.553,-1.626,-1.517,1.056,-11.619,7.926
IRS,uA,39.998,45.150,35.815,40.641,39.332,39.418,40.402,35.341,43.187
Mirror error,%,-2.826e-03,4.073e-02,-4.456e-02,-4.869e-02,4.598e-02,-6.296e-02,5.137e-02,3.385e-02,-3.796e-02
BP,V,1.643,1.748,1.533,1.523,1.763,1.350,1.938,1.735,1.553
VREF,V,1.650,1.650,1.650,1.650,1.650,1.500,1.800,1.650,1.650
VREF error,uV,-4.170,-3.334,-5.005,-4.168,-4.171,-3.793,-4.546,-4.701,-3.377
IMST,fA,2.083e-08,4.584e-07,1.184e-09,9.002e-07,4.722e-10,2.801e-07,1.740e-09,3.073e-14,1.584e-03
MST margin,V,1.541,1.209,1.878,1.452,1.631,1.759,1.316,1.648,1.328
IDD,uA,83.192,94.351,74.243,84.477,81.858,81.641,84.356,73.507,90.061
Power,uW,274.532,311.359,245.001,278.773,270.131,244.924,303.680,242.575,297.202
Startup time,us,807.362,777.960,839.330,838.091,804.620,882.469,743.647,896.695,807.833
