 frequency              vinn_real              vinn_imag              outn_real              outn_imag             
 1.000000000000000e-04  1.000000000000000e+00  0.000000000000000e+00  1.000504102760389e-02  9.952355590829765e-02 
 1.011579454259899e-04  1.000000000000000e+00  0.000000000000000e+00  1.023570296716684e-02  1.006525275628714e-01 
 1.023292992280754e-04  1.000000000000000e+00  0.000000000000000e+00  1.047162647011395e-02  1.017937592137135e-01 
 1.035142166679344e-04  1.000000000000000e+00  0.000000000000000e+00  1.071292893455339e-02  1.029473649279633e-01 
 1.047128548050900e-04  1.000000000000000e+00  0.000000000000000e+00  1.095973025586026e-02  1.041134591521837e-01 
 1.059253725177289e-04  1.000000000000000e+00  0.000000000000000e+00  1.121215287407412e-02  1.052921566859203e-01 
 1.071519305237607e-04  1.000000000000000e+00  0.000000000000000e+00  1.147032182192168e-02  1.064835726539982e-01 
 1.083926914021204e-04  1.000000000000000e+00  0.000000000000000e+00  1.173436477345837e-02  1.076878224775174e-01 
 1.096478196143186e-04  1.000000000000000e+00  0.000000000000000e+00  1.200441209332210e-02  1.089050218435030e-01 
 1.109174815262402e-04  1.000000000000000e+00  0.000000000000000e+00  1.228059688659083e-02  1.101352866731685e-01 
 1.122018454301964e-04  1.000000000000000e+00  0.000000000000000e+00  1.256305504923509e-02  1.113787330887475e-01 
 1.135010815672316e-04  1.000000000000000e+00  0.000000000000000e+00  1.285192531915503e-02  1.126354773788496e-01 
 1.148153621496884e-04  1.000000000000000e+00  0.000000000000000e+00  1.314734932779061e-02  1.139056359622926e-01 
 1.161448613840344e-04  1.000000000000000e+00  0.000000000000000e+00  1.344947165229211e-02  1.151893253503662e-01 
 1.174897554939531e-04  1.000000000000000e+00  0.000000000000000e+00  1.375843986823695e-02  1.164866621074775e-01 
 1.188502227437020e-04  1.000000000000000e+00  0.000000000000000e+00  1.407440460287737e-02  1.177977628101295e-01 
 1.202264434617414e-04  1.000000000000000e+00  0.000000000000000e+00  1.439751958890207e-02  1.191227440041821e-01 
 1.216186000646369e-04  1.000000000000000e+00  0.000000000000000e+00  1.472794171869318e-02  1.204617221603452e-01 
 1.230268770812383e-04  1.000000000000000e+00  0.000000000000000e+00  1.506583109905876e-02  1.218148136278498e-01 
 1.244514611771387e-04  1.000000000000000e+00  0.000000000000000e+00  1.541135110641889e-02  1.231821345862458e-01 
 1.258925411794169e-04  1.000000000000000e+00  0.000000000000000e+00  1.576466844242188e-02  1.245638009952704e-01 
 1.273503081016663e-04  1.000000000000000e+00  0.000000000000000e+00  1.612595318996524e-02  1.259599285427326e-01 
 1.288249551693136e-04  1.000000000000000e+00  0.000000000000000e+00  1.649537886959421e-02  1.273706325903567e-01 
 1.303166778452301e-04  1.000000000000000e+00  0.000000000000000e+00  1.687312249624836e-02  1.287960281175283e-01 
