 cl_ref                 cl_voutcm              cl_ideal               cl_vcmfb               cl_error              
 0.000000000000000e+00  2.430907607015813e-01  0.000000000000000e+00  1.091190760701581e+00  2.430907607015813e-01 
 1.000000000000000e-02  2.429943229651808e-01  1.000000000000000e-02  1.091094322965181e+00  2.329943229651807e-01 
 2.000000000000000e-02  2.430148163647528e-01  2.000000000000000e-02  1.091114816364753e+00  2.230148163647528e-01 
 3.000000000000000e-02  2.430443002955167e-01  3.000000000000000e-02  1.091144300295517e+00  2.130443002955167e-01 
 4.000000000000000e-02  2.430850936008022e-01  4.000000000000000e-02  1.091185093600802e+00  2.030850936008022e-01 
 5.000000000000000e-02  2.431283731342651e-01  5.000000000000000e-02  1.091228373134265e+00  1.931283731342651e-01 
 6.000000000000000e-02  2.431980118126917e-01  6.000000000000000e-02  1.091298011812692e+00  1.831980118126917e-01 
 7.000000000000001e-02  2.432823078628188e-01  7.000000000000001e-02  1.091382307862819e+00  1.732823078628188e-01 
 8.000000000000000e-02  2.433928113002610e-01  8.000000000000000e-02  1.091492811300261e+00  1.633928113002610e-01 
 9.000000000000000e-02  2.435386085480771e-01  9.000000000000000e-02  1.091638608548077e+00  1.535386085480771e-01 
 9.999999999999999e-02  2.437274278550363e-01  9.999999999999999e-02  1.091827427855036e+00  1.437274278550363e-01 
 1.100000000000000e-01  2.439834811572246e-01  1.100000000000000e-01  1.092083481157224e+00  1.339834811572246e-01 
 1.200000000000000e-01  2.443148661563608e-01  1.200000000000000e-01  1.092414866156361e+00  1.243148661563608e-01 
 1.300000000000000e-01  2.447504671760745e-01  1.300000000000000e-01  1.092850467176074e+00  1.147504671760745e-01 
 1.400000000000000e-01  2.453142917934374e-01  1.400000000000000e-01  1.093414291793437e+00  1.053142917934375e-01 
 1.500000000000000e-01  2.460463448341883e-01  1.500000000000000e-01  1.094146344834188e+00  9.604634483418831e-02 
 1.600000000000000e-01  2.469931347915200e-01  1.600000000000000e-01  1.095093134791520e+00  8.699313479151996e-02 
 1.700000000000000e-01  2.482062455451373e-01  1.700000000000000e-01  1.096306245545137e+00  7.820624554513725e-02 
 1.800000000000000e-01  2.497463755620413e-01  1.800000000000000e-01  1.097846375562041e+00  6.974637556204125e-02 
 1.900000000000000e-01  2.516940559855299e-01  1.900000000000000e-01  1.099794055985530e+00  6.169405598552982e-02 
 2.000000000000000e-01  2.541067381955728e-01  2.000000000000000e-01  1.102206738195573e+00  5.410673819557280e-02 
 2.100000000000000e-01  2.570786570341113e-01  2.100000000000000e-01  1.105178657034111e+00  4.707865703411121e-02 
 2.200000000000001e-01  2.606578788204739e-01  2.200000000000001e-01  1.108757878820474e+00  4.065787882047381e-02 
 2.300000000000001e-01  2.649053833306771e-01  2.300000000000001e-01  1.113005383330677e+00  3.490538333067708e-02 
 2.400000000000001e-01  2.698417731851970e-01  2.400000000000001e-01  1.117941773185197e+00  2.984177318519690e-02 
 2.500000000000001e-01  2.754760670544691e-01  2.500000000000001e-01  1.123576067054469e+00  2.547606705446909e-02 
 2.600000000000001e-01  2.817802061456447e-01  2.600000000000001e-01  1.129880206145645e+00  2.178020614564463e-02 
