 time                   tr_ref                 tr_voutcm              tr_vcmfb               tr_error              
 0.000000000000000e+00  1.550000000000000e+00  1.550301250868282e+00  2.484500602501737e+00  3.012508682818105e-04 
 1.000000000000000e-11  1.550000000000000e+00  1.550300384395166e+00  2.484500600768790e+00  3.003843951663310e-04 
 2.000000000000000e-11  1.550000000000000e+00  1.550303773883634e+00  2.484500607547767e+00  3.037738836340065e-04 
 4.000000000000000e-11  1.550000000000000e+00  1.550318347984005e+00  2.484500636695968e+00  3.183479840049852e-04 
 8.000000000000001e-11  1.550000000000000e+00  1.550369548938592e+00  2.484500739097877e+00  3.695489385922013e-04 
 1.600000000000000e-10  1.550000000000000e+00  1.550496843586970e+00  2.484500993687174e+00  4.968435869698862e-04 
 3.200000000000000e-10  1.550000000000000e+00  1.550707297264788e+00  2.484501414594530e+00  7.072972647879094e-04 
 6.400000000000001e-10  1.550000000000000e+00  1.550915725036941e+00  2.484501831450074e+00  9.157250369404846e-04 
 1.280000000000000e-09  1.550000000000000e+00  1.551008840734982e+00  2.484502017681470e+00  1.008840734981531e-03 
 2.280000000000000e-09  1.550000000000000e+00  1.550994432310084e+00  2.484501988864620e+00  9.944323100838925e-04 
 3.280000000000000e-09  1.550000000000000e+00  1.550973907583499e+00  2.484501947815167e+00  9.739075834989119e-04 
 4.280000000000000e-09  1.550000000000000e+00  1.550967571498065e+00  2.484501935142996e+00  9.675714980648120e-04 
 5.280000000000000e-09  1.550000000000000e+00  1.550966872546724e+00  2.484501933745094e+00  9.668725467235628e-04 
 6.280000000000000e-09  1.550000000000000e+00  1.550967054200083e+00  2.484501934108400e+00  9.670542000825844e-04 
 7.280000000000000e-09  1.550000000000000e+00  1.550967127890026e+00  2.484501934255780e+00  9.671278900256208e-04 
 8.280000000000000e-09  1.550000000000000e+00  1.550967121903481e+00  2.484501934243807e+00  9.671219034810274e-04 
 9.280000000000001e-09  1.550000000000000e+00  1.550967110733083e+00  2.484501934221466e+00  9.671107330830875e-04 
 1.028000000000000e-08  1.550000000000000e+00  1.550967108504199e+00  2.484501934217008e+00  9.671085041993432e-04 
 1.128000000000000e-08  1.550000000000000e+00  1.550967110171088e+00  2.484501934220342e+00  9.671101710881924e-04 
 1.228000000000000e-08  1.550000000000000e+00  1.550967111659009e+00  2.484501934223318e+00  9.671116590090900e-04 
 1.328000000000000e-08  1.550000000000000e+00  1.550967112429282e+00  2.484501934224859e+00  9.671124292818245e-04 
 1.428000000000000e-08  1.550000000000000e+00  1.550967112652437e+00  2.484501934225305e+00  9.671126524366525e-04 
 1.528000000000001e-08  1.550000000000000e+00  1.550967112600700e+00  2.484501934225201e+00  9.671126007002595e-04 
 1.628000000000000e-08  1.550000000000000e+00  1.550967112602033e+00  2.484501934225204e+00  9.671126020325271e-04 
 1.728000000000000e-08  1.550000000000000e+00  1.550967112586267e+00  2.484501934225173e+00  9.671125862673602e-04 
 1.828000000000000e-08  1.550000000000000e+00  1.550967112599368e+00  2.484501934225199e+00  9.671125993679919e-04 
 1.928000000000000e-08  1.550000000000000e+00  1.550967112590708e+00  2.484501934225182e+00  9.671125907082523e-04 
 2.028000000000000e-08  1.550000000000000e+00  1.550967112595815e+00  2.484501934225192e+00  9.671125958152782e-04 
 2.128000000000000e-08  1.550000000000000e+00  1.550967112585379e+00  2.484501934225171e+00  9.671125853791818e-04 
 2.228000000000000e-08  1.550000000000000e+00  1.550967112596704e+00  2.484501934225193e+00  9.671125967034566e-04 
 2.328000000000000e-08  1.550000000000000e+00  1.550967112583381e+00  2.484501934225167e+00  9.671125833807803e-04 
 2.428000000000000e-08  1.550000000000000e+00  1.550967112594039e+00  2.484501934225188e+00  9.671125940389214e-04 
