 frequency              input_noise_VrtHz      output_noise_VrtHz    
 1.000000000000000e-02  1.139959335562512e-05  2.985287338183319e-01 
 1.023292992280754e-02  1.126440806105048e-05  2.949885467134603e-01 
 1.047128548050899e-02  1.113084722168154e-05  2.914909002945010e-01 
 1.071519305237606e-02  1.099889106903279e-05  2.880352766218859e-01 
 1.096478196143185e-02  1.086852007796008e-05  2.846211647558695e-01 
 1.122018454301963e-02  1.073971496364373e-05  2.812480594243479e-01 
 1.148153621496882e-02  1.061245667858795e-05  2.779154621827817e-01 
 1.174897554939529e-02  1.048672640968813e-05  2.746228799949779e-01 
 1.202264434617412e-02  1.036250557530061e-05  2.713698263727056e-01 
 1.230268770812381e-02  1.023977582238161e-05  2.681558206925962e-01 
 1.258925411794167e-02  1.011851902363454e-05  2.649803881284731e-01 
 1.288249551693134e-02  9.998717274711661e-06  2.618430601510680e-01 
 1.318256738556407e-02  9.880352891448062e-06  2.587433733095886e-01 
 1.348962882591653e-02  9.763408407116283e-06  2.556808701952428e-01 
 1.380384264602884e-02  9.647866569733679e-06  2.526550993506147e-01 
 1.412537544622754e-02  9.533710339394803e-06  2.496656142086286e-01 
 1.445439770745927e-02  9.420922885634427e-06  2.467119741292702e-01 
 1.479108388168207e-02  9.309487584832229e-06  2.437937436732951e-01 
 1.513561248436207e-02  9.199388017638593e-06  2.409104930683895e-01 
 1.548816618912481e-02  9.090607966444360e-06  2.380617976094896e-01 
 1.584893192461113e-02  8.983131412872023e-06  2.352472377072912e-01 
 1.621810097358929e-02  8.876942535310252e-06  2.324663988296979e-01 
 1.659586907437560e-02  8.772025706463696e-06  2.297188720395480e-01 
 1.698243652461744e-02  8.668365490944868e-06  2.270042530183363e-01 
 1.737800828749375e-02  8.565946642898108e-06  2.243221426097099e-01 
 1.778279410038922e-02  8.464754103639890e-06  2.216721461708539e-01 
 1.819700858609983e-02  8.364772999343493e-06  2.190538744820156e-01 
 1.862087136662867e-02  8.265988638745898e-06  2.164669427162964e-01 
 1.905460717963246e-02  8.168386510874608e-06  2.139109709577142e-01 
 1.949844599758044e-02  8.071952282829567e-06  2.113855835835355e-01 
 1.995262314968879e-02  7.976671797555879e-06  2.088904101310797e-01 
 2.041737944669528e-02  7.882531071677161e-06  2.064250843158481e-01 
 2.089296130854039e-02  7.789516293336542e-06  2.039892444375503e-01 
 2.137962089502231e-02  7.697613820075061e-06  2.015825333192130e-01 
 2.187761623949552e-02  7.606810176724398e-06  1.992045978160888e-01 
 2.238721138568339e-02  7.517092053343467e-06  1.968550895482963e-01 
 2.290867652767772e-02  7.428446303162783e-06  1.945336644008585e-01 
 2.344228815319921e-02  7.340859940570233e-06  1.922399820554952e-01 
 2.398832919019489e-02  7.254320139107962e-06  1.899737067023507e-01 
 2.454708915685028e-02  7.168814229504718e-06  1.877345065627824e-01 
 2.511886431509578e-02  7.084329697728169e-06  1.855220539234926e-01 
 2.570395782768862e-02  7.000854183061570e-06  1.833360251654499e-01 
 2.630267991895379e-02  6.918375476208858e-06  1.811761003178177e-01 
 2.691534803926913e-02  6.836881517413917e-06  1.790419638016000e-01 
 2.754228703338164e-02  6.756360394614092e-06  1.769333035883878e-01 
 2.818382931264451e-02  6.676800341610126e-06  1.748498115488840e-01 
 2.884031503126603e-02  6.598189736261330e-06  1.727911834010773e-01 
 2.951209226666382e-02  6.520517098700548e-06  1.707571183637005e-01 
 3.019951720402013e-02  6.443771089579778e-06  1.687473194883316e-01 
 3.090295432513587e-02  6.367940508323637e-06  1.667614936048599e-01 
 3.162277660168375e-02  6.293014291416181e-06  1.647993509830444e-01 
 3.235936569296278e-02  6.218981510707424e-06  1.628606051558854e-01 
 3.311311214825906e-02  6.145831371735730e-06  1.609449738667445e-01 
 3.388441561392020e-02  6.073553212076105e-06  1.590521776090151e-01 
