 sweep_vcmfb            sweep_voutp            sweep_voutn            sweep_voutcm           sweep_vod             
 0.000000000000000e+00  2.977308194852953e-07  2.977308194821455e-07  2.977308194837204e-07  3.149850833042726e-18 
 1.000000000000000e-04  3.582780320975097e-07  3.582780320979852e-07  3.582780320977475e-07 -4.754501812056795e-19 
 2.000000000000000e-04  3.582780314488420e-07  3.582780314490224e-07  3.582780314489322e-07 -1.804180177651660e-19 
 3.000000000000000e-04  3.582780439266845e-07  3.582780439281307e-07  3.582780439274076e-07 -1.446255817877514e-18 
 4.000000000000000e-04  3.582780432263863e-07  3.582780432287519e-07  3.582780432275691e-07 -2.365551263444447e-18 
 5.000000000000000e-04  3.582780425623725e-07  3.582780425646256e-07  3.582780425634990e-07 -2.253160579255642e-18 
 6.000000000000001e-04  3.582780419026765e-07  3.582780419037192e-07  3.582780419031979e-07 -1.042644618510840e-18 
 7.000000000000001e-04  3.582780412020270e-07  3.582780412030741e-07  3.582780412025506e-07 -1.047144481043129e-18 
 8.000000000000001e-04  3.582780405688736e-07  3.582780405712582e-07  3.582780405700659e-07 -2.384556565198466e-18 
 9.000000000000002e-04  3.582780398971688e-07  3.582780398964432e-07  3.582780398968060e-07  7.256425380009184e-19 
 1.000000000000000e-03  3.582780391754292e-07  3.582780391761895e-07  3.582780391758094e-07 -7.602650097199379e-19 
 1.100000000000000e-03  3.582780385669746e-07  3.582780385641863e-07  3.582780385655805e-07  2.788273643683547e-18 
 1.200000000000000e-03  3.582780378573632e-07  3.582780378602223e-07  3.582780378587928e-07 -2.859106773897687e-18 
 1.300000000000000e-03  3.582780372027227e-07  3.582780371886479e-07  3.582780371956853e-07  1.407477590761028e-17 
 1.400000000000000e-03  3.582780365055487e-07  3.582780364969076e-07  3.582780365012281e-07  8.641059550973948e-18 
 1.500000000000000e-03  3.582780358682893e-07  3.582780358596924e-07  3.582780358639908e-07  8.596960898157521e-18 
 1.600000000000001e-03  3.582780351764128e-07  3.582780351933251e-07  3.582780351848689e-07 -1.691233628091219e-17 
 1.700000000000001e-03  3.582780345001898e-07  3.582780344955869e-07  3.582780344978884e-07  4.602829974939071e-18 
 1.800000000000001e-03  3.582780338279362e-07  3.582780338291883e-07  3.582780338285622e-07 -1.252073514719466e-18 
 1.900000000000001e-03  3.582780331539037e-07  3.582780331551847e-07  3.582780331545442e-07 -1.280925574485316e-18 
 2.000000000000000e-03  3.582780324532660e-07  3.582780324516343e-07  3.582780324524501e-07  1.631650154207799e-18 
 2.100000000000000e-03  3.582780318066657e-07  3.582780318075557e-07  3.582780318071107e-07 -8.899669297682527e-19 
 2.200000000000000e-03  3.582780311500300e-07  3.582780311513733e-07  3.582780311507017e-07 -1.343288375226914e-18 
 2.300000000000000e-03  3.582780304807911e-07  3.582780304824046e-07  3.582780304815979e-07 -1.613544824960239e-18 
 2.400000000000000e-03  3.582780298106827e-07  3.582780298130118e-07  3.582780298118473e-07 -2.329128846712512e-18 
 2.500000000000000e-03  3.582780291042357e-07  3.582780291072690e-07  3.582780291057523e-07 -3.033277923676853e-18 
 2.599999999999999e-03  3.582780284297348e-07  3.582780284323141e-07  3.582780284310245e-07 -2.579321203507751e-18 
 2.699999999999999e-03  3.582780277968887e-07  3.582780277968282e-07  3.582780277968585e-07  6.045697661027569e-20 
 2.799999999999999e-03  3.582780270876020e-07  3.582780270898868e-07  3.582780270887444e-07 -2.284712556540865e-18 
 2.899999999999999e-03  3.582780264444810e-07  3.582780264323314e-07  3.582780264384062e-07  1.214957589761967e-17 
 2.999999999999999e-03  3.582780257691699e-07  3.582780257757207e-07  3.582780257724453e-07 -6.550793995387149e-18 
 3.099999999999999e-03  3.582780250956097e-07  3.582780250941051e-07  3.582780250948574e-07  1.504648151678858e-18 
 3.199999999999998e-03  3.582780243857820e-07  3.582780243876621e-07  3.582780243867220e-07 -1.880042565990123e-18 
 3.299999999999998e-03  3.582780237253087e-07  3.582780237230396e-07  3.582780237241742e-07  2.269095386575864e-18 
 3.399999999999998e-03  3.582780230633552e-07  3.582780230646583e-07  3.582780230640067e-07 -1.303107249791538e-18 
 3.499999999999998e-03  3.582780223841150e-07  3.582780223866039e-07  3.582780223853595e-07 -2.488900436388355e-18 
 3.599999999999998e-03  3.582780217168831e-07  3.582780217173155e-07  3.582780217170993e-07 -4.324103195733203e-19 
 3.699999999999998e-03  3.582780210568852e-07  3.582780210556263e-07  3.582780210562558e-07  1.258902717856704e-18 
 3.799999999999997e-03  3.582780203633049e-07  3.582780203650346e-07  3.582780203641698e-07 -1.729641278293281e-18 
 3.899999999999997e-03  3.582780197002137e-07  3.582780197002157e-07  3.582780197002147e-07 -1.958763690525570e-21 
 3.999999999999997e-03  3.582780190521848e-07  3.582780190499764e-07  3.582780190510806e-07  2.208373712169571e-18 
 4.099999999999998e-03  3.582780183621027e-07  3.582780183596720e-07  3.582780183608874e-07  2.430719860823825e-18 
 4.199999999999998e-03  3.582780176605611e-07  3.582780176623445e-07  3.582780176614528e-07 -1.783321991325523e-18 
 4.299999999999998e-03  3.582780170008009e-07  3.582780170019105e-07  3.582780170013557e-07 -1.109560221343930e-18 
 4.399999999999999e-03  3.582780162978913e-07  3.582780163007331e-07  3.582780162993122e-07 -2.841795538038178e-18 
 4.499999999999999e-03  3.582780156416170e-07  3.582780156415901e-07  3.582780156416036e-07  2.689329607532404e-20 
 4.599999999999999e-03  3.582780149961916e-07  3.582780149942463e-07  3.582780149952190e-07  1.945317042487908e-18 
 4.699999999999999e-03  3.582780142853371e-07  3.582780142844086e-07  3.582780142848728e-07  9.284539893091200e-19 
