Parameter,Unit,NOM,FF,SS,FS,SF,VL,VH,TL,TH
"Set conditions",,,,,,,,,,
"AVDD",V,3.300,3.300,3.300,3.300,3.300,3.000,3.600,3.300,3.300
"Vin,cm",V,1.650,1.650,1.650,1.650,1.650,1.500,1.800,1.650,1.650
"VREF",V,1.650,1.650,1.650,1.650,1.650,1.500,1.800,1.650,1.650
"Closed-loop target gain",V/V,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
"",,,,,,,,,,
"Open-loop simulation",,,,,,,,,,
"FDC bias current",uA,40.090,45.285,35.873,40.726,39.432,39.477,40.523,35.432,43.277
"CMFB bias current",uA,40.090,45.285,35.873,40.726,39.432,39.477,40.523,35.432,43.277
"Total current",uA,1752.848,2015.037,1540.864,1797.402,1706.839,1724.232,1773.166,1466.475,1987.065
"Total power",mW,5.784,6.650,5.085,5.931,5.633,5.173,6.383,4.839,6.557
"Differential DC gain",dB,86.369,85.967,86.527,85.679,86.920,85.907,86.729,87.119,85.027
"Differential UGF",MHz,12.149,14.520,10.395,12.303,11.976,11.899,12.338,12.887,10.387
"Differential phase margin",deg,72.786,75.004,70.516,71.973,73.602,72.561,72.970,74.222,71.094
"Input differential offset",uV,-0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000
"CMRR @ 60 Hz",dB,339.035,317.772,329.878,322.864,325.785,323.856,319.286,331.106,314.238
"CMRR @ 150 Hz",dB,330.190,314.100,326.649,336.772,326.972,316.573,350.076,321.304,322.731
"PSRR+ @ 60 Hz",dB,316.017,317.185,335.081,319.714,320.792,314.182,328.380,321.435,296.198
"PSRR+ @ 150 Hz",dB,321.501,314.206,317.928,318.628,318.235,321.202,324.324,319.520,296.252
"PSRR- @ 60 Hz",dB,322.373,318.199,304.119,318.180,319.889,320.168,285.616,308.043,287.276
"PSRR- @ 150 Hz",dB,296.985,311.485,324.807,312.727,324.803,285.791,309.649,316.023,295.627
"Input-referred noise 0.05-150 Hz",uVrms,3.111,2.960,3.264,3.057,3.166,3.104,3.117,2.981,3.368
"",,,,,,,,,,
"Closed-loop simulation",,,,,,,,,,
"Closed-loop differential gain",dB,-3.789e-04,-3.715e-04,-3.859e-04,-3.968e-04,-3.743e-04,-4.115e-04,-3.513e-04,-3.576e-04,-4.235e-04
"Gain error",%,-4.362e-03,-4.277e-03,-4.443e-03,-4.568e-03,-4.309e-03,-4.737e-03,-4.044e-03,-4.117e-03,-4.876e-03
"Output common mode, DC",V,1.650,1.646,1.654,1.651,1.649,1.500,1.800,1.631,1.680
"Output CM error at nominal",mV,-0.057,-3.703,4.036,0.755,-0.842,-0.027,-0.079,-18.722,29.725
"Output differential, DC",uV,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,-0.000
"Input CM low",V,0.897,0.796,0.999,0.814,0.979,0.892,0.899,0.899,0.886
"Input CM high",V,3.300,3.300,3.300,3.146,3.300,3.000,3.600,3.300,3.284
"Input CM high headroom",mV,0.000,0.000,0.000,154.000,0.000,0.000,0.000,0.000,16.000
"Differential command low",V,-3.160,-3.162,-3.156,-3.147,-3.172,-2.861,-3.458,-3.230,-3.049
"Differential command high",V,3.160,3.162,3.156,3.147,3.172,2.861,3.458,3.230,3.049
"Differential output swing low",V,-3.158,-3.160,-3.154,-3.145,-3.170,-2.859,-3.456,-3.228,-3.047
"Differential output swing high",V,3.158,3.160,3.154,3.145,3.170,2.859,3.456,3.228,3.047
"Differential SR rise",V/us,7.294,8.286,6.496,7.418,7.165,7.158,7.396,6.486,7.785
"Differential SR fall",V/us,7.200,8.167,6.419,7.327,7.068,7.066,7.300,6.427,7.645
"Differential settling time",ns,150.600,138.600,190.600,146.600,154.600,152.600,148.600,168.100,164.600
"Differential-step CM disturbance",mV,28.348,26.367,31.199,28.269,28.459,28.325,28.347,27.509,58.414
"CMFB SR rise",V/us,3.530,4.043,3.067,3.645,3.365,3.295,3.640,3.176,3.702
"CMFB SR fall",V/us,3.506,4.075,3.031,3.573,3.435,3.446,3.551,3.911,2.806
"CMFB settling time",ns,313.600,275.100,356.600,303.100,324.600,317.600,310.100,327.100,387.100
