 time                   v(REF)                 v(VOCM)                v(OUTP)                v(OUTN)                cm_voutcm              cm_voutdiff            cm_idd                
 0.000000000000000e+00  8.500000000000000e-01  8.681938947895703e-01  8.681939384446722e-01  8.681939379538579e-01  8.681939381992650e-01  4.908142781090419e-10  1.555369203196318e-03 
 5.000000000000000e-11  8.500000000000000e-01  8.681938947896732e-01  8.681939384446915e-01  8.681939379538821e-01  8.681939381992868e-01  4.908093931277335e-10  1.555369202732836e-03 
 1.000000000000000e-10  8.500000000000000e-01  8.681938947897779e-01  8.681939384447147e-01  8.681939379538717e-01  8.681939381992931e-01  4.908430328853797e-10  1.555369202363096e-03 
 2.000000000000000e-10  8.500000000000000e-01  8.681938947899474e-01  8.681939384446887e-01  8.681939379537534e-01  8.681939381992211e-01  4.909352924187260e-10  1.555369202222657e-03 
 4.000000000000000e-10  8.500000000000000e-01  8.681938947901423e-01  8.681939384446599e-01  8.681939379536133e-01  8.681939381991366e-01  4.910465367657935e-10  1.555369203116618e-03 
 8.000000000000000e-10  8.500000000000000e-01  8.681938947903963e-01  8.681939384450322e-01  8.681939379540796e-01  8.681939381995559e-01  4.909526118979102e-10  1.555369202700788e-03 
 1.600000000000000e-09  8.500000000000000e-01  8.681938947928926e-01  8.681939384487619e-01  8.681939379581093e-01  8.681939382034356e-01  4.906526296366565e-10  1.555369202887671e-03 
 3.200000000000000e-09  8.500000000000000e-01  8.681938948018881e-01  8.681939384579714e-01  8.681939379735016e-01  8.681939382157365e-01  4.844697976125190e-10  1.555369203207949e-03 
 6.400000000000000e-09  8.500000000000000e-01  8.681938948312862e-01  8.681939384829130e-01  8.681939380226545e-01  8.681939382527838e-01  4.602584979807034e-10  1.555369203827436e-03 
 1.140000000000000e-08  8.500000000000000e-01  8.681938948945501e-01  8.681939385037835e-01  8.681939381512701e-01  8.681939383275268e-01  3.525133518422763e-10  1.555369203290740e-03 
 1.640000000000000e-08  8.500000000000000e-01  8.681938949655931e-01  8.681939385205920e-01  8.681939382893012e-01  8.681939384049466e-01  2.312907643187145e-10  1.555369204080812e-03 
