 time                   v(VDIFFCMD)            tr_vin_diff            v(OUTP)                v(OUTN)                tr_voutcm              tr_voutdiff            v(VOCM)                tr_idd                
 0.000000000000000e+00  0.000000000000000e+00 -1.298696705731572e-10  1.649931383569917e+00  1.649931383310178e+00  1.649931383440048e+00  2.597395631909194e-10  1.649931300943483e+00  1.670955891048551e-03 
 5.000000000000001e-12  0.000000000000000e+00 -1.298652296810587e-10  1.649931383569913e+00  1.649931383310175e+00  1.649931383440044e+00  2.597380088786849e-10  1.649931300943471e+00  1.670955892614808e-03 
 1.000000000000000e-11  0.000000000000000e+00 -1.298616769673799e-10  1.649931383569908e+00  1.649931383310172e+00  1.649931383440040e+00  2.597355663880307e-10  1.649931300943466e+00  1.670955892538881e-03 
 2.000000000000000e-11  0.000000000000000e+00 -1.298776641789345e-10  1.649931383569903e+00  1.649931383310178e+00  1.649931383440041e+00  2.597257964254140e-10  1.649931300943473e+00  1.670955891486299e-03 
 4.000000000000000e-11  0.000000000000000e+00 -1.299544916122386e-10  1.649931383569895e+00  1.649931383310164e+00  1.649931383440029e+00  2.597309034513273e-10  1.649931300943485e+00  1.670955891233223e-03 
 8.000000000000001e-11  0.000000000000000e+00 -1.300053398267664e-10  1.649931383569837e+00  1.649931383310125e+00  1.649931383439981e+00  2.597111414814890e-10  1.649931300943499e+00  1.670955891114715e-03 
 1.600000000000000e-10  0.000000000000000e+00 -1.303108732031433e-10  1.649931383569589e+00  1.649931383309869e+00  1.649931383439729e+00  2.597195791764761e-10  1.649931300943380e+00  1.670955892806795e-03 
 3.200000000000000e-10  0.000000000000000e+00 -1.290476614457248e-10  1.649931383569308e+00  1.649931383309578e+00  1.649931383439443e+00  2.597302373175125e-10  1.649931300943085e+00  1.670955891565071e-03 
 6.400000000000001e-10  0.000000000000000e+00 -1.276365679814262e-10  1.649931383568626e+00  1.649931383309891e+00  1.649931383439259e+00  2.587359215766583e-10  1.649931300943123e+00  1.670955892437519e-03 
 1.140000000000000e-09  0.000000000000000e+00 -1.249806924619179e-10  1.649931383567339e+00  1.649931383312582e+00  1.649931383439960e+00  2.547562161225869e-10  1.649931300943657e+00  1.670955892086833e-03 
 1.640000000000000e-09  0.000000000000000e+00 -1.220852308136955e-10  1.649931383564140e+00  1.649931383316416e+00  1.649931383440278e+00  2.477233973507964e-10  1.649931300943870e+00  1.670955892358888e-03 
 2.140000000000000e-09  0.000000000000000e+00 -1.197051346935041e-10  1.649931383558619e+00  1.649931383320691e+00  1.649931383439655e+00  2.379287877829483e-10  1.649931300943295e+00  1.670955892100341e-03 
 2.640000000000000e-09  0.000000000000000e+00 -1.178435127258126e-10  1.649931383550973e+00  1.649931383325161e+00  1.649931383438067e+00  2.258122577813992e-10  1.649931300941722e+00  1.670955891462231e-03 
 3.140000000000000e-09  0.000000000000000e+00 -1.162840934654241e-10  1.649931383541495e+00  1.649931383329602e+00  1.649931383435549e+00  2.118929476324638e-10  1.649931300939332e+00  1.670955891426320e-03 
 3.640000000000000e-09  0.000000000000000e+00 -1.127324900096482e-10  1.649931383529551e+00  1.649931383333999e+00  1.649931383431775e+00  1.955513528884012e-10  1.649931300935692e+00  1.670955891011138e-03 
 4.140000000000000e-09  0.000000000000000e+00 -1.092201884489441e-10  1.649931383514221e+00  1.649931383338258e+00  1.649931383426240e+00  1.759630219311248e-10  1.649931300930344e+00  1.670955890647712e-03 
 4.640000000000001e-09  0.000000000000000e+00 -1.061739585139776e-10  1.649931383496425e+00  1.649931383342367e+00  1.649931383419396e+00  1.540580996106655e-10  1.649931300923920e+00  1.670955890244146e-03 
 5.140000000000001e-09  0.000000000000000e+00 -1.034736740734843e-10  1.649931383476430e+00  1.649931383346344e+00  1.649931383411387e+00  1.300863861075641e-10  1.649931300916240e+00  1.670955889900956e-03 
 5.640000000000001e-09  0.000000000000000e+00 -1.009472505586473e-10  1.649931383454686e+00  1.649931383350176e+00  1.649931383402431e+00  1.045099562446694e-10  1.649931300907540e+00  1.670955890112282e-03 
 6.140000000000002e-09  0.000000000000000e+00 -9.839573600345375e-11  1.649931383431426e+00  1.649931383353934e+00  1.649931383392680e+00  7.749156871739160e-11  1.649931300898337e+00  1.670955889685607e-03 
 6.640000000000002e-09  0.000000000000000e+00 -9.575118475879663e-11  1.649931383407218e+00  1.649931383357703e+00  1.649931383382460e+00  4.951572485367706e-11  1.649931300888283e+00  1.670955890027503e-03 
 7.140000000000002e-09  0.000000000000000e+00 -9.291345470785473e-11  1.649931383382384e+00  1.649931383361509e+00  1.649931383371947e+00  2.087485739821204e-11  1.649931300877999e+00  1.670955889621427e-03 
 7.640000000000003e-09  0.000000000000000e+00 -8.983058741307559e-11  1.649931383357081e+00  1.649931383365330e+00  1.649931383361205e+00 -8.249845251384613e-12  1.649931300867559e+00  1.670955889857436e-03 
 8.140000000000002e-09  0.000000000000000e+00 -8.652722982560590e-11  1.649931383331417e+00  1.649931383369118e+00  1.649931383350268e+00 -3.770050938101122e-11  1.649931300856880e+00  1.670955889798098e-03 
 8.640000000000002e-09  0.000000000000000e+00 -8.293277176107949e-11  1.649931383305878e+00  1.649931383372858e+00  1.649931383339368e+00 -6.698042120945047e-11  1.649931300846162e+00  1.670955889612114e-03 
 9.140000000000001e-09  0.000000000000000e+00 -7.906519883249530e-11  1.649931383280276e+00  1.649931383376544e+00  1.649931383328410e+00 -9.626854868827195e-11  1.649931300835518e+00  1.670955889593286e-03 
 9.640000000000001e-09  0.000000000000000e+00 -7.490608133764454e-11  1.649931383254563e+00  1.649931383380154e+00  1.649931383317359e+00 -1.255915371700667e-10  1.649931300824770e+00  1.670955889992441e-03 
 1.014000000000000e-08  0.000000000000000e+00 -7.045586336573706e-11  1.649931383228900e+00  1.649931383383835e+00  1.649931383306367e+00 -1.549351758001194e-10  1.649931300814044e+00  1.670955889981022e-03 
 1.064000000000000e-08  0.000000000000000e+00 -6.572475896859942e-11  1.649931383203378e+00  1.649931383387649e+00  1.649931383295514e+00 -1.842710428689998e-10  1.649931300803298e+00  1.670955889979491e-03 
