 frequency              onoise_spectrum       
 1.000000000000000e-02  1.634420117784215e-01 
 1.023292992280754e-02  1.615032819498414e-01 
 1.047128548050899e-02  1.595878547828309e-01 
 1.071519305237606e-02  1.576954466346478e-01 
 1.096478196143185e-02  1.558257773538599e-01 
 1.122018454301963e-02  1.539785702400372e-01 
 1.148153621496882e-02  1.521535519956258e-01 
 1.174897554939529e-02  1.503504526892406e-01 
 1.202264434617412e-02  1.485690057102438e-01 
 1.230268770812381e-02  1.468089477285369e-01 
 1.258925411794167e-02  1.450700186536666e-01 
 1.288249551693134e-02  1.433519615955650e-01 
 1.318256738556407e-02  1.416545228226659e-01 
 1.348962882591653e-02  1.399774517246570e-01 
 1.380384264602884e-02  1.383205007727170e-01 
 1.412537544622754e-02  1.366834254823143e-01 
 1.445439770745927e-02  1.350659843731443e-01 
 1.479108388168207e-02  1.334679389344224e-01 
 1.513561248436207e-02  1.318890535860218e-01 
 1.548816618912481e-02  1.303290956434753e-01 
 1.584893192461113e-02  1.287878352807773e-01 
 1.621810097358929e-02  1.272650454965812e-01 
 1.659586907437560e-02  1.257605020771396e-01 
 1.698243652461744e-02  1.242739835637931e-01 
 1.737800828749375e-02  1.228052712161875e-01 
 1.778279410038922e-02  1.213541489817576e-01 
 1.819700858609983e-02  1.199204034588863e-01 
 1.862087136662867e-02  1.185038238675802e-01 
 1.905460717963246e-02  1.171042020140384e-01 
 1.949844599758044e-02  1.157213322602282e-01 
 1.995262314968879e-02  1.143550114908839e-01 
 2.041737944669528e-02  1.130050390841148e-01 
 2.089296130854039e-02  1.116712168790911e-01 
 2.137962089502231e-02  1.103533491450715e-01 
 2.187761623949552e-02  1.090512425530096e-01 
 2.238721138568339e-02  1.077647061441614e-01 
 2.290867652767772e-02  1.064935513020262e-01 
 2.344228815319921e-02  1.052375917219303e-01 
 2.398832919019489e-02  1.039966433838524e-01 
 2.454708915685028e-02  1.027705245229317e-01 
 2.511886431509578e-02  1.015590556016409e-01 
 2.570395782768862e-02  1.003620592837728e-01 
 2.630267991895379e-02  9.917936040438080e-02 
 2.691534803926913e-02  9.801078594584015e-02 
 2.754228703338164e-02  9.685616500877049e-02 
 2.818382931264451e-02  9.571532878784501e-02 
 2.884031503126603e-02  9.458811054410921e-02 
 2.951209226666382e-02  9.347434558113663e-02 
 3.019951720402013e-02  9.237387121795303e-02 
 3.090295432513587e-02  9.128652676579060e-02 
 3.162277660168375e-02  9.021215350184258e-02 
 3.235936569296278e-02  8.915059464613012e-02 
 3.311311214825906e-02  8.810169533744920e-02 
 3.388441561392020e-02  8.706530260856661e-02 
 3.467368504525311e-02  8.604126536401463e-02 
 3.548133892335749e-02  8.502943435574471e-02 
 3.630780547701008e-02  8.402966216191003e-02 
 3.715352290971719e-02  8.304180316252163e-02 
 3.801893963205605e-02  8.206571351834391e-02 
 3.890451449942799e-02  8.110125114837530e-02 
 3.981071705534966e-02  8.014827570840048e-02 
 4.073802778041120e-02  7.920664856931543e-02 
 4.168693834703347e-02  7.827623279607208e-02 
 4.265795188015920e-02  7.735689312667819e-02 
 4.365158322401652e-02  7.644849595086853e-02 
 4.466835921509623e-02  7.555090929181928e-02 
 4.570881896148742e-02  7.466400278307106e-02 
 4.677351412871973e-02  7.378764765093700e-02 
 4.786300923226374e-02  7.292171669366336e-02 
 4.897788193684452e-02  7.206608426240931e-02 
