Parameter,Unit,Value,Corner
"FDC bias current",uA,49.581,FFVHTH
"CMFB bias current",uA,49.581,FFVHTH
"Total current",mA,2.320,FFVHTH
"Total power",mW,8.352,FFVHTH
"Differential DC gain",dB,83.594,FSVLTH
"Differential UGF",MHz,8.306,SSVLTH
"Differential phase margin",deg,64.167,FFVLTH
"Input differential offset",pV,419.831,SSVLTH
"CMRR @ 60 Hz",dB,219.487,FSVHTH
"CMRR @ 150 Hz",dB,219.487,FSVHTH
"PSRR+ @ 60 Hz",dB,193.115,FSVHTH
"PSRR+ @ 150 Hz",dB,193.111,FSVHTH
"PSRR- @ 60 Hz",dB,213.454,FSVHTH
"PSRR- @ 150 Hz",dB,213.456,FSVHTH
"Input-referred noise 0.05-150 Hz",uVrms,3.545,SSVHTH
"Closed-loop differential gain",dB,-4.924e-04,FSVLTH
"Gain error",%,-0.006,FSVLTH
"Output common mode, DC",V,1.833,SSVHTH
"Output CM error at nominal",mV,32.999,SSNOMTH
"Output differential, DC",pV,337.730,SSNOMTH
"Input CM low",V,1.006,SSVHTL
"Input CM high",V,2.689,FSVLTH
"Input CM high headroom",mV,311.000,FSVLTH
"Differential command low",V,-2.732,FSVLTH
"Differential command high",V,2.732,FSVLTH
"Differential output swing low",V,-2.730,FSVLTH
"Differential output swing high",V,2.730,FSVLTH
"Differential SR rise",V/us,5.138,SSVLTL
"Differential SR fall",V/us,5.073,SSVLTL
"Differential settling time",ns,236.600,SSVLTL
"Differential-step CM disturbance",mV,59.978,SSNOMTH
"CMFB SR rise",V/us,2.241,SSVLNOM
"CMFB SR fall",V/us,2.133,SSVLTH
"CMFB settling time",ns,507.100,SSVLTH
