Parameter,Unit,Spec,Min,MeanMinus3Sigma,MeanMinusSigma,Mean,MeanPlusSigma,MeanPlus3Sigma,Max,Yield_pct
FDC bias current,uA,40±10,38.7226,38.1758747307462,39.4452945769154,40.0800045,40.7147144230846,41.9841342692538,41.7163,100
CMFB bias current,uA,40±10,38.7122,38.2011541239033,39.4588723746344,40.0877315,40.7165906253655,41.9743088760967,41.6049,100
Total current,mA,≤2.5,1.5191,1.49703240981844,1.56952306993948,1.6057684,1.64201373006052,1.71450439018156,1.74484,100
Total power,mW,≤9,5.01304,4.94020718451037,5.17942556150346,5.29903475,5.41864393849654,5.65786231548963,5.75797,100
Differential DC gain,dB,≥85,87.7838,87.6233217083687,88.3190325694562,88.666888,89.0147434305438,89.7104542916313,89.6215,100
Differential UGF,MHz,≥8,11.3066,11.1826419746907,12.0401159915636,12.468853,12.8975900084364,13.7550640253093,13.6862,100
Differential phase margin,deg,≥60,68.9959,68.2795024696411,71.203189156547,72.6650325,74.126875843453,77.0505625303589,77.8489,100
Input differential offset,uV,±3000,-2096.15,-2276.34088741982,-738.306215139939,30.711121,799.728457139939,2337.76312941982,2354.43,100
Gain error,%,±0.01,-0.00408,-0.00413338970980935,-0.00383752990326978,-0.0036896,-0.00354167009673022,-0.00324581029019065,-0.0033,100
Output CM error,mV,±25,-9.94725,-13.7829434551286,-4.54592644870953,0.0725820545,4.69109055770953,13.9281075641286,13.6811,100
