Parameter,Unit,Spec,Min,MeanMinus3Sigma,MeanMinusSigma,Mean,MeanPlusSigma,MeanPlus3Sigma,Max,Yield
FDC bias current,uA,40±10,39.2682,39.1044341594375,39.7742777198125,40.1091995,40.4441212801875,41.1139648405625,41.0006,100
CMFB bias current,uA,40±10,39.2682,39.1044341594375,39.7742777198125,40.1091995,40.4441212801875,41.1139648405625,41.0006,100
Total current,mA,≤2.3,1.55098,1.53713477155926,1.58584165718642,1.6101951,1.63454854281358,1.68325542844074,1.68173,100
Total power,mW,≤8.5,5.11824,5.0725463551784,5.2332782183928,5.31364415,5.3940100816072,5.5547419448216,5.54969,100
Differential DC gain,dB,≥85,89.4033,89.2118185016746,89.9065631672249,90.2539355,90.6013078327751,91.2960524983254,91.1228,100
Differential UGF,MHz,≥8,12.522,12.3141597139592,12.9886535713197,13.3259005,13.6631474286803,14.3376412860408,14.17,100
Differential phase margin,deg,≥60,76.9168,76.5885717337654,77.6767135779218,78.2207845,78.7648554220782,79.8529972662346,79.7078,100
Input differential offset,uV,±2000,-0.000715637,-0.000268466964808702,-9.27263141735672e-05,-4.855988856e-06,8.30143364615672e-05,0.000258754987096702,0.000661765,100
Gain error,%,±0.01,-0.00339,-0.00344230448341327,-0.00319653482780442,-0.00307365,-0.00295076517219558,-0.00270499551658673,-0.00278,100
Output CM error,mV,±50,-3.31626,-4.40234472803111,-1.08018757541037,0.5808910009,2.24196957721037,5.56412672983111,5.59099,100
