Parameter,Unit,Spec,Min,MeanMinus3Sigma,MeanMinusSigma,Mean,MeanPlusSigma,MeanPlus3Sigma,Max,Yield_pct
FDC bias current,uA,40±10,38.852,38.4138385460097,39.5146331820032,40.0650305,40.6154278179968,41.7162224539903,41.4963,100
CMFB bias current,uA,40±10,38.9066,38.438792208639,39.5281010695463,40.0727555,40.6174099304537,41.706718791361,41.5239,100
Total current,mA,≤2.5,1.54084,1.52447818592001,1.57677749530667,1.60292715,1.62907680469333,1.68137611407999,1.68195,100
Total power,mW,≤9,5.08478,5.0307835017165,5.20336810057217,5.2896604,5.37595269942783,5.5485372982835,5.55042,100
Differential DC gain,dB,≥85,88.6391,88.6472722772235,88.6825670924078,88.7002145,88.7178619075921,88.7531567227765,88.739,100
Differential UGF,MHz,≥8,11.905,11.7817871019744,12.2228617006581,12.443399,12.6639362993419,13.1050108980256,13.2937,100
Differential phase margin,deg,≥60,72.2733,72.2594780187472,72.5140933395824,72.641401,72.7687086604176,73.0233239812528,73.059,100
Input differential offset,uV,±3000,-2097.01,-2276.45029477724,-738.365159925746,30.6774075,799.719974925746,2337.80510977724,2355.49,100
Gain error,%,±0.01,-0.0037,-0.00369698636772343,-0.00368076212257448,-0.00367265,-0.00366453787742553,-0.00364831363227657,-0.00366,100
Output CM error,mV,±25,-9.63169,-11.9048911035512,-3.9121912678504,0.08415865,4.0805085678504,12.0732084035512,11.4634,100
