Parameter,Unit,Spec,NOM,FF,SS,FS,SF,VL,VH,TL,TH
"Set conditions",,,,,,,,,,,
"AVDD",V,,3.300,3.300,3.300,3.300,3.300,3.000,3.600,3.300,3.300
"Vin,cm",V,,1.650,1.650,1.650,1.650,1.650,1.500,1.800,1.650,1.650
"VREF",V,,1.650,1.650,1.650,1.650,1.650,1.500,1.800,1.650,1.650
"Closed-loop target gain",V/V,,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
"",,,,,,,,,,,
"Operating point",,,,,,,,,,,
"FDC bias current",uA,40±10,40.092,45.286,35.875,40.727,39.434,39.479,40.525,35.435,43.278
"CMFB bias current",uA,40±10,40.092,45.286,35.875,40.727,39.434,39.479,40.525,35.435,43.278
"Total current",mA,≤2.3,1.607,1.861,1.403,1.655,1.559,1.571,1.636,1.305,1.865
"Total power",mW,≤8.5,5.304,6.143,4.629,5.462,5.144,4.712,5.891,4.306,6.155
"",,,,,,,,,,,
"Open-loop simulation",,,,,,,,,,,
"Differential DC gain",dB,≥85,90.284,90.175,90.279,90.015,90.482,89.705,90.777,90.820,89.267
"Differential UGF",MHz,≥8,13.297,15.244,11.710,13.549,13.023,12.915,13.600,15.882,10.277
"Differential phase margin",deg,≥60,78.195,72.617,82.553,77.361,79.013,77.968,78.395,78.566,75.399
"Input differential offset",uV,±2000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,0.000,-0.000
"CMRR @ 60 Hz",dB,≥80,292.126,273.186,280.065,295.583,291.132,301.878,290.957,291.782,297.709
"CMRR @ 150 Hz",dB,≥80,292.155,273.218,280.042,296.173,291.194,306.872,290.540,291.267,299.332
"PSRR+ @ 60 Hz",dB,≥80,274.113,260.902,261.586,282.205,270.956,283.354,276.055,276.661,266.440
"PSRR+ @ 150 Hz",dB,≥80,256.203,258.864,254.218,256.855,255.748,256.201,255.788,270.270,261.545
"PSRR- @ 60 Hz",dB,≥80,277.555,271.359,269.185,302.663,277.510,315.965,293.206,292.675,304.320
"PSRR- @ 150 Hz",dB,≥80,285.367,270.551,267.228,292.174,277.043,292.874,287.845,290.227,288.837
"Input-referred noise 0.05-150 Hz",uVrms,≤4,2.373,2.263,2.485,2.341,2.405,2.375,2.372,2.227,2.629
"",,,,,,,,,,,
"Closed-loop simulation",,,,,,,,,,,
"Closed-loop differential gain",dB,,-2.649e-04,-2.692e-04,-2.658e-04,-2.743e-04,-2.588e-04,-2.843e-04,-2.505e-04,-2.504e-04,-2.988e-04
"Gain error",%,±0.01,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003
"Output common mode, DC",V,,1.651,1.648,1.653,1.652,1.649,1.501,1.801,1.643,1.661
"Output CM error",mV,±50,0.596,-1.631,2.949,1.944,-0.808,0.571,0.614,-6.590,10.829
"Output differential, DC",pV,±2e+09,249.094,424.858,-22.958,15.353,5.745,-223.545,-170.699,-119.543,-291.256
"Input CM low",mV,≤1000,840.000,740.000,940.000,760.000,920.000,835.000,840.000,845.000,825.000
"Input CM high",V,,3.300,3.300,3.300,3.240,3.300,3.000,3.600,3.300,3.300
"Input CM high headroom",mV,≤300,0.000,0.000,0.000,60.000,0.000,0.000,0.000,0.000,0.000
"Differential output swing low",V,≤-2.7,-3.218,-3.218,-3.218,-3.213,-3.228,-2.918,-3.518,-3.258,-3.163
"Differential output swing high",V,≥2.7,3.218,3.218,3.218,3.213,3.228,2.918,3.518,3.258,3.163
"Differential SR rise",V/us,≥4,5.944,7.425,4.852,6.051,5.837,5.834,6.028,5.291,6.345
"Differential SR fall",V/us,≥4,5.944,7.425,4.852,6.051,5.837,5.834,6.028,5.291,6.345
"Differential settling time",ns,≤300,203.081,146.574,259.300,198.983,207.152,205.451,198.050,222.528,184.320
"Differential-step CM disturbance",mV,≤60,58.641,53.727,62.937,58.374,59.242,58.196,58.916,56.201,63.858
"CMFB SR rise",V/us,≥2,3.028,3.793,2.451,3.088,2.955,2.934,3.078,2.703,3.207
"CMFB SR fall",V/us,≥2,2.904,3.752,2.289,2.918,2.889,2.857,2.939,2.877,2.759
"CMFB settling time",ns,≤2000,369.633,295.694,478.702,364.790,378.966,374.223,369.790,363.618,398.754
