NMOS terminal gm/Id table:

L = 0.28 um
     gm/Id     gm/gds       Gain           Id/W       gm/Id*fT        Vov         Vt        VGS
     (1/V)                  (dB)        (uA/um)        (GHz/V)        (V)        (V)        (V)
      4.00      26.75      28.55          35.72            131      0.500      0.493      0.993
      5.00      27.79      28.88          25.46          148.3      0.400      0.517      0.917
      6.00      28.52      29.10          18.88          161.1      0.333      0.529      0.862
      7.00      29.06      29.27          14.35          169.7      0.286      0.534      0.820
      8.00      29.45      29.38          11.11          174.5      0.250      0.536      0.786
      9.00      29.75      29.47           8.69          175.8      0.222      0.535      0.757
     10.00      29.97      29.53          6.841            174      0.200      0.532      0.732
     11.00      30.13      29.58          5.406          169.4      0.182      0.527      0.709
     12.00      30.25      29.61          4.278          162.4      0.167      0.522      0.689
     13.00      30.32      29.64          3.378          153.4      0.154      0.516      0.670
     14.00      30.38      29.65          2.662          142.7      0.143      0.509      0.652
     15.00      30.41      29.66          2.082          130.7      0.133      0.502      0.635
     16.00      30.43      29.66          1.609          117.4      0.125      0.494      0.619
     17.00      30.44      29.67           1.23          103.4      0.118      0.485      0.602
     18.00      30.46      29.67         0.9232          89.08      0.111      0.475      0.586
     19.00      30.49      29.68         0.6759          74.61      0.105      0.464      0.569
     20.00      30.54      29.70         0.4828          60.65      0.100      0.452      0.552

L = 0.50 um
     gm/Id     gm/gds       Gain           Id/W       gm/Id*fT        Vov         Vt        VGS
     (1/V)                  (dB)        (uA/um)        (GHz/V)        (V)        (V)        (V)
      4.00     126.56      42.05          25.15          43.28      0.500      0.619      1.119
      5.00     140.54      42.96          17.45          47.54      0.400      0.637      1.037
      6.00     151.15      43.59          12.67          50.56      0.333      0.646      0.979
      7.00     159.28      44.04          9.484          52.62      0.286      0.648      0.934
      8.00     165.52      44.38          7.241          53.87      0.250      0.648      0.898
      9.00     170.23      44.62          5.607          54.42      0.222      0.646      0.868
     10.00     173.70      44.80          4.381          54.34      0.200      0.642      0.842
     11.00     176.13      44.92          3.442          53.67      0.182      0.637      0.819
     12.00     177.68      44.99          2.714          52.44      0.167      0.632      0.798
     13.00     178.49      45.03          2.138          50.66      0.154      0.625      0.779
     14.00     178.64      45.04          1.681          48.33      0.143      0.618      0.761
     15.00     178.20      45.02          1.315          45.45      0.133      0.611      0.744
     16.00     177.28      44.97          1.018          42.03      0.125      0.603      0.728
     17.00     175.90      44.91         0.7767          38.07      0.118      0.594      0.711
     18.00     174.13      44.82         0.5823          33.63      0.111      0.584      0.695
     19.00     172.08      44.71         0.4238          28.74      0.105      0.572      0.678
     20.00     169.90      44.60         0.2968          23.53      0.100      0.560      0.660

L = 1.00 um
     gm/Id     gm/gds       Gain           Id/W       gm/Id*fT        Vov         Vt        VGS
     (1/V)                  (dB)        (uA/um)        (GHz/V)        (V)        (V)        (V)
      4.00     289.76      49.24          14.18          12.21      0.500      0.627      1.127
      5.00     320.23      50.11          9.506          12.94      0.400      0.637      1.037
      6.00     342.60      50.70          6.743          13.41      0.333      0.641      0.974
      7.00     359.29      51.11          4.966           13.7      0.286      0.642      0.927
      8.00     371.73      51.40          3.752          13.84      0.250      0.640      0.890
      9.00     380.72      51.61           2.89          13.85      0.222      0.637      0.859
     10.00     386.89      51.75          2.257          13.75      0.200      0.633      0.833
     11.00     390.74      51.84          1.774          13.53      0.182      0.628      0.810
     12.00     392.50      51.88          1.404           13.2      0.167      0.623      0.790
     13.00     392.43      51.88          1.115          12.76      0.154      0.617      0.771
     14.00     390.70      51.84          0.885          12.21      0.143      0.611      0.754
     15.00     387.51      51.77         0.6988          11.54      0.133      0.604      0.738
     16.00     382.89      51.66         0.5481          10.76      0.125      0.597      0.722
     17.00     376.87      51.52         0.4252          9.847      0.118      0.589      0.707
     18.00     369.58      51.35         0.3235          8.812      0.111      0.580      0.691
     19.00     360.95      51.15         0.2407          7.659      0.105      0.570      0.675
     20.00     351.23      50.91         0.1719          6.393      0.100      0.558      0.658

L = 1.50 um
     gm/Id     gm/gds       Gain           Id/W       gm/Id*fT        Vov         Vt        VGS
     (1/V)                  (dB)        (uA/um)        (GHz/V)        (V)        (V)        (V)
      4.00     374.47      51.47          9.743          5.536      0.500      0.628      1.128
      5.00     411.92      52.30          6.421          5.759      0.400      0.635      1.035
      6.00     438.93      52.85          4.494          5.882      0.333      0.636      0.970
      7.00     458.71      53.23          3.277          5.935      0.286      0.635      0.921
      8.00     473.09      53.50          2.459          5.931      0.250      0.633      0.883
      9.00     483.26      53.68          1.881          5.876      0.222      0.629      0.851
     10.00     489.87      53.80           1.46          5.778      0.200      0.624      0.824
     11.00     493.61      53.87          1.143          5.636      0.182      0.619      0.801
     12.00     494.79      53.89         0.9001          5.454      0.167      0.613      0.780
     13.00     493.69      53.87         0.7119          5.234      0.154      0.607      0.761
     14.00     490.56      53.81         0.5633          4.974      0.143      0.601      0.744
     15.00     485.63      53.73         0.4436          4.673      0.133      0.594      0.727
     16.00     478.97      53.61         0.3469           4.33      0.125      0.587      0.712
     17.00     470.56      53.45         0.2687          3.947      0.118      0.578      0.696
     18.00     460.60      53.27          0.204           3.52      0.111      0.569      0.680
     19.00     448.92      53.04         0.1516          3.053      0.105      0.559      0.664
     20.00     435.82      52.79         0.1083          2.546      0.100      0.547      0.647

L = 2.00 um
     gm/Id     gm/gds       Gain           Id/W       gm/Id*fT        Vov         Vt        VGS
     (1/V)                  (dB)        (uA/um)        (GHz/V)        (V)        (V)        (V)
      4.00     443.53      52.94          7.327          3.092      0.500      0.628      1.128
      5.00     488.46      53.78           4.78          3.182      0.400      0.632      1.032
      6.00     520.69      54.33          3.323          3.222      0.333      0.632      0.966
      7.00     544.15      54.71          2.408          3.225      0.286      0.630      0.916
      8.00     561.04      54.98          1.796          3.197      0.250      0.627      0.877
      9.00     572.72      55.16          1.367          3.144      0.222      0.622      0.845
     10.00     580.15      55.27          1.055          3.067      0.200      0.617      0.817
     11.00     583.97      55.33         0.8229          2.969      0.182      0.612      0.794
     12.00     584.74      55.34         0.6453          2.852      0.167      0.606      0.772
     13.00     582.80      55.31         0.5078          2.716      0.154      0.599      0.753
     14.00     578.46      55.25         0.3997          2.563      0.143      0.593      0.735
     15.00     572.01      55.15         0.3131           2.39      0.133      0.585      0.719
     16.00     563.45      55.02         0.2441          2.201      0.125      0.578      0.703
     17.00     552.95      54.85         0.1881          1.994      0.118      0.569      0.687
     18.00     540.64      54.66         0.1422          1.768      0.111      0.560      0.671
     19.00     526.40      54.43         0.1052          1.525      0.105      0.549      0.654
     20.00     510.58      54.16        0.07476          1.266      0.100      0.537      0.637
