PMOS terminal gm/Id table:

L = 0.28 um
     gm/Id     gm/gds       Gain           Id/W       gm/Id*fT        Vov         Vt        VSG
     (1/V)                  (dB)        (uA/um)        (GHz/V)        (V)        (V)        (V)
      4.00      37.84      31.56          14.35          38.09      0.500      0.647      1.147
      5.00      42.38      32.54          9.899          41.32      0.400      0.664      1.064
      6.00      45.93      33.24           7.21          43.61      0.333      0.673      1.006
      7.00      48.78      33.76          5.439          45.06      0.286      0.677      0.963
      8.00      51.10      34.17          4.201          45.75      0.250      0.678      0.928
      9.00      53.04      34.49          3.293          45.71      0.222      0.677      0.900
     10.00      54.65      34.75          2.611          45.02      0.200      0.675      0.875
     11.00      56.01      34.96           2.08          43.71      0.182      0.671      0.853
     12.00      57.14      35.14          1.658          41.81      0.167      0.667      0.834
     13.00      58.09      35.28           1.32           39.4      0.154      0.661      0.815
     14.00      58.88      35.40          1.045          36.54      0.143      0.655      0.798
     15.00      59.53      35.50         0.8204          33.29      0.133      0.648      0.781
     16.00      60.05      35.57         0.6365           29.7      0.125      0.640      0.765
     17.00      60.45      35.63         0.4832          25.82      0.118      0.631      0.748
     18.00      60.73      35.67         0.3565          21.71      0.111      0.620      0.731
     19.00      60.88      35.69         0.2525          17.46      0.105      0.607      0.712
     20.00      60.91      35.69         0.1675          13.17      0.100      0.591      0.691

L = 0.50 um
     gm/Id     gm/gds       Gain           Id/W       gm/Id*fT        Vov         Vt        VSG
     (1/V)                  (dB)        (uA/um)        (GHz/V)        (V)        (V)        (V)
      4.00     127.77      42.13          7.602          11.71      0.500      0.732      1.232
      5.00     156.20      43.87          5.101          12.35      0.400      0.742      1.142
      6.00     181.72      45.19          3.641          12.77      0.333      0.747      1.081
      7.00     204.72      46.22          2.708             13      0.286      0.749      1.035
      8.00     225.52      47.06          2.067          13.04      0.250      0.749      0.999
      9.00     244.31      47.76          1.607          12.91      0.222      0.747      0.969
     10.00     261.25      48.34          1.265          12.62      0.200      0.744      0.944
     11.00     276.54      48.83          1.001          12.18      0.182      0.740      0.922
     12.00     290.20      49.25         0.7959           11.6      0.167      0.735      0.902
     13.00     302.33      49.61         0.6329           10.9      0.154      0.729      0.883
     14.00     312.99      49.91         0.5013           10.1      0.143      0.723      0.866
     15.00     322.24      50.16         0.3935          9.196      0.133      0.716      0.849
     16.00     329.90      50.37          0.306          8.215      0.125      0.708      0.833
     17.00     336.09      50.53         0.2335          7.164      0.118      0.699      0.817
     18.00     340.76      50.65         0.1734          6.056      0.111      0.689      0.800
     19.00     343.65      50.72         0.1243          4.917      0.105      0.676      0.782
     20.00     344.70      50.75        0.08384          3.758      0.100      0.661      0.761

L = 1.00 um
     gm/Id     gm/gds       Gain           Id/W       gm/Id*fT        Vov         Vt        VSG
     (1/V)                  (dB)        (uA/um)        (GHz/V)        (V)        (V)        (V)
      4.00     284.18      49.07          3.409          2.647      0.500      0.743      1.243
      5.00     356.06      51.03          2.239          2.732      0.400      0.749      1.149
