Corner,Process,Environment,AVDD_V,Temperature_C,Electrode,Parameter,Unit,Value
NOMNOMNOM,NOM,NOMNOM,3.3,27,BAL,AVDD,V,3.300
NOMNOMNOM,NOM,NOMNOM,3.3,27,BAL,Temperature,C,27.000
NOMNOMNOM,NOM,NOMNOM,3.3,27,BAL,INA target gain,V/V,240.000
NOMNOMNOM,NOM,NOMNOM,3.3,27,BAL,Total current,mA,4.441
NOMNOMNOM,NOM,NOMNOM,3.3,27,BAL,Total power,mW,14.655
NOMNOMNOM,NOM,NOMNOM,3.3,27,BAL,Output CM error vs VREF,mV,-0.057
NOMNOMNOM,NOM,NOMNOM,3.3,27,BAL,RLD DC error vs VREF,uV,17.428
NOMNOMNOM,NOM,NOMNOM,3.3,27,BAL,Gain @ 10 Hz (V/V),V/V,231.355
NOMNOMNOM,NOM,NOMNOM,3.3,27,BAL,Gain @ 10 Hz (dB),dB,47.286
NOMNOMNOM,NOM,NOMNOM,3.3,27,BAL,Gain error,%,-3.602
NOMNOMNOM,NOM,NOMNOM,3.3,27,BAL,Gain @ 0.05 Hz,dB,47.286
NOMNOMNOM,NOM,NOMNOM,3.3,27,BAL,Gain @ 150 Hz,dB,47.286
NOMNOMNOM,NOM,NOMNOM,3.3,27,BAL,Gain flatness 0.05-150 Hz,dB,1.419e-06
NOMNOMNOM,NOM,NOMNOM,3.3,27,BAL,-3 dB bandwidth,kHz,260.315
NOMNOMNOM,NOM,NOMNOM,3.3,27,BAL,RLD loop UGF,kHz,0.946
NOMNOMNOM,NOM,NOMNOM,3.3,27,BAL,RLD phase margin,deg,100.673
NOMNOMNOM,NOM,NOMNOM,3.3,27,BAL,Input CM suppression @ 60 Hz,dB,55.072
NOMNOMNOM,NOM,NOMNOM,3.3,27,BAL,Input CM suppression @ 150 Hz,dB,53.260
NOMNOMNOM,NOM,NOMNOM,3.3,27,BAL,Input-referred noise 0.05-150 Hz,uVrms,2.671
NOMNOMNOM,NOM,NOMNOM,3.3,27,BAL,RLD output excursion,mV,2.743
NOMNOMNOM,NOM,NOMNOM,3.3,27,BAL,Peak |RLD current|,nA,3.069
NOMNOMNOM,NOM,NOMNOM,3.3,27,BAL,Differential gain before interference,V/V,231.355
NOMNOMNOM,NOM,NOMNOM,3.3,27,BAL,Differential gain during interference,V/V,231.356
NOMNOMNOM,NOM,NOMNOM,3.3,27,BAL,Gain change during CM interference,%,9.938e-05
NOMVLNOM,NOM,VLNOM,3,27,BAL,AVDD,V,3.000
NOMVLNOM,NOM,VLNOM,3,27,BAL,Temperature,C,27.000
NOMVLNOM,NOM,VLNOM,3,27,BAL,INA target gain,V/V,240.000
NOMVLNOM,NOM,VLNOM,3,27,BAL,Total current,mA,4.339
NOMVLNOM,NOM,VLNOM,3,27,BAL,Total power,mW,13.017
NOMVLNOM,NOM,VLNOM,3,27,BAL,Output CM error vs VREF,mV,-0.027
NOMVLNOM,NOM,VLNOM,3,27,BAL,RLD DC error vs VREF,uV,15.587
NOMVLNOM,NOM,VLNOM,3,27,BAL,Gain @ 10 Hz (V/V),V/V,231.316
NOMVLNOM,NOM,VLNOM,3,27,BAL,Gain @ 10 Hz (dB),dB,47.284
NOMVLNOM,NOM,VLNOM,3,27,BAL,Gain error,%,-3.618
NOMVLNOM,NOM,VLNOM,3,27,BAL,Gain @ 0.05 Hz,dB,47.284
NOMVLNOM,NOM,VLNOM,3,27,BAL,Gain @ 150 Hz,dB,47.284
NOMVLNOM,NOM,VLNOM,3,27,BAL,Gain flatness 0.05-150 Hz,dB,1.471e-06
NOMVLNOM,NOM,VLNOM,3,27,BAL,-3 dB bandwidth,kHz,255.651
NOMVLNOM,NOM,VLNOM,3,27,BAL,RLD loop UGF,kHz,0.946
NOMVLNOM,NOM,VLNOM,3,27,BAL,RLD phase margin,deg,100.645
NOMVLNOM,NOM,VLNOM,3,27,BAL,Input CM suppression @ 60 Hz,dB,55.068
NOMVLNOM,NOM,VLNOM,3,27,BAL,Input CM suppression @ 150 Hz,dB,53.240
NOMVLNOM,NOM,VLNOM,3,27,BAL,Input-referred noise 0.05-150 Hz,uVrms,2.671
NOMVLNOM,NOM,VLNOM,3,27,BAL,RLD output excursion,mV,2.743
NOMVLNOM,NOM,VLNOM,3,27,BAL,Peak |RLD current|,nA,3.072
NOMVLNOM,NOM,VLNOM,3,27,BAL,Differential gain before interference,V/V,231.316
NOMVLNOM,NOM,VLNOM,3,27,BAL,Differential gain during interference,V/V,231.317
NOMVLNOM,NOM,VLNOM,3,27,BAL,Gain change during CM interference,%,2.670e-04
NOMVHNOM,NOM,VHNOM,3.6,27,BAL,AVDD,V,3.600
NOMVHNOM,NOM,VHNOM,3.6,27,BAL,Temperature,C,27.000
NOMVHNOM,NOM,VHNOM,3.6,27,BAL,INA target gain,V/V,240.000
NOMVHNOM,NOM,VHNOM,3.6,27,BAL,Total current,mA,4.522
NOMVHNOM,NOM,VHNOM,3.6,27,BAL,Total power,mW,16.279
NOMVHNOM,NOM,VHNOM,3.6,27,BAL,Output CM error vs VREF,mV,-0.079
NOMVHNOM,NOM,VHNOM,3.6,27,BAL,RLD DC error vs VREF,uV,19.262
NOMVHNOM,NOM,VHNOM,3.6,27,BAL,Gain @ 10 Hz (V/V),V/V,231.386
NOMVHNOM,NOM,VHNOM,3.6,27,BAL,Gain @ 10 Hz (dB),dB,47.287
NOMVHNOM,NOM,VHNOM,3.6,27,BAL,Gain error,%,-3.589
NOMVHNOM,NOM,VHNOM,3.6,27,BAL,Gain @ 0.05 Hz,dB,47.287
NOMVHNOM,NOM,VHNOM,3.6,27,BAL,Gain @ 150 Hz,dB,47.287
NOMVHNOM,NOM,VHNOM,3.6,27,BAL,Gain flatness 0.05-150 Hz,dB,1.382e-06
NOMVHNOM,NOM,VHNOM,3.6,27,BAL,-3 dB bandwidth,kHz,263.792
NOMVHNOM,NOM,VHNOM,3.6,27,BAL,RLD loop UGF,kHz,0.946
NOMVHNOM,NOM,VHNOM,3.6,27,BAL,RLD phase margin,deg,100.699
NOMVHNOM,NOM,VHNOM,3.6,27,BAL,Input CM suppression @ 60 Hz,dB,55.075
NOMVHNOM,NOM,VHNOM,3.6,27,BAL,Input CM suppression @ 150 Hz,dB,53.277
NOMVHNOM,NOM,VHNOM,3.6,27,BAL,Input-referred noise 0.05-150 Hz,uVrms,2.672
NOMVHNOM,NOM,VHNOM,3.6,27,BAL,RLD output excursion,mV,2.743
NOMVHNOM,NOM,VHNOM,3.6,27,BAL,Peak |RLD current|,nA,3.066
NOMVHNOM,NOM,VHNOM,3.6,27,BAL,Differential gain before interference,V/V,231.386
NOMVHNOM,NOM,VHNOM,3.6,27,BAL,Differential gain during interference,V/V,231.386
NOMVHNOM,NOM,VHNOM,3.6,27,BAL,Gain change during CM interference,%,1.682e-04
NOMNOMTL,NOM,NOMTL,3.3,-40,BAL,AVDD,V,3.300
NOMNOMTL,NOM,NOMTL,3.3,-40,BAL,Temperature,C,-40.000
NOMNOMTL,NOM,NOMTL,3.3,-40,BAL,INA target gain,V/V,240.000
NOMNOMTL,NOM,NOMTL,3.3,-40,BAL,Total current,mA,3.734
NOMNOMTL,NOM,NOMTL,3.3,-40,BAL,Total power,mW,12.322
NOMNOMTL,NOM,NOMTL,3.3,-40,BAL,Output CM error vs VREF,mV,-18.731
NOMNOMTL,NOM,NOMTL,3.3,-40,BAL,RLD DC error vs VREF,uV,19.000
NOMNOMTL,NOM,NOMTL,3.3,-40,BAL,Gain @ 10 Hz (V/V),V/V,231.237
NOMNOMTL,NOM,NOMTL,3.3,-40,BAL,Gain @ 10 Hz (dB),dB,47.281
NOMNOMTL,NOM,NOMTL,3.3,-40,BAL,Gain error,%,-3.651
NOMNOMTL,NOM,NOMTL,3.3,-40,BAL,Gain @ 0.05 Hz,dB,47.281
NOMNOMTL,NOM,NOMTL,3.3,-40,BAL,Gain @ 150 Hz,dB,47.281
NOMNOMTL,NOM,NOMTL,3.3,-40,BAL,Gain flatness 0.05-150 Hz,dB,1.312e-06
NOMNOMTL,NOM,NOMTL,3.3,-40,BAL,-3 dB bandwidth,kHz,271.257
NOMNOMTL,NOM,NOMTL,3.3,-40,BAL,RLD loop UGF,kHz,0.839
NOMNOMTL,NOM,NOMTL,3.3,-40,BAL,RLD phase margin,deg,100.779
NOMNOMTL,NOM,NOMTL,3.3,-40,BAL,Input CM suppression @ 60 Hz,dB,54.973
NOMNOMTL,NOM,NOMTL,3.3,-40,BAL,Input CM suppression @ 150 Hz,dB,52.855
NOMNOMTL,NOM,NOMTL,3.3,-40,BAL,Input-referred noise 0.05-150 Hz,uVrms,2.538
NOMNOMTL,NOM,NOMTL,3.3,-40,BAL,RLD output excursion,mV,2.743
NOMNOMTL,NOM,NOMTL,3.3,-40,BAL,Peak |RLD current|,nA,3.065
NOMNOMTL,NOM,NOMTL,3.3,-40,BAL,Differential gain before interference,V/V,231.237
NOMNOMTL,NOM,NOMTL,3.3,-40,BAL,Differential gain during interference,V/V,231.237
NOMNOMTL,NOM,NOMTL,3.3,-40,BAL,Gain change during CM interference,%,1.720e-04
NOMNOMTH,NOM,NOMTH,3.3,125,BAL,AVDD,V,3.300
NOMNOMTH,NOM,NOMTH,3.3,125,BAL,Temperature,C,125.000
NOMNOMTH,NOM,NOMTH,3.3,125,BAL,INA target gain,V/V,240.000
NOMNOMTH,NOM,NOMTH,3.3,125,BAL,Total current,mA,5.019
NOMNOMTH,NOM,NOMTH,3.3,125,BAL,Total power,mW,16.562
NOMNOMTH,NOM,NOMTH,3.3,125,BAL,Output CM error vs VREF,mV,29.747
NOMNOMTH,NOM,NOMTH,3.3,125,BAL,RLD DC error vs VREF,uV,16.030
NOMNOMTH,NOM,NOMTH,3.3,125,BAL,Gain @ 10 Hz (V/V),V/V,231.428
NOMNOMTH,NOM,NOMTH,3.3,125,BAL,Gain @ 10 Hz (dB),dB,47.288
NOMNOMTH,NOM,NOMTH,3.3,125,BAL,Gain error,%,-3.572
NOMNOMTH,NOM,NOMTH,3.3,125,BAL,Gain @ 0.05 Hz,dB,47.288
NOMNOMTH,NOM,NOMTH,3.3,125,BAL,Gain @ 150 Hz,dB,47.288
NOMNOMTH,NOM,NOMTH,3.3,125,BAL,Gain flatness 0.05-150 Hz,dB,1.857e-06
NOMNOMTH,NOM,NOMTH,3.3,125,BAL,-3 dB bandwidth,kHz,227.573
NOMNOMTH,NOM,NOMTH,3.3,125,BAL,RLD loop UGF,kHz,1.082
NOMNOMTH,NOM,NOMTH,3.3,125,BAL,RLD phase margin,deg,100.544
NOMNOMTH,NOM,NOMTH,3.3,125,BAL,Input CM suppression @ 60 Hz,dB,55.161
NOMNOMTH,NOM,NOMTH,3.3,125,BAL,Input CM suppression @ 150 Hz,dB,53.655
NOMNOMTH,NOM,NOMTH,3.3,125,BAL,Input-referred noise 0.05-150 Hz,uVrms,2.943
NOMNOMTH,NOM,NOMTH,3.3,125,BAL,RLD output excursion,mV,2.743
NOMNOMTH,NOM,NOMTH,3.3,125,BAL,Peak |RLD current|,nA,3.074
NOMNOMTH,NOM,NOMTH,3.3,125,BAL,Differential gain before interference,V/V,231.428
NOMNOMTH,NOM,NOMTH,3.3,125,BAL,Differential gain during interference,V/V,231.428
NOMNOMTH,NOM,NOMTH,3.3,125,BAL,Gain change during CM interference,%,3.495e-04
NOMVLTL,NOM,VLTL,3,-40,BAL,AVDD,V,3.000
NOMVLTL,NOM,VLTL,3,-40,BAL,Temperature,C,-40.000
NOMVLTL,NOM,VLTL,3,-40,BAL,INA target gain,V/V,240.000
NOMVLTL,NOM,VLTL,3,-40,BAL,Total current,mA,3.641
NOMVLTL,NOM,VLTL,3,-40,BAL,Total power,mW,10.923
NOMVLTL,NOM,VLTL,3,-40,BAL,Output CM error vs VREF,mV,-18.696
NOMVLTL,NOM,VLTL,3,-40,BAL,RLD DC error vs VREF,uV,17.043
NOMVLTL,NOM,VLTL,3,-40,BAL,Gain @ 10 Hz (V/V),V/V,231.204
NOMVLTL,NOM,VLTL,3,-40,BAL,Gain @ 10 Hz (dB),dB,47.280
NOMVLTL,NOM,VLTL,3,-40,BAL,Gain error,%,-3.665
NOMVLTL,NOM,VLTL,3,-40,BAL,Gain @ 0.05 Hz,dB,47.280
NOMVLTL,NOM,VLTL,3,-40,BAL,Gain @ 150 Hz,dB,47.280
NOMVLTL,NOM,VLTL,3,-40,BAL,Gain flatness 0.05-150 Hz,dB,1.359e-06
NOMVLTL,NOM,VLTL,3,-40,BAL,-3 dB bandwidth,kHz,266.538
NOMVLTL,NOM,VLTL,3,-40,BAL,RLD loop UGF,kHz,0.839
NOMVLTL,NOM,VLTL,3,-40,BAL,RLD phase margin,deg,100.753
NOMVLTL,NOM,VLTL,3,-40,BAL,Input CM suppression @ 60 Hz,dB,54.970
NOMVLTL,NOM,VLTL,3,-40,BAL,Input CM suppression @ 150 Hz,dB,52.834
