Parameter,Unit,NOM,FF,SS,FS,SF,VL,VH,TL,TH
Set conditions,,,,,,,,,,
AVDD,V,3.300,3.300,3.300,3.300,3.300,3.000,3.600,3.300,3.300
Temperature,C,27.000,27.000,27.000,27.000,27.000,27.000,27.000,-40.000,125.000
S1 target gain,V/V,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000
S2 target gain,V/V,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
INA target gain,V/V,240.000,240.000,240.000,240.000,240.000,240.000,240.000,240.000,240.000
,,,,,,,,,,
Operating point,,,,,,,,,,
Total current,mA,4.441,5.145,3.874,4.585,4.297,4.339,4.522,3.734,5.019
Total power,mW,14.655,16.980,12.786,15.130,14.181,13.017,16.279,12.322,16.562
Output CM error,mV,-0.057,-3.705,4.040,0.756,-0.843,-0.027,-0.079,-18.731,29.747
RLD DC error,uV,17.428,14.531,20.379,16.535,18.297,15.587,19.262,19.000,16.030
,,,,,,,,,,
INA,,,,,,,,,,
S1 gain,V/V,58.330,58.267,58.370,58.328,58.330,58.321,58.337,58.309,58.339
S1 gain dB,dB,35.318,35.308,35.324,35.318,35.318,35.317,35.319,35.315,35.319
S1 gain error,%,-2.783,-2.889,-2.717,-2.787,-2.783,-2.798,-2.772,-2.818,-2.768
S1 -3 dB bandwidth,kHz,263.040,332.395,212.115,269.453,256.554,258.369,266.536,274.155,229.896
S2 gain,V/V,3.966,3.965,3.967,3.966,3.966,3.966,3.966,3.966,3.967
S2 gain dB,dB,11.968,11.965,11.970,11.968,11.968,11.968,11.968,11.966,11.969
S2 gain error,%,-0.842,-0.873,-0.822,-0.843,-0.841,-0.844,-0.840,-0.858,-0.826
S2 -3 dB bandwidth,kHz,2581.724,3321.529,2050.092,2649.713,2513.819,2532.932,2616.444,2663.441,2283.659
INA gain,V/V,231.355,231.032,231.562,231.345,231.358,231.316,231.386,231.237,231.428
INA gain dB,dB,47.286,47.273,47.293,47.285,47.286,47.284,47.287,47.281,47.288
INA gain error,%,-3.602,-3.737,-3.516,-3.606,-3.601,-3.618,-3.589,-3.651,-3.572
Gain flatness 0.05-150 Hz,dB,1.419e-06,8.876e-07,2.185e-06,1.352e-06,1.491e-06,1.470e-06,1.382e-06,1.312e-06,1.857e-06
INA -3 dB bandwidth,kHz,260.399,329.193,209.917,266.755,253.974,255.787,263.850,271.319,227.661
,,,,,,,,,,
RLD,,,,,,,,,,
RLD loop UGF,kHz,0.946,1.313,0.717,0.946,0.946,0.946,0.946,0.839,1.082
RLD phase margin,deg,100.673,100.300,100.907,100.685,100.661,100.645,100.699,100.779,100.544
Input CM suppression @ 60 Hz,dB,55.072,55.253,54.808,55.073,55.070,55.068,55.075,54.973,55.161
Input CM suppression @ 150 Hz,dB,53.260,54.094,52.242,53.268,53.251,53.240,53.277,52.855,53.655
RLD Swing Ratio,%,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914
RLD Peak Current,nA,3.069,3.085,3.059,3.068,3.070,3.072,3.066,3.065,3.074
CM Interference Gain Change,%,9.938e-05,-9.466e-05,-4.061e-04,-3.410e-04,-6.257e-05,2.670e-04,1.682e-04,1.720e-04,3.495e-04
,,,,,,,,,,
NOISE,,,,,,,,,,
Input-referred noise 0.05-150 Hz,uVrms,2.671,2.530,2.819,2.635,2.709,2.671,2.672,2.538,2.943
