Parameter,Unit,NOM,FF,SS,FS,SF,VL,VH,TL,TH
Set conditions,,,,,,,,,,
AVDD,V,3.300,3.300,3.300,3.300,3.300,3.000,3.600,3.300,3.300
Temperature,C,27.000,27.000,27.000,27.000,27.000,27.000,27.000,-40.000,125.000
S1 target gain,V/V,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000
S2 target gain,V/V,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
INA target gain,V/V,240.000,240.000,240.000,240.000,240.000,240.000,240.000,240.000,240.000
,,,,,,,,,,
Operating point,,,,,,,,,,
Total current,mA,4.441,5.145,3.874,4.585,4.297,4.339,4.522,3.734,5.019
Total power,mW,14.655,16.980,12.786,15.130,14.181,13.017,16.279,12.322,16.562
Output CM error,mV,-0.057,-3.705,4.039,0.756,-0.843,-0.027,-0.079,-18.731,29.747
RLD DC error,uV,17.413,14.520,20.361,16.521,18.283,15.574,19.246,18.984,16.018
,,,,,,,,,,
INA,,,,,,,,,,
S1 gain,V/V,60.000,59.935,60.042,59.998,60.001,59.991,60.008,59.980,60.009
S1 gain dB,dB,35.563,35.554,35.569,35.563,35.563,35.562,35.564,35.560,35.564
S1 gain error,%,7.192e-04,-0.108,0.070,-0.003,0.001,-0.014,0.013,-0.034,0.015
S1 -3 dB bandwidth,kHz,255.606,322.970,206.145,261.838,249.307,251.074,259.006,266.428,223.399
S2 gain,V/V,4.000,3.999,4.001,4.000,4.000,4.000,4.000,3.999,4.001
S2 gain dB,dB,12.041,12.038,12.043,12.041,12.041,12.041,12.041,12.040,12.042
S2 gain error,%,-0.002,-0.033,0.019,-0.003,-9.065e-04,-0.004,-1.050e-05,-0.017,0.014
S2 -3 dB bandwidth,kHz,2564.758,3299.329,2036.816,2632.300,2497.262,2516.358,2599.236,2646.033,2268.492
INA gain,V/V,239.998,239.661,240.213,239.987,240.001,239.957,240.030,239.877,240.071
INA gain dB,dB,47.604,47.592,47.612,47.604,47.604,47.603,47.605,47.600,47.607
INA gain error,%,-9.357e-04,-0.141,0.089,-0.005,5.409e-04,-0.018,0.013,-0.051,0.029
Gain flatness 0.05-150 Hz,dB,1.502e-06,9.399e-07,2.312e-06,1.431e-06,1.579e-06,1.556e-06,1.463e-06,1.388e-06,1.965e-06
INA -3 dB bandwidth,kHz,253.149,319.992,204.101,259.329,246.903,248.669,256.508,263.786,221.321
,,,,,,,,,,
RLD,,,,,,,,,,
RLD loop UGF,kHz,0.946,1.313,0.717,0.946,0.946,0.946,0.946,0.839,1.082
RLD phase margin,deg,100.675,100.302,100.909,100.687,100.663,100.647,100.701,100.781,100.546
Input CM suppression @ 60 Hz,dB,55.072,55.253,54.808,55.073,55.070,55.068,55.075,54.973,55.161
Input CM suppression @ 150 Hz,dB,53.260,54.094,52.242,53.268,53.251,53.240,53.277,52.855,53.655
RLD Swing Ratio,%,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914
RLD Peak Current,nA,3.069,3.085,3.059,3.068,3.070,3.072,3.066,3.065,3.074
CM Interference Gain Change,%,4.489e-04,-1.239e-04,-6.506e-04,-1.157e-04,8.089e-05,2.156e-04,-1.741e-05,1.689e-04,4.466e-04
,,,,,,,,,,
NOISE,,,,,,,,,,
Input-referred noise 0.05-150 Hz,uVrms,2.671,2.530,2.818,2.635,2.709,2.671,2.672,2.537,2.943
