Parameter,Unit,Spec,Min,MeanMinus3Sigma,MeanMinusSigma,Mean,MeanPlusSigma,MeanPlus3Sigma,Max,Yield_pct
Total current,mA,≤6.2,3.62429,3.86228874327023,4.24780323700406,4.44056048387097,4.63331773073788,5.0188322244717,5.11662,100.00
Total power,mW,≤22,11.9601,12.7455579188021,14.0177528188122,14.6538502688172,15.2899477188222,16.5621426188323,16.8848,100.00
Output CM error,mV,±40,-0.0737144,-0.0917626396720222,-0.0313210313996346,-0.00110022726344086,0.0291205768727529,0.0895621851451405,0.105159,100.00
RLD DC error,uV,±30,-13.4742,-13.8383738731428,-4.43784721398665,0.262416115591398,4.96267944516945,14.3632061043256,12.9271,100.00
Input-referred offset,uV,±300,-15.1495,-349.10279646522,-109.626103059016,10.112243644086,129.850590347188,369.327283753392,1772.18,99.19
S1 gain,V/V,,59.9901,59.9792940927319,59.9932869197995,60.0002833333333,60.0072797468671,60.0212725739348,60.0653,
S1 gain error,%,±0.25,-0.0165000000000082,-0.0345098454468086,-0.0111884670007879,0.000472222222222481,0.0121329114452328,0.0354542898912536,0.108833333333336,100.00
S2 gain,V/V,,0.030352,2.89325954643939,3.60585187533643,3.96214803978495,4.31844420423346,5.0310365331305,4.00001,
S2 gain error,%,±0.10,-99.2412,-27.6685113390153,-9.85370311658931,-0.946299005376344,7.96110510583663,25.7759133282626,0.000249999999990536,95.43
INA gain,V/V,,1.8231,173.595852396483,216.350618254025,237.728001182796,259.105384111567,301.860149969109,240.031,
INA gain error,%,±0.30,-99.2404,-27.6684183817989,-9.85393062621614,-0.946686748424731,7.96055712936667,25.7750448849495,0.0129583,95.43
RLD loop UGF,kHz,1±0.5,0.945861,0.945853060125745,0.945884328285642,0.945899962365591,0.94591559644554,0.945946864605437,0.945949,100.00
RLD phase margin,deg,≥95,100.651,100.650175396474,100.6671570318,100.675647849462,100.684138667125,100.70112030245,100.699,100.00
Input CM suppression @ 60 Hz,dB,≥54,55.0748,55.0741392021546,55.0761250828887,55.0771180232558,55.0781109636229,55.080096844357,55.08,100.00
Input CM suppression @ 150 Hz,dB,≥51,53.2516,53.247597692392,53.2592693858361,53.2651052325581,53.2709410792802,53.2826127727243,53.2818,100.00
