Parameter,Unit,Spec,Min,MeanMinus3Sigma,MeanMinusSigma,Mean,MeanPlusSigma,MeanPlus3Sigma,Max,Yield_pct
Total current,mA,≤6.2,4.2448,4.19598633820412,4.36635807940138,4.45154395,4.53672982059863,4.70710156179588,4.70379,100.00
Total power,mW,≤22,14.0078,13.8467482082213,14.4089804027405,14.6900965,14.9712125972596,15.5334447917787,15.5225,100.00
Output CM error,mV,±40,-0.0153228,-0.0212129277869725,-0.00692166083499082,0.000223972641,0.00736960611699082,0.0216608730689725,0.0232408,100.00
RLD DC error,uV,±30,0.0150373,0.0148546766812973,0.0165364828937658,0.017377386,0.0182182891062342,0.0199000953187027,0.0199489,100.00
Input-referred offset,uV,±300,-1.10133e-06,-1.46982493156161e-06,-5.71568175987204e-07,-1.224397982e-07,3.26688579587204e-07,1.22494533516161e-06,1.03211e-06,100.00
S1 gain,V/V,,59.9912,59.9899954786003,59.9968261595334,60.0002415,60.0036568404666,60.0104875213997,60.0098,
S1 gain error,%,±0.25,-0.0146666666666628,-0.0166742023327922,-0.00528973411093066,0.000402500000000139,0.00609473411093093,0.0174792023327925,0.0163333333333293,100.00
S2 gain,V/V,,3.99984,3.99982389474987,3.99989459824996,3.99992995,3.99996530175004,4.00003600525013,4.00002,
S2 gain error,%,±0.10,-0.004000000000004,-0.00440263125328164,-0.00263504375109424,-0.00175125000000054,-0.000867456248906836,0.000900131253280565,0.000500000000003276,100.00
INA gain,V/V,,239.956,239.950175912985,239.981238637662,239.99677,240.012301362338,240.043364087015,240.04,
INA gain error,%,±0.30,-0.0184583,-0.0207477687071458,-0.00780884019471526,-0.0013393759385,0.00513008831771526,0.0180690168301458,0.01675,100.00
RLD loop UGF,kHz,1±0.5,0.945887,0.945887799168249,0.94589566972275,0.945899605,0.94590354027725,0.94591141083175,0.945909,100.00
RLD phase margin,deg,≥95,100.651,100.649666977066,100.666765659022,100.675315,100.683864340978,100.700963022934,100.7,100.00
Input CM suppression @ 60 Hz,dB,≥54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,N/A
Input CM suppression @ 150 Hz,dB,≥51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,N/A
