Parameter,Unit,Spec,Min,MeanMinus3Sigma,MeanMinusSigma,Mean,MeanPlusSigma,MeanPlus3Sigma,Max,Yield_pct
Total current,mA,≤6.2,3.55888,3.92278527314412,4.26202972438137,4.43165195,4.60127417561863,4.94051862685588,4.88322,100.00
Total power,mW,≤22,11.7443,12.9451967262603,14.0647012420868,14.6244535,15.1842057579132,16.3037102737397,16.1146,100.00
Output CM error,mV,±40,-0.0751051,-0.0881560333773933,-0.0299985728791311,-0.00091984263,0.0281588876191311,0.0863163481173933,0.0886009,100.00
RLD DC error,uV,±30,-13.4786,-13.9366949514474,-4.45119571744913,0.29155389955,5.03430351654913,14.5198027505474,12.9259,100.00
Input-referred offset,uV,±300,-15.2241,-489.8701362916,-153.193639167867,15.144609394,183.482857955867,520.1593550796,2219.24,99.00
S1 gain,V/V,,59.9949,59.9796165791421,59.9936461930474,60.000661,60.0076758069527,60.0217054208579,60.068,
S1 gain error,%,±0.25,-0.00850000000000017,-0.0339723680965718,-0.0105896782544133,0.00110166666666595,0.0127930115877452,0.0361757014299037,0.113333333333321,100.00
S2 gain,V/V,,0.0243117,2.76551183994926,3.55832495698309,3.9547315155,4.35113807401691,5.14395119105074,3.99994,
S2 gain error,%,±0.10,-99.3922075,-30.8622040012685,-11.0418760754228,-1.1317121125,8.77845185042285,28.5987797762685,-0.00149999999999872,95.50
INA gain,V/V,,1.46034,165.931979556289,213.499886018763,237.28383925,261.067792481237,308.635698943711,240.013,
INA gain error,%,±0.30,-99.3915,-30.8616638393002,-11.0417052685647,-1.131725983197,8.77825330217074,28.5982118729062,0.005375,95.50
RLD loop UGF,kHz,1±0.5,0.945865,0.945853260245712,0.945884230081904,0.945899715,0.945915199918096,0.945946169754288,0.945952,100.00
RLD phase margin,deg,≥95,100.673,100.672652218771,100.674247406257,100.675045,100.675842593743,100.677437781229,100.677,100.00
Input CM suppression @ 60 Hz,dB,≥54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,N/A
Input CM suppression @ 150 Hz,dB,≥51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,N/A
