Parameter,Unit,Spec,Min,MeanMinus3Sigma,MeanMinusSigma,Mean,MeanPlusSigma,MeanPlus3Sigma,Max,Yield_pct
FDC bias current,uA,40±10,38.5202,38.2272401932389,39.4800407310796,40.106441,40.7328412689204,41.9856418067611,41.8215,100.00
CMFB bias current,uA,40±10,38.532,38.2272086558958,39.4759978852986,40.1003925,40.7247871147014,41.9735763441041,41.7708,100.00
Total current,mA,≤2.5,1.52232,1.49794840442801,1.57099256814267,1.60751465,1.64403673185733,1.71708089557199,1.69379,100.00
Total power,mW,≤9,5.02367,4.94323273045313,5.18427714348438,5.30479935,5.42532155651562,5.66636596954687,5.5895,100.00
Output CM error,mV,±25,-11.3979,-13.069684047944,-4.13542089694801,0.33171067855,4.79884225404801,13.733105405044,15.4089,100.00
LPF input offset,mV,±6,-4.61238,-4.79434939771493,-1.65832803430498,-0.0903173525999999,1.47769332910498,4.61371469251493,5.06817,100.00
Passband gain,V/V,,0.999665,0.999665692734577,0.999709277578193,0.99973107,0.999752862421808,0.999796447265423,0.999781,
Passband gain error,%,±0.5,-0.0334999999999974,-0.0334307265422852,-0.0290722421807618,-0.0268930000000002,-0.0247137578192385,-0.0203552734577152,-0.0218999999999969,100.00
LPF -1 dB frequency,Hz,≥150,224.388,215.063605639944,244.584678546648,259.345215,274.105751453352,303.626824360056,297.071,100.00
LPF -3 dB frequency,Hz,,439.608,421.321371780251,479.231220593417,508.186145,537.141069406583,595.050918219749,582.188,
CMRR @ 60 Hz,dB,≥80,91.2176,75.6073195904885,97.1097725301628,107.860999,118.612225469837,140.114678409512,151.259,100.00
CMRR @ 150 Hz,dB,≥80,91.2084,76.2655250502395,97.2721573500798,107.7754735,118.27878964992,139.28542194976,147.169,100.00
