Parameter,Unit,Spec,Min,MeanMinus3Sigma,MeanMinusSigma,Mean,MeanPlusSigma,MeanPlus3Sigma,Max,Yield_pct
FDC bias current,uA,40±10,39.2526,39.1010980232723,39.7714356744241,40.1066045,40.4417733255759,41.1121109767278,40.9287,100.00
CMFB bias current,uA,40±10,39.2526,39.1010980232723,39.7714356744241,40.1066045,40.4417733255759,41.1121109767278,40.9287,100.00
Total current,mA,≤2.5,1.54741,1.53384089750791,1.58247293250264,1.60678895,1.63110496749736,1.6797370024921,1.68005,100.00
Total power,mW,≤9,5.10645,5.06167290457914,5.22215966819304,5.30240305,5.38264643180695,5.54313319542086,5.54415,100.00
Output CM error,mV,±25,-3.51543,-4.59979462618304,-1.28022972439435,0.3795527265,2.03933517739435,5.35890007918304,5.38053,100.00
LPF input offset,mV,±6,-1.30808e-06,-1.54576447197303e-06,-5.51812687147677e-07,-5.4836794735e-08,4.42139097677677e-07,1.43609088250303e-06,1.6564e-06,100.00
Passband gain,V/V,,0.999665,0.999665717106719,0.999709299035573,0.99973109,0.999752880964427,0.999796462893281,0.999781,
Passband gain error,%,±0.5,-0.0334999999999974,-0.0334282893280616,-0.0290700964426872,-0.0268910000000001,-0.0247119035573129,-0.0203537106719385,-0.0218999999999969,100.00
LPF -1 dB frequency,Hz,≥150,224.388,215.06358862854,244.584659542847,259.345195,274.105730457153,303.62680137146,297.071,100.00
LPF -3 dB frequency,Hz,,439.608,421.321419060665,479.231263020222,508.186185,537.141106979778,595.050950939335,582.188,
CMRR @ 60 Hz,dB,≥80,220.589,155.428796195631,213.558308731877,242.623065,271.687821268123,329.817333804369,331.629,100.00
CMRR @ 150 Hz,dB,≥80,220.474,157.048316454937,213.851115484979,242.252515,270.653914515021,327.456713545063,315.168,100.00
