Parameter,Unit,Value
G2,,
Total current,uA,8856.83
Total power,mW,29.2275
Expected gain,V/V,480
Expected gain,dB,53.6248
AC gain error @ 0.05 Hz,dB,-1.05241
AC gain error @ 60 Hz,dB,-0.618234
AC gain error @ 150 Hz,dB,-1.03293
CMRR @ 0.05 Hz,dB,95.9533
CMRR @ 60 Hz,dB,147.635
CMRR @ 150 Hz,dB,148.037
CMRR @ 1 kHz,dB,148.096
PSRR+ @ 0.05 Hz,dB,110.408
PSRR+ @ 60 Hz,dB,110.203
PSRR+ @ 150 Hz,dB,109.798
PSRR+ @ 1 kHz,dB,102.316
PSRR- @ 0.05 Hz,dB,95.9133
PSRR- @ 60 Hz,dB,110.198
PSRR- @ 150 Hz,dB,109.795
PSRR- @ 1 kHz,dB,102.316
HP -1dB corner,Hz,0.0347664
HP -3dB corner,Hz,0.0177929
LP -1dB corner,Hz,220.151
LP -3dB corner,Hz,430.163
Input-referred noise 0.05-150 Hz,uVrms,3.24527
G16,,
Total current,uA,8856.84
Total power,mW,29.2276
Expected gain,V/V,3840
Expected gain,dB,71.6866
AC gain error @ 0.05 Hz,dB,-1.51857
AC gain error @ 60 Hz,dB,-1.08441
AC gain error @ 150 Hz,dB,-1.49911
CMRR @ 0.05 Hz,dB,105.494
CMRR @ 60 Hz,dB,153.451
CMRR @ 150 Hz,dB,154.093
CMRR @ 1 kHz,dB,154.101
PSRR+ @ 0.05 Hz,dB,110.308
PSRR+ @ 60 Hz,dB,110.522
PSRR+ @ 150 Hz,dB,110.112
PSRR+ @ 1 kHz,dB,102.589
PSRR- @ 0.05 Hz,dB,105.374
PSRR- @ 60 Hz,dB,110.518
PSRR- @ 150 Hz,dB,110.111
PSRR- @ 1 kHz,dB,102.588
HP -1dB corner,Hz,0.0347656
HP -3dB corner,Hz,0.0177925
LP -1dB corner,Hz,220.151
LP -3dB corner,Hz,430.163
Input-referred noise 0.05-150 Hz,uVrms,3.24521
