Parameter,Unit,Value
"G2",,
"Total current",uA,8856.83
"Total power",mW,29.2275
"Bias current",uA,40
"VOUTP",V,1.66178
"VOUTN",V,1.63817
"Vo,vm",V,1.64998
"Vo,diff,DC",V,0.0236166
"Expected gain",V/V,480
"Expected gain",dB,53.6248
"AC gain error @ 0.05 Hz",%,-11.4111
"Tran gain error @ 0.05 Hz",%,-99.6777
"AC gain error @ 60 Hz",%,-6.87028
"Tran gain error @ 60 Hz",%,-7.13597
"AC gain error @ 150 Hz",%,-11.2122
"Tran gain error @ 150 Hz",%,-11.3401
"CMRR @ 0.05 Hz",dB,95.9533
"CMRR @ 60 Hz",dB,147.635
"CMRR @ 150 Hz",dB,148.037
"CMRR @ 1 kHz",dB,148.096
"PSRR+ @ 0.05 Hz",dB,110.408
"PSRR+ @ 60 Hz",dB,110.203
"PSRR+ @ 150 Hz",dB,109.798
"PSRR+ @ 1 kHz",dB,102.316
"PSRR- @ 0.05 Hz",dB,95.9133
"PSRR- @ 60 Hz",dB,110.198
"PSRR- @ 150 Hz",dB,109.795
"PSRR- @ 1 kHz",dB,102.316
"HP -1dB corner",Hz,0.0347664
"HP -3dB corner",Hz,0.0177929
"LP -1dB corner",Hz,220.151
"LP -3dB corner",Hz,430.163
"Input-referred noise 0.05-150 Hz",uVrms,3.24527
"",,
"G16",,
"Total current",uA,8856.84
"Total power",mW,29.2276
"Bias current",uA,40
"VOUTP",V,1.60522
"VOUTN",V,1.69473
"Vo,vm",V,1.64998
"Vo,diff,DC",V,-0.0895153
"Expected gain",V/V,3840
"Expected gain",dB,71.6866
"AC gain error @ 0.05 Hz",%,-16.0402
"Tran gain error @ 0.05 Hz",%,-99.6992
"AC gain error @ 60 Hz",%,-11.7368
"Tran gain error @ 60 Hz",%,-11.969
"AC gain error @ 150 Hz",%,-15.8518
"Tran gain error @ 150 Hz",%,-15.9494
"CMRR @ 0.05 Hz",dB,105.494
"CMRR @ 60 Hz",dB,153.451
"CMRR @ 150 Hz",dB,154.093
"CMRR @ 1 kHz",dB,154.101
"PSRR+ @ 0.05 Hz",dB,110.308
"PSRR+ @ 60 Hz",dB,110.522
"PSRR+ @ 150 Hz",dB,110.112
"PSRR+ @ 1 kHz",dB,102.589
"PSRR- @ 0.05 Hz",dB,105.374
"PSRR- @ 60 Hz",dB,110.518
"PSRR- @ 150 Hz",dB,110.111
"PSRR- @ 1 kHz",dB,102.588
"HP -1dB corner",Hz,0.0347656
"HP -3dB corner",Hz,0.0177925
"LP -1dB corner",Hz,220.151
"LP -3dB corner",Hz,430.163
"Input-referred noise 0.05-150 Hz",uVrms,3.24521
"",,
"RLD",,
"Vin,cm suppression @ 60 Hz",dB,20.2537
"Vout,diff improvement @ 60 Hz",dB,20.4714
"RLD output minimum",V,1.56688
"RLD output maximum",V,1.73272
"RLD peak current",uA,0.0913192
"",,
"THD",,
"0.5 mVpp G16 60 Hz THD",%,0.0954532
"0.5 mVpp G16 60 Hz SNR",dB,34.2397
"5 mVpp G2 60 Hz THD",%,0.0857215
"5 mVpp G2 60 Hz SNR",dB,54.4766
