Parameter,Unit,Spec,Min,MeanMinus3Sigma,MeanMinusSigma,Mean,MeanPlusSigma,MeanPlus3Sigma,Max,Yield_pct
FDC bias current,uA,40±10,39.2526,39.1010980232723,39.7714356744241,40.1066045,40.4417733255759,41.1121109767278,40.9287,100.00
CMFB bias current,uA,40±10,39.2526,39.1010980232723,39.7714356744241,40.1066045,40.4417733255759,41.1121109767278,40.9287,100.00
Total current,mA,≤2.5,1.54748,1.53390468238956,1.58250259412985,1.60680155,1.63110050587015,1.67969841761044,1.68005,100.00
Total power,mW,≤9,5.10667,5.06188797458791,5.22225882486264,5.30244425,5.38262967513736,5.54300052541209,5.54415,100.00
Output CM error,mV,±20,-3.51403,-4.597896696362,-1.27968809878733,0.3794162,2.03852049878733,5.356729096362,5.37826,100.00
G2 input offset,mV,±5,-7.25481e-07,-4.16758759511855e-07,-1.49210619730618e-07,-1.543654984e-08,1.18337520050618e-07,3.85885659831855e-07,2.49767e-07,100.00
G2 gain @ 10 Hz,V/V,,2.00971,2.00755229738135,2.01258529912712,2.0151018,2.01761830087288,2.02265130261865,2.02455,
G2 gain @ 150 Hz,V/V,,2.00971,2.00755229738135,2.01258529912712,2.0151018,2.01761830087288,2.02265130261865,2.02455,
G2 gain error,%,±5,0.4855,0.377614869067694,0.629264956355898,0.75509,0.880915043644102,1.13256513093231,1.2275,100.00
G2 -3 dB bandwidth,MHz,≥0.15,4.63929,4.46221261096057,4.85777197032019,5.05555165,5.25333132967981,5.64889068903943,5.63147,100.00
G2 CMRR @ 60 Hz,dB,≥80,229.29,220.301198480246,241.710909493415,252.415765,263.120620506585,284.530331519754,297.016,100.00
G2 CMRR @ 150 Hz,dB,≥80,229.288,220.272178855399,241.712789618466,252.433095,263.153400381534,284.594011144601,292.406,100.00
G4 input offset,mV,±5,-4.13329e-07,-3.58345973459696e-07,-1.24329085679899e-07,-7.32064179e-09,1.09687802099899e-07,3.43704689879696e-07,6.88426e-07,100.00
G4 gain @ 10 Hz,V/V,,3.9864,3.98645955768326,3.98920685256109,3.9905805,3.99195414743891,3.99470144231674,3.9947,
G4 gain @ 150 Hz,V/V,,3.9864,3.98645955768326,3.98920685256109,3.9905805,3.99195414743891,3.99470144231674,3.9947,
G4 gain error,%,±5,-0.34,-0.338511057918473,-0.269828685972824,-0.2354875,-0.201146314027176,-0.132463942081527,-0.1325,100.00
G4 -3 dB bandwidth,MHz,≥0.15,2.78763,2.68677096330114,2.91332685443371,3.0266048,3.13988274556629,3.36643863669886,3.3496,100.00
G4 CMRR @ 60 Hz,dB,≥80,213.874,198.800394773621,219.43489492454,229.752145,240.06939507546,260.703895226379,290.978,100.00
G4 CMRR @ 150 Hz,dB,≥80,214.252,202.233040586782,219.545080195594,228.2011,236.857119804406,254.169159413218,270.833,100.00
G8 input offset,mV,±5,-1.07326e-06,-1.30381193130031e-06,-4.55967416510104e-07,-3.2045159115e-08,3.91877098280104e-07,1.23972161307031e-06,9.48462e-07,100.00
G8 gain @ 10 Hz,V/V,,7.94742,7.94902486402278,7.95514048800759,7.9581983,7.96125611199241,7.96737173597722,7.96733,
G8 gain @ 150 Hz,V/V,,7.94742,7.94902486402278,7.95514048800759,7.9581983,7.96125611199241,7.96737173597722,7.96733,
G8 gain error,%,±5,-0.65725,-0.637189199715241,-0.56074389990508,-0.52252125,-0.48429860009492,-0.407853300284759,-0.408375,100.00
G8 -3 dB bandwidth,MHz,≥0.15,1.8674,1.78852689498158,1.97695363166053,2.071167,2.16538036833947,2.35380710501842,2.34402,100.00
G8 CMRR @ 60 Hz,dB,≥80,185.098,172.496976519389,190.139618839796,198.96094,207.782261160204,225.424903480611,227.421,100.00
G8 CMRR @ 150 Hz,dB,≥80,185.178,170.505780464814,189.573056821605,199.106695,208.640333178395,227.707609535186,242.754,100.00
G16 input offset,mV,±5,-7.03346e-07,-8.90445306356436e-07,-2.79107076542145e-07,2.6562038365e-08,3.32231153272145e-07,9.43569383086436e-07,5.97924e-07,100.00
G16 gain @ 10 Hz,V/V,,15.8445,15.8465113876806,15.8550391292269,15.859303,15.8635668707731,15.8720946123194,15.872,
G16 gain @ 150 Hz,V/V,,15.8445,15.8465122952836,15.8550387650945,15.859302,15.8635652349055,15.8720917047164,15.872,
G16 gain error,%,±5,-0.971875,-0.959303826995961,-0.906005442331987,-0.87935625,-0.852707057668013,-0.799408673004039,-0.8,100.00
G16 -3 dB bandwidth,MHz,≥0.15,0.837384,0.807250133976635,0.874017114658878,0.907400605,0.940784095341121,1.00755107602336,0.99964,100.00
G16 CMRR @ 60 Hz,dB,≥80,187.779,166.05665310069,193.75256770023,207.600525,221.44848229977,249.14439689931,258.396,100.00
G16 CMRR @ 150 Hz,dB,≥80,187.448,167.91991923047,194.09082974349,207.176285,220.26174025651,246.43265076953,245.927,100.00
