Parameter,Unit,Spec,NOM,FF,SS,FS,SF,VL,VH,TL,TH
Set conditions,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AVDD,V,,3.300,3.300,3.300,3.300,3.300,3.000,3.600,3.300,3.300
Temperature,C,,27.000,27.000,27.000,27.000,27.000,27.000,27.000,-40.000,125.000
Shared OP gain code,code,,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000
,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Operating point,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FDC bias current,uA,40±10,40.092,45.286,35.875,40.727,39.434,39.479,40.525,35.435,43.278
CMFB bias current,uA,40±10,40.092,45.286,35.875,40.727,39.434,39.479,40.525,35.435,43.278
Total current,mA,≤2.5,1.604,1.857,1.400,1.652,1.556,1.568,1.633,1.302,1.862
Total power,mW,≤9,5.293,6.129,4.621,5.451,5.133,4.703,5.878,4.296,6.144
Output CM error,mV,±20,0.395,-1.840,2.750,1.748,-1.018,0.365,0.415,-6.738,10.545
,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G2,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G2 target gain,V/V,,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000
G2 input offset,mV,±5,2.329e-08,8.015e-08,4.844e-08,-6.433e-08,2.144e-08,2.133e-08,-3.856e-08,-1.035e-07,-5.205e-07
G2 gain @ 10 Hz,V/V,,2.015,2.012,2.022,2.013,2.017,2.023,2.010,2.008,2.026
G2 gain @ 150 Hz,V/V,,2.015,2.012,2.022,2.013,2.017,2.023,2.010,2.008,2.026
G2 gain error,%,±5,0.751,0.604,1.115,0.660,0.832,1.152,0.515,0.375,1.317
G2 -3 dB bandwidth,MHz,≥0.15,5.053,6.637,3.941,5.203,4.904,4.958,5.116,5.276,4.367
G2 CMRR @ 60 Hz,dB,≥80,256.698,250.023,245.010,250.810,259.482,253.215,259.071,245.176,231.207
G2 CMRR @ 150 Hz,dB,≥80,256.479,250.049,245.074,250.896,259.210,252.989,259.288,245.160,231.199
G2 PSRR+ @ 60 Hz,dB,≥80,246.395,233.145,230.213,226.573,232.478,216.133,230.555,228.383,235.708
G2 PSRR+ @ 150 Hz,dB,≥80,246.262,233.122,230.226,226.569,232.525,216.137,230.546,228.413,235.697
G2 PSRR- @ 60 Hz,dB,≥80,234.094,240.760,227.492,223.465,228.057,219.275,230.377,234.734,234.005
G2 PSRR- @ 150 Hz,dB,≥80,232.714,241.502,226.906,223.061,228.875,218.935,229.597,235.232,234.710
G2 input-referred noise 0.05-150 Hz,uVrms,≤10,4.617,4.417,4.815,4.545,4.689,4.602,4.629,4.412,5.012
,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G4,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G4 target gain,V/V,,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
G4 input offset,mV,±5,-6.921e-08,-1.865e-07,-4.575e-07,-3.246e-08,1.916e-09,9.768e-09,-6.398e-08,4.504e-08,-6.418e-08
G4 gain @ 10 Hz,V/V,,3.991,3.988,3.995,3.990,3.991,3.995,3.988,3.986,3.997
G4 gain @ 150 Hz,V/V,,3.991,3.988,3.995,3.990,3.991,3.995,3.988,3.986,3.997
G4 gain error,%,±5,-0.236,-0.288,-0.134,-0.259,-0.215,-0.136,-0.294,-0.339,-0.085
G4 -3 dB bandwidth,MHz,≥0.15,3.025,3.920,2.385,3.112,2.938,2.973,3.061,3.178,2.596
G4 CMRR @ 60 Hz,dB,≥80,226.805,221.833,225.787,226.660,226.573,226.484,226.693,221.370,222.254
G4 CMRR @ 150 Hz,dB,≥80,220.287,220.389,234.813,220.186,220.212,220.182,220.186,218.996,220.377
G4 PSRR+ @ 60 Hz,dB,≥80,236.682,248.435,234.280,235.694,234.083,232.469,246.321,241.288,242.240
G4 PSRR+ @ 150 Hz,dB,≥80,236.710,248.511,234.296,235.717,234.059,232.462,246.444,241.173,242.205
G4 PSRR- @ 60 Hz,dB,≥80,217.577,213.931,214.805,217.371,216.518,216.107,217.568,213.703,213.188
G4 PSRR- @ 150 Hz,dB,≥80,211.726,212.488,220.065,211.590,211.203,210.994,211.674,211.274,211.531
G4 input-referred noise 0.05-150 Hz,uVrms,≤10,3.859,3.690,4.028,3.797,3.920,3.851,3.866,3.684,4.195
,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G8,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G8 target gain,V/V,,8.000,8.000,8.000,8.000,8.000,8.000,8.000,8.000,8.000
G8 input offset,mV,±5,9.462e-07,2.456e-07,1.373e-07,-1.905e-07,4.265e-07,8.312e-07,7.111e-07,2.143e-07,2.164e-07
G8 gain @ 10 Hz,V/V,,7.958,7.953,7.967,7.956,7.960,7.966,7.954,7.950,7.970
G8 gain @ 150 Hz,V/V,,7.958,7.953,7.967,7.956,7.960,7.966,7.954,7.950,7.970
G8 gain error,%,±5,-0.522,-0.585,-0.416,-0.547,-0.501,-0.425,-0.580,-0.628,-0.370
G8 -3 dB bandwidth,MHz,≥0.15,2.070,2.668,1.629,2.137,2.003,2.026,2.101,2.253,1.682
G8 CMRR @ 60 Hz,dB,≥80,211.955,207.973,193.428,202.563,191.621,207.828,184.741,197.365,199.520
G8 CMRR @ 150 Hz,dB,≥80,218.025,207.221,193.767,201.187,191.213,205.489,184.550,197.801,199.904
G8 PSRR+ @ 60 Hz,dB,≥80,231.664,241.701,238.711,237.793,243.735,232.343,239.790,241.993,234.689
G8 PSRR+ @ 150 Hz,dB,≥80,231.658,241.733,238.691,237.815,243.716,232.326,239.764,241.958,234.681
G8 PSRR- @ 60 Hz,dB,≥80,207.945,204.315,189.887,199.006,188.105,204.547,181.216,193.844,196.077
G8 PSRR- @ 150 Hz,dB,≥80,213.545,203.576,190.226,197.634,187.698,202.152,181.026,194.280,196.463
G8 input-referred noise 0.05-150 Hz,uVrms,≤10,3.473,3.321,3.626,3.418,3.529,3.466,3.480,3.315,3.777
,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G16,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G16 target gain,V/V,,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000
G16 input offset,mV,±5,3.383e-07,-3.840e-08,-6.553e-08,3.272e-07,3.459e-07,3.446e-07,-1.212e-07,-5.861e-09,-6.413e-08
G16 gain @ 10 Hz,V/V,,15.860,15.854,15.863,15.859,15.860,15.859,15.860,15.857,15.862
G16 gain @ 150 Hz,V/V,,15.860,15.854,15.863,15.859,15.860,15.859,15.860,15.857,15.862
G16 gain error,%,±5,-0.878,-0.910,-0.857,-0.880,-0.876,-0.882,-0.874,-0.892,-0.866
G16 -3 dB bandwidth,MHz,≥0.15,0.907,1.153,0.725,0.933,0.880,0.891,0.918,0.969,0.765
G16 CMRR @ 60 Hz,dB,≥80,188.992,215.201,215.186,188.992,188.993,194.854,188.991,207.016,206.727
G16 CMRR @ 150 Hz,dB,≥80,188.555,212.944,224.785,188.551,188.559,194.026,188.549,205.345,205.577
G16 PSRR+ @ 60 Hz,dB,≥80,269.035,282.154,278.364,269.534,272.115,275.565,261.675,280.825,283.703
G16 PSRR+ @ 150 Hz,dB,≥80,267.726,284.635,278.579,268.605,271.356,273.408,261.655,284.969,283.341
G16 PSRR- @ 60 Hz,dB,≥80,186.022,210.506,229.112,186.021,186.022,191.939,186.021,204.883,202.889
G16 PSRR- @ 150 Hz,dB,≥80,185.643,208.856,219.476,185.639,185.646,191.214,185.637,203.294,201.982
G16 input-referred noise 0.05-150 Hz,uVrms,≤10,3.280,3.136,3.425,3.228,3.332,3.274,3.286,3.131,3.567
