 cl_vin                 cl_vout                cl_err                 cl_vin_diff            cl_idd                 cl_ibias               cl_iout               
 0.000000000000000e+00  1.833092364256529e-05  1.833092364256529e-05 -1.833092364256529e-05  1.076911712037843e-07  4.000000000000000e-05  8.833417867278446e-16 
 1.000000000000000e-03  1.840702352656859e-05 -9.815929764734315e-04  9.815929764734315e-04  1.081288038005973e-07  4.000000000000000e-05  6.386558933382409e-16 
 2.000000000000000e-03  1.845865482123294e-05 -1.981541345178767e-03  1.981541345178767e-03  1.084255693662787e-07  4.000000000000000e-05  1.410385525562332e-17 
 3.000000000000000e-03  1.840984429761972e-05 -2.981590155702380e-03  2.981590155702380e-03  1.081451158442166e-07  4.000000000000000e-05  1.430505672096283e-16 
 4.000000000000000e-03  1.848726493467486e-05 -3.981512735065325e-03  3.981512735065325e-03  1.085899074312972e-07  4.000000000000000e-05  2.635018935761558e-16 
 5.000000000000000e-03  1.846254467633495e-05 -4.981537455323665e-03  4.981537455323665e-03  1.084478953455116e-07  4.000000000000000e-05  4.379909697436267e-16 
 6.000000000000000e-03  1.857486312862359e-05 -5.981425136871376e-03  5.981425136871376e-03  1.090938996985181e-07  4.000000000000000e-05  7.051747019872971e-16 
 7.000000000000000e-03  1.860357961673241e-05 -6.981396420383268e-03  6.981396420383268e-03  1.092591331758487e-07  4.000000000000000e-05 -1.722394563376409e-16 
 8.000000000000000e-03  1.854041523735606e-05 -7.981459584762644e-03  7.981459584762644e-03  1.088957837974106e-07  4.000000000000000e-05  1.551759717360689e-16 
 9.000000000000001e-03  1.863461481107962e-05 -8.981365385188922e-03  8.981365385188922e-03  1.094378621938303e-07  4.000000000000000e-05  1.818197900302436e-16 
 1.000000000000000e-02  1.857677919536211e-05 -9.981423220804640e-03  9.981423220804640e-03  1.091050028207436e-07  4.000000000000000e-05  6.590298266069071e-17 
 1.100000000000000e-02  1.864779540761176e-05 -1.098135220459239e-02  1.098135220459239e-02  1.095135725716946e-07  4.000000000000000e-05  6.737354980568925e-16 
 1.200000000000000e-02  1.871152629497349e-05 -1.198128847370503e-02  1.198128847370503e-02  1.098798683573218e-07  4.000000000000000e-05  8.762146782055706e-16 
 1.300000000000000e-02  1.882303834325287e-05 -1.298117696165675e-02  1.298117696165675e-02  1.105208198943197e-07  4.000000000000000e-05  3.232429221031130e-16 
 1.400000000000001e-02  1.877617487939411e-05 -1.398122382512061e-02  1.398122382512061e-02  1.102515042024624e-07  4.000000000000000e-05  7.618624833421062e-17 
 1.500000000000001e-02  1.883827559291972e-05 -1.498116172440709e-02  1.498116172440709e-02  1.106086487411163e-07  4.000000000000000e-05  5.223018683460208e-16 
 1.600000000000001e-02  1.888063525306331e-05 -1.598111936474694e-02  1.598111936474694e-02  1.108522873764335e-07  4.000000000000000e-05 -1.949640554430444e-18 
 1.700000000000001e-02  1.883788566480883e-05 -1.698116211433520e-02  1.698116211433520e-02  1.106064715399191e-07  4.000000000000000e-05  4.965411404180081e-16 
 1.800000000000001e-02  1.897994348114691e-05 -1.798102005651886e-02  1.798102005651886e-02  1.114235929591831e-07  4.000000000000000e-05  3.376869073841095e-16 
 1.900000000000001e-02  1.890542304628565e-05 -1.898109457695372e-02  1.898109457695372e-02  1.109949760545493e-07  4.000000000000000e-05  4.791688525620095e-16 
 2.000000000000001e-02  1.907577725165932e-05 -1.998092422274835e-02  1.998092422274835e-02  1.119744944491447e-07  4.000000000000000e-05  1.637725695718859e-15 
 2.100000000000001e-02  1.923296818542943e-05 -2.098076703181458e-02  2.098076703181458e-02  1.128782424159392e-07  4.000000000000000e-05  5.772639111321776e-16 
 2.200000000000001e-02  1.919123003388576e-05 -2.198080876996613e-02  2.198080876996613e-02  1.126384433653890e-07  4.000000000000000e-05 -4.311109832837131e-18 
 2.300000000000001e-02  1.923210596346286e-05 -2.298076789403655e-02  2.298076789403655e-02  1.128737141975862e-07  4.000000000000000e-05  7.987324430777514e-16 
 2.400000000000001e-02  1.935097652250131e-05 -2.398064902347751e-02  2.398064902347751e-02  1.135569751089983e-07  4.000000000000000e-05  6.294436866820155e-16 
 2.500000000000002e-02  1.935799470079926e-05 -2.498064200529922e-02  2.498064200529922e-02  1.135972212827257e-07  4.000000000000000e-05 -1.928637710676927e-16 
 2.600000000000002e-02  1.931240376828777e-05 -2.598068759623173e-02  2.598068759623173e-02  1.133354435205409e-07  4.000000000000000e-05  4.541576142318991e-16 
 2.700000000000002e-02  1.944882622364564e-05 -2.698055117377637e-02  2.698055117377637e-02  1.141199663198460e-07  4.000000000000000e-05  6.301234326714507e-16 
 2.800000000000002e-02  1.943842845482206e-05 -2.798056157154520e-02  2.798056157154520e-02  1.140600375045461e-07  4.000000000000000e-05  4.973350462412696e-17 
 2.900000000000002e-02  1.945877292457047e-05 -2.898054122707545e-02  2.898054122707545e-02  1.141773425470789e-07  4.000000000000000e-05  2.653015524762641e-16 
 3.000000000000002e-02  1.949148876531731e-05 -2.998050851123470e-02  2.998050851123470e-02  1.143653751066975e-07  4.000000000000000e-05  1.178306472868418e-15 
 3.100000000000002e-02  1.969443421914414e-05 -3.098030556578088e-02  3.098030556578088e-02  1.155320596856116e-07  4.000000000000000e-05  1.107448256517387e-15 
 3.200000000000002e-02  1.971297841662078e-05 -3.198028702158340e-02  3.198028702158340e-02  1.156389787767312e-07  4.000000000000000e-05  1.360726001322791e-16 
 3.300000000000002e-02  1.972164873917060e-05 -3.298027835126085e-02  3.298027835126085e-02  1.156887562294007e-07  4.000000000000000e-05  5.772210181222514e-16 
 3.400000000000002e-02  1.982842262024523e-05 -3.398017157737978e-02  3.398017157737978e-02  1.163025486414076e-07  4.000000000000000e-05  8.844713383151557e-16 
 3.500000000000002e-02  1.989854300683363e-05 -3.498010145699319e-02  3.498010145699319e-02  1.167061030787475e-07  4.000000000000000e-05  5.901683168105689e-16 
 3.600000000000003e-02  1.994645628360734e-05 -3.598005354371642e-02  3.598005354371642e-02  1.169813045098165e-07  4.000000000000000e-05  6.828916017290225e-16 
