 time                   tr_vin                 tr_vout                tr_err                 tr_vin_diff            tr_idd                 tr_iout               
 0.000000000000000e+00  1.000000000000000e+00  9.999931322398606e-01 -6.867760139361856e-06  6.867760139361856e-06  7.954132533014406e-04  7.593925488436069e-14 
 5.000000000000001e-12  1.000000000000000e+00  9.999931322399105e-01 -6.867760089512842e-06  6.867760089512842e-06  7.954132538306123e-04  1.234568003383174e-13 
 1.000000000000000e-11  1.000000000000000e+00  9.999931322399841e-01 -6.867760015905056e-06  6.867760015905056e-06  7.954132531665831e-04  1.355952387408858e-13 
 2.000000000000000e-11  1.000000000000000e+00  9.999931322400964e-01 -6.867759903550485e-06  6.867759903550485e-06  7.954132532789913e-04  1.013633621482768e-13 
 4.000000000000000e-11  1.000000000000000e+00  9.999931322402552e-01 -6.867759744788593e-06  6.867759744788593e-06  7.954132535665057e-04  7.257157837633105e-14 
 8.000000000000001e-11  1.000000000000000e+00  9.999931322404910e-01 -6.867759508977223e-06  6.867759508977223e-06  7.954132533970939e-04  6.399973144037099e-14 
 1.600000000000000e-10  1.000000000000000e+00  9.999931322410838e-01 -6.867758916229150e-06  6.867758916229150e-06  7.954132532177634e-04  3.324655365825414e-14 
 3.200000000000000e-10  1.000000000000000e+00  9.999931322403086e-01 -6.867759691386865e-06  6.867759691386865e-06  7.954132530699664e-04 -7.426813793583638e-14 
 6.400000000000001e-10  1.000000000000000e+00  9.999931322362795e-01 -6.867763720497244e-06  6.867763720497244e-06  7.954132531045146e-04 -1.884074028227414e-13 
 1.140000000000000e-09  1.000000000000000e+00  9.999931322219765e-01 -6.867778023500470e-06  6.867778023500470e-06  7.954132533246280e-04 -3.203437515253426e-13 
 1.640000000000000e-09  1.000000000000000e+00  9.999931322042451e-01 -6.867795754872397e-06  6.867795754872397e-06  7.954132526826749e-04 -3.753941602013811e-13 
 2.140000000000000e-09  1.000000000000000e+00  9.999931321844371e-01 -6.867815562916491e-06  6.867815562916491e-06  7.954132528047901e-04 -4.145817023015752e-13 
 2.640000000000000e-09  1.000000000000000e+00  9.999931321627870e-01 -6.867837213042627e-06  6.867837213042627e-06  7.954132530035187e-04 -4.222933114306216e-13 
 3.140000000000000e-09  1.000000000000000e+00  9.999931321422078e-01 -6.867857792247634e-06  6.867857792247634e-06  7.954132531269527e-04 -4.296929478897483e-13 
 3.640000000000000e-09  1.000000000000000e+00  9.999931321198177e-01 -6.867880182337416e-06  6.867880182337416e-06  7.954132530549996e-04 -4.545497311880805e-13 
 4.140000000000000e-09  1.000000000000000e+00  9.999931320967528e-01 -6.867903247220752e-06  6.867903247220752e-06  7.954132533659333e-04 -4.507605400050348e-13 
 4.640000000000001e-09  1.000000000000000e+00  9.999931320747416e-01 -6.867925258391416e-06  6.867925258391416e-06  7.954132529580763e-04 -4.618760929275818e-13 
 5.140000000000001e-09  1.000000000000000e+00  9.999931320505652e-01 -6.867949434830045e-06  6.867949434830045e-06  7.954132529478315e-04 -4.991274060728298e-13 
 5.640000000000001e-09  1.000000000000000e+00  9.999931320248289e-01 -6.867975171132024e-06  6.867975171132024e-06  7.954132527798355e-04 -5.023259586067748e-13 
 6.140000000000002e-09  1.000000000000000e+00  9.999931320003326e-01 -6.867999667425906e-06  6.867999667425906e-06  7.954132528318073e-04 -4.814915133266592e-13 
 6.640000000000002e-09  1.000000000000000e+00  9.999931319766797e-01 -6.868023320283356e-06  6.868023320283356e-06  7.954132527452924e-04 -4.717437551704503e-13 
 7.140000000000002e-09  1.000000000000000e+00  9.999931319531582e-01 -6.868046841801423e-06  6.868046841801423e-06  7.954132527863782e-04 -4.755451588067669e-13 
 7.640000000000003e-09  1.000000000000000e+00  9.999931319291252e-01 -6.868070874799237e-06  6.868070874799237e-06  7.954132528424726e-04 -5.066247421581233e-13 
 8.140000000000002e-09  1.000000000000000e+00  9.999931319024957e-01 -6.868097504275639e-06  6.868097504275639e-06  7.954132526937223e-04 -5.331279862019760e-13 
 8.640000000000002e-09  1.000000000000000e+00  9.999931318758124e-01 -6.868124187597857e-06  6.868124187597857e-06  7.954132527708713e-04 -5.378131273658943e-13 
 9.140000000000001e-09  1.000000000000000e+00  9.999931318487144e-01 -6.868151285588375e-06  6.868151285588375e-06  7.954132526549144e-04 -5.390243806857602e-13 
 9.640000000000001e-09  1.000000000000000e+00  9.999931318219100e-01 -6.868178090035926e-06  6.868178090035926e-06  7.954132530203710e-04 -5.158529159388084e-13 
 1.014000000000000e-08  1.000000000000000e+00  9.999931317971291e-01 -6.868202870879969e-06  6.868202870879969e-06  7.954132528128165e-04 -4.957856347687088e-13 
 1.064000000000000e-08  1.000000000000000e+00  9.999931317723314e-01 -6.868227668599403e-06  6.868227668599403e-06  7.954132525813237e-04 -4.898004224429547e-13 
 1.114000000000000e-08  1.000000000000000e+00  9.999931317481491e-01 -6.868251850922213e-06  6.868251850922213e-06  7.954132529645574e-04 -4.835543077064135e-13 
 1.164000000000000e-08  1.000000000000000e+00  9.999931317239760e-01 -6.868276024030173e-06  6.868276024030173e-06  7.954132527093066e-04 -5.160682992055853e-13 
 1.214000000000000e-08  1.000000000000000e+00  9.999931316965422e-01 -6.868303457752134e-06  6.868303457752134e-06  7.954132526196327e-04 -5.352207566033944e-13 
 1.264000000000000e-08  1.000000000000000e+00  9.999931316704539e-01 -6.868329546105834e-06  6.868329546105834e-06  7.954132525850860e-04 -5.297540184301402e-13 
 1.314000000000000e-08  1.000000000000000e+00  9.999931316435668e-01 -6.868356433153977e-06  6.868356433153977e-06  7.954132527187932e-04 -5.406275427333190e-13 
 1.364000000000000e-08  1.000000000000000e+00  9.999931316163911e-01 -6.868383608860107e-06  6.868383608860107e-06  7.954132526852180e-04 -5.276568071366234e-13 
 1.414000000000000e-08  1.000000000000000e+00  9.999931315908012e-01 -6.868409198834691e-06  6.868409198834691e-06  7.954132527804012e-04 -5.136491232349277e-13 
 1.464000000000000e-08  1.000000000000000e+00  9.999931315650262e-01 -6.868434973772430e-06  6.868434973772430e-06  7.954132527628338e-04 -5.029987537596989e-13 
 1.514000000000000e-08  1.000000000000000e+00  9.999931315405013e-01 -6.868459498710067e-06  6.868459498710067e-06  7.954132528440735e-04 -4.999689551254961e-13 
 1.564000000000000e-08  1.000000000000000e+00  9.999931315150293e-01 -6.868484970667943e-06  6.868484970667943e-06  7.954132529340770e-04 -5.070166508858150e-13 
 1.614000000000000e-08  1.000000000000000e+00  9.999931314897996e-01 -6.868510200375155e-06  6.868510200375155e-06  7.954132529572007e-04 -4.957501076319198e-13 
 1.664000000000000e-08  1.000000000000000e+00  9.999931314654543e-01 -6.868534545678706e-06  6.868534545678706e-06  7.954132528805615e-04 -4.731026681525906e-13 
 1.714000000000000e-08  1.000000000000000e+00  9.999931314424894e-01 -6.868557510641971e-06  6.868557510641971e-06  7.954132526776525e-04 -4.676303788642131e-13 
 1.764000000000000e-08  1.000000000000000e+00  9.999931314186913e-01 -6.868581308716593e-06  6.868581308716593e-06  7.954132529385524e-04 -4.694589161857712e-13 
 1.814000000000000e-08  1.000000000000000e+00  9.999931313955435e-01 -6.868604456533589e-06  6.868604456533589e-06  7.954132529974387e-04 -4.630407168804130e-13 
 1.864000000000000e-08  1.000000000000000e+00  9.999931313723872e-01 -6.868627612788281e-06  6.868627612788281e-06  7.954132527071248e-04 -4.672040532227573e-13 
 1.914000000000000e-08  1.000000000000000e+00  9.999931313488231e-01 -6.868651176938911e-06  6.868651176938911e-06  7.954132529887336e-04 -4.568723177555957e-13 
 1.964000000000001e-08  1.000000000000000e+00  9.999931313267000e-01 -6.868673300020056e-06  6.868673300020056e-06  7.954132528814170e-04 -4.484557170059121e-13 
 2.014000000000001e-08  1.000000000000000e+00  9.999931313039775e-01 -6.868696022510612e-06  6.868696022510612e-06  7.954132528775448e-04 -4.420741550603665e-13 
 2.064000000000001e-08  1.000000000000000e+00  9.999931312824926e-01 -6.868717507435562e-06  6.868717507435562e-06  7.954132528859236e-04 -4.279410159568886e-13 
 2.114000000000001e-08  1.000000000000000e+00  9.999931312611834e-01 -6.868738816612208e-06  6.868738816612208e-06  7.954132531554506e-04 -4.061351255302260e-13 
 2.164000000000001e-08  1.000000000000000e+00  9.999931312418791e-01 -6.868758120948115e-06  6.868758120948115e-06  7.954132531112608e-04 -3.684863525421612e-13 
 2.214000000000001e-08  1.000000000000000e+00  9.999931312243348e-01 -6.868775665247462e-06  6.868775665247462e-06  7.954132531257320e-04 -3.224098765741737e-13 
 2.264000000000001e-08  1.000000000000000e+00  9.999931312096381e-01 -6.868790361935773e-06  6.868790361935773e-06  7.954132531342577e-04 -3.026701111963326e-13 
 2.314000000000001e-08  1.000000000000000e+00  9.999931311940677e-01 -6.868805932258581e-06  6.868805932258581e-06  7.954132530117689e-04 -3.237721202253843e-13 
 2.364000000000002e-08  1.000000000000000e+00  9.999931311772609e-01 -6.868822739147795e-06  6.868822739147795e-06  7.954132527734667e-04 -3.327504938255273e-13 
 2.414000000000002e-08  1.000000000000000e+00  9.999931311607927e-01 -6.868839207307964e-06  6.868839207307964e-06  7.954132530135782e-04 -3.109656976363305e-13 
 2.464000000000002e-08  1.000000000000000e+00  9.999931311461643e-01 -6.868853835717559e-06  6.868853835717559e-06  7.954132529923005e-04 -2.809141808057802e-13 
 2.514000000000002e-08  1.000000000000000e+00  9.999931311327013e-01 -6.868867298726045e-06  6.868867298726045e-06  7.954132531826805e-04 -2.853206559905154e-13 
 2.564000000000002e-08  1.000000000000000e+00  9.999931311176322e-01 -6.868882367783158e-06  6.868882367783158e-06  7.954132528321785e-04 -2.898881135138261e-13 
 2.614000000000002e-08  1.000000000000000e+00  9.999931311037125e-01 -6.868896287537396e-06  6.868896287537396e-06  7.954132531264772e-04 -2.741296079022950e-13 
 2.664000000000002e-08  1.000000000000000e+00  9.999931310902193e-01 -6.868909780743948e-06  6.868909780743948e-06  7.954132528530557e-04 -2.594402470634793e-13 
 2.714000000000002e-08  1.000000000000000e+00  9.999931310777684e-01 -6.868922231562102e-06  6.868922231562102e-06  7.954132531287798e-04 -2.533717680108789e-13 
 2.764000000000002e-08  1.000000000000000e+00  9.999931310648821e-01 -6.868935117920749e-06  6.868935117920749e-06  7.954132530241756e-04 -2.745892402344903e-13 
 2.814000000000003e-08  1.000000000000000e+00  9.999931310503095e-01 -6.868949690486126e-06  6.868949690486126e-06  7.954132530686447e-04 -2.958366884797661e-13 
 2.864000000000003e-08  1.000000000000000e+00  9.999931310352984e-01 -6.868964701589597e-06  6.868964701589597e-06  7.954132528979640e-04 -2.930677922563515e-13 
 2.914000000000003e-08  1.000000000000000e+00  9.999931310210027e-01 -6.868978997265351e-06  6.868978997265351e-06  7.954132529277238e-04 -2.882483141064532e-13 
