 frequency       in_noise        out_noise      
 5.00000000e-02  1.96457877e-05  8.31938362e-01 
 5.11646496e-02  1.94190451e-05  8.22336514e-01 
 5.23564274e-02  1.91949526e-05  8.12846889e-01 
 5.35759653e-02  1.89734788e-05  8.03468157e-01 
 5.48239098e-02  1.87545926e-05  7.94199005e-01 
 5.61009227e-02  1.85382635e-05  7.85038136e-01 
 5.74076811e-02  1.83244612e-05  7.75984267e-01 
 5.87448777e-02  1.81131557e-05  7.67036133e-01 
 6.01132217e-02  1.79043175e-05  7.58192481e-01 
 6.15134385e-02  1.76979175e-05  7.49452075e-01 
 6.29462706e-02  1.74939267e-05  7.40813693e-01 
 6.44124776e-02  1.72923166e-05  7.32276129e-01 
 6.59128369e-02  1.70930591e-05  7.23838191e-01 
 6.74481441e-02  1.68961264e-05  7.15498699e-01 
 6.90192132e-02  1.67014910e-05  7.07256491e-01 
 7.06268772e-02  1.65091258e-05  6.99110415e-01 
 7.22719885e-02  1.63190038e-05  6.91059336e-01 
 7.39554194e-02  1.61310986e-05  6.83102132e-01 
 7.56780624e-02  1.59453840e-05  6.75237691e-01 
 7.74408309e-02  1.57618342e-05  6.67464920e-01 
 7.92446596e-02  1.55804234e-05  6.59782735e-01 
 8.10905049e-02  1.54011266e-05  6.52190066e-01 
 8.29793454e-02  1.52239186e-05  6.44685856e-01 
 8.49121826e-02  1.50487749e-05  6.37269061e-01 
 8.68900414e-02  1.48756711e-05  6.29938649e-01 
 8.89139705e-02  1.47045831e-05  6.22693600e-01 
 9.09850429e-02  1.45354872e-05  6.15532907e-01 
 9.31043568e-02  1.43683597e-05  6.08455574e-01 
 9.52730359e-02  1.42031776e-05  6.01460619e-01 
 9.74922300e-02  1.40399178e-05  5.94547070e-01 
 9.97631157e-02  1.38785577e-05  5.87713967e-01 
 1.02086897e-01  1.37190749e-05  5.80960360e-01 
 1.04464807e-01  1.35614472e-05  5.74285314e-01 
 1.06898104e-01  1.34056528e-05  5.67687902e-01 
 1.09388081e-01  1.32516701e-05  5.61167209e-01 
 1.11936057e-01  1.30994778e-05  5.54722331e-01 
 1.14543383e-01  1.29490546e-05  5.48352374e-01 
 1.17211441e-01  1.28003799e-05  5.42056457e-01 
 1.19941646e-01  1.26534330e-05  5.35833708e-01 
 1.22735446e-01  1.25081936e-05  5.29683264e-01 
 1.25594322e-01  1.23646415e-05  5.23604275e-01 
 1.28519789e-01  1.22227569e-05  5.17595899e-01 
 1.31513400e-01  1.20825202e-05  5.11657306e-01 
 1.34576740e-01  1.19439120e-05  5.05787673e-01 
 1.37711435e-01  1.18069131e-05  4.99986190e-01 
 1.40919147e-01  1.16715046e-05  4.94252056e-01 
 1.44201575e-01  1.15376678e-05  4.88584477e-01 
 1.47560461e-01  1.14053841e-05  4.82982671e-01 
 1.50997586e-01  1.12746355e-05  4.77445865e-01 
 1.54514772e-01  1.11454037e-05  4.71973295e-01 
 1.58113883e-01  1.10176709e-05  4.66564205e-01 
 1.61796828e-01  1.08914197e-05  4.61217850e-01 
 1.65565561e-01  1.07666324e-05  4.55933492e-01 
 1.69422078e-01  1.06432920e-05  4.50710404e-01 
 1.73368425e-01  1.05213815e-05  4.45547865e-01 
 1.77406695e-01  1.04008840e-05  4.40445163e-01 
 1.81539027e-01  1.02817829e-05  4.35401598e-01 
 1.85767615e-01  1.01640619e-05  4.30416474e-01 
 1.90094698e-01  1.00477048e-05  4.25489104e-01 
 1.94522572e-01  9.93269552e-06  4.20618813e-01 
 1.99053585e-01  9.81901829e-06  4.15804928e-01 
 2.03690139e-01  9.70665747e-06  4.11046790e-01 
 2.08434692e-01  9.59559761e-06  4.06343743e-01 
 2.13289759e-01  9.48582346e-06  4.01695141e-01 
 2.18257916e-01  9.37731994e-06  3.97100347e-01 
 2.23341796e-01  9.27007215e-06  3.92558729e-01 
 2.28544095e-01  9.16406537e-06  3.88069663e-01 
 2.33867571e-01  9.05928505e-06  3.83632534e-01 
 2.39315046e-01  8.95571681e-06  3.79246733e-01 
 2.44889410e-01  8.85334647e-06  3.74911658e-01 
 2.50593617e-01  8.75215997e-06  3.70626716e-01 
 2.56430692e-01  8.65214346e-06  3.66391319e-01 
 2.62403730e-01  8.55328322e-06  3.62204886e-01 
 2.68515898e-01  8.45556573e-06  3.58066845e-01 
 2.74770437e-01  8.35897760e-06  3.53976628e-01 
 2.81170663e-01  8.26350561e-06  3.49933676e-01 
 2.87719969e-01  8.16913670e-06  3.45937435e-01 
 2.94421828e-01  8.07585795e-06  3.41987360e-01 
 3.01279793e-01  7.98365661e-06  3.38082909e-01 
 3.08297501e-01  7.89252009e-06  3.34223550e-01 
 3.15478672e-01  7.80243591e-06  3.30408753e-01 
 3.22827115e-01  7.71339178e-06  3.26638000e-01 
 3.30346724e-01  7.62537554e-06  3.22910773e-01 
 3.38041488e-01  7.53837516e-06  3.19226565e-01 
 3.45915485e-01  7.45237877e-06  3.15584873e-01 
 3.53972892e-01  7.36737465e-06  3.11985199e-01 
 3.62217980e-01  7.28335118e-06  3.08427053e-01 
 3.70655121e-01  7.20029692e-06  3.04909949e-01 
 3.79288788e-01  7.11820055e-06  3.01433408e-01 
 3.88123558e-01  7.03705087e-06  2.97996957e-01 
 3.97164117e-01  6.95683683e-06  2.94600126e-01 
 4.06415258e-01  6.87754750e-06  2.91242454e-01 
 4.15881886e-01  6.79917210e-06  2.87923483e-01 
 4.25569019e-01  6.72169995e-06  2.84642762e-01 
 4.35481795e-01  6.64512051e-06  2.81399843e-01 
 4.45625469e-01  6.56942336e-06  2.78194286e-01 
 4.56005420e-01  6.49459822e-06  2.75025656e-01 
 4.66627150e-01  6.42063490e-06  2.71893520e-01 
 4.77496293e-01  6.34752336e-06  2.68797454e-01 
 4.88618610e-01  6.27525367e-06  2.65737037e-01 
 5.00000000e-01  6.20381601e-06  2.62711853e-01 
 5.11646496e-01  6.13320068e-06  2.59721492e-01 
 5.23564274e-01  6.06339809e-06  2.56765547e-01 
 5.35759653e-01  5.99439878e-06  2.53843617e-01 
 5.48239098e-01  5.92619338e-06  2.50955307e-01 
 5.61009227e-01  5.85877265e-06  2.48100224e-01 
 5.74076811e-01  5.79212745e-06  2.45277982e-01 
 5.87448777e-01  5.72624874e-06  2.42488197e-01 
 6.01132217e-01  5.66112760e-06  2.39730492e-01 
 6.15134385e-01  5.59675521e-06  2.37004493e-01 
 6.29462706e-01  5.53312285e-06  2.34309832e-01 
 6.44124776e-01  5.47022191e-06  2.31646143e-01 
 6.59128369e-01  5.40804388e-06  2.29013065e-01 
 6.74481441e-01  5.34658035e-06  2.26410244e-01 
 6.90192132e-01  5.28582300e-06  2.23837326e-01 
 7.06268772e-01  5.22576363e-06  2.21293964e-01 
 7.22719885e-01  5.16639411e-06  2.18779814e-01 
 7.39554194e-01  5.10770642e-06  2.16294537e-01 
 7.56780624e-01  5.04969264e-06  2.13837796e-01 
 7.74408309e-01  4.99234493e-06  2.11409260e-01 
 7.92446596e-01  4.93565555e-06  2.09008600e-01 
 8.10905049e-01  4.87961686e-06  2.06635494e-01 
 8.29793454e-01  4.82422129e-06  2.04289621e-01 
 8.49121826e-01  4.76946136e-06  2.01970664e-01 
 8.68900414e-01  4.71532971e-06  1.99678310e-01 
 8.89139705e-01  4.66181903e-06  1.97412251e-01 
 9.09850429e-01  4.60892211e-06  1.95172182e-01 
 9.31043568e-01  4.55663182e-06  1.92957800e-01 
 9.52730359e-01  4.50494113e-06  1.90768807e-01 
 9.74922300e-01  4.45384308e-06  1.88604909e-01 
 9.97631157e-01  4.40333078e-06  1.86465813e-01 
 1.02086897e+00  4.35339745e-06  1.84351233e-01 
 1.04464807e+00  4.30403636e-06  1.82260884e-01 
 1.06898104e+00  4.25524089e-06  1.80194485e-01 
 1.09388081e+00  4.20700446e-06  1.78151758e-01 
 1.11936057e+00  4.15932061e-06  1.76132427e-01 
 1.14543383e+00  4.11218291e-06  1.74136223e-01 
 1.17211441e+00  4.06558505e-06  1.72162877e-01 
 1.19941646e+00  4.01952076e-06  1.70212123e-01 
 1.22735446e+00  3.97398387e-06  1.68283701e-01 
 1.25594322e+00  3.92896826e-06  1.66377350e-01 
 1.28519789e+00  3.88446789e-06  1.64492815e-01 
 1.31513400e+00  3.84047680e-06  1.62629844e-01 
 1.34576740e+00  3.79698908e-06  1.60788187e-01 
 1.37711435e+00  3.75399892e-06  1.58967596e-01 
 1.40919147e+00  3.71150055e-06  1.57167827e-01 
 1.44201575e+00  3.66948827e-06  1.55388640e-01 
 1.47560461e+00  3.62795647e-06  1.53629796e-01 
 1.50997586e+00  3.58689958e-06  1.51891060e-01 
 1.54514772e+00  3.54631211e-06  1.50172199e-01 
 1.58113883e+00  3.50618862e-06  1.48472982e-01 
 1.61796828e+00  3.46652376e-06  1.46793182e-01 
 1.65565561e+00  3.42731221e-06  1.45132575e-01 
 1.69422078e+00  3.38854874e-06  1.43490938e-01 
 1.73368425e+00  3.35022816e-06  1.41868052e-01 
 1.77406695e+00  3.31234536e-06  1.40263700e-01 
 1.81539027e+00  3.27489528e-06  1.38677667e-01 
 1.85767615e+00  3.23787291e-06  1.37109743e-01 
 1.90094698e+00  3.20127332e-06  1.35559716e-01 
 1.94522572e+00  3.16509162e-06  1.34027381e-01 
 1.99053585e+00  3.12932299e-06  1.32512532e-01 
 2.03690139e+00  3.09396264e-06  1.31014968e-01 
 2.08434692e+00  3.05900588e-06  1.29534488e-01 
 2.13289759e+00  3.02444804e-06  1.28070895e-01 
 2.18257916e+00  2.99028451e-06  1.26623994e-01 
 2.23341796e+00  2.95651075e-06  1.25193592e-01 
 2.28544095e+00  2.92312226e-06  1.23779499e-01 
 2.33867571e+00  2.89011458e-06  1.22381525e-01 
 2.39315046e+00  2.85748334e-06  1.20999484e-01 
 2.44889410e+00  2.82522418e-06  1.19633193e-01 
 2.50593617e+00  2.79333282e-06  1.18282469e-01 
