 frequency              onoise_spectrum       
 1.000000000000000e-02  3.750179098380815e-01 
 1.023292992280754e-02  3.704165067416405e-01 
 1.047128548050899e-02  3.658721285141977e-01 
 1.071519305237606e-02  3.613840625422285e-01 
 1.096478196143185e-02  3.569516051769417e-01 
 1.122018454301963e-02  3.525740616209259e-01 
 1.148153621496882e-02  3.482507458162358e-01 
 1.174897554939529e-02  3.439809803338974e-01 
 1.202264434617412e-02  3.397640962648159e-01 
 1.230268770812381e-02  3.355994331120689e-01 
 1.258925411794167e-02  3.314863386845660e-01 
 1.288249551693134e-02  3.274241689920570e-01 
 1.318256738556407e-02  3.234122881414742e-01 
 1.348962882591653e-02  3.194500682345883e-01 
 1.380384264602884e-02  3.155368892669642e-01 
 1.412537544622754e-02  3.116721390281977e-01 
 1.445439770745927e-02  3.078552130034196e-01 
 1.479108388168207e-02  3.040855142760476e-01 
 1.513561248436207e-02  3.003624534317735e-01 
 1.548816618912481e-02  2.966854484637673e-01 
 1.584893192461113e-02  2.930539246790852e-01 
 1.621810097358929e-02  2.894673146062630e-01 
 1.659586907437560e-02  2.859250579040840e-01 
 1.698243652461744e-02  2.824266012715020e-01 
 1.737800828749375e-02  2.789713983587082e-01 
 1.778279410038922e-02  2.755589096793256e-01 
 1.819700858609983e-02  2.721886025237168e-01 
 1.862087136662867e-02  2.688599508733924e-01 
 1.905460717963246e-02  2.655724353165033e-01 
 1.949844599758044e-02  2.623255429644056e-01 
 1.995262314968879e-02  2.591187673692840e-01 
 2.041737944669528e-02  2.559516084428188e-01 
 2.089296130854039e-02  2.528235723758847e-01 
 2.137962089502231e-02  2.497341715592680e-01 
 2.187761623949552e-02  2.466829245053886e-01 
 2.238721138568339e-02  2.436693557710148e-01 
 2.290867652767772e-02  2.406929958809580e-01 
 2.344228815319921e-02  2.377533812527343e-01 
 2.398832919019489e-02  2.348500541221818e-01 
 2.454708915685028e-02  2.319825624700204e-01 
 2.511886431509578e-02  2.291504599493427e-01 
 2.570395782768862e-02  2.263533058140240e-01 
 2.630267991895379e-02  2.235906648480400e-01 
 2.691534803926913e-02  2.208621072956795e-01 
 2.754228703338164e-02  2.181672087926430e-01 
 2.818382931264451e-02  2.155055502980130e-01 
 2.884031503126603e-02  2.128767180270876e-01 
 2.951209226666382e-02  2.102803033850650e-01 
 3.019951720402013e-02  2.077159029015679e-01 
 3.090295432513587e-02  2.051831181659982e-01 
 3.162277660168375e-02  2.026815557637104e-01 
 3.235936569296278e-02  2.002108272129942e-01 
 3.311311214825906e-02  1.977705489028545e-01 
 3.388441561392020e-02  1.953603420315815e-01 
 3.467368504525311e-02  1.929798325460970e-01 
 3.548133892335749e-02  1.906286510820708e-01 
 3.630780547701008e-02  1.883064329047945e-01 
 3.715352290971719e-02  1.860128178508048e-01 
 3.801893963205605e-02  1.837474502702467e-01 
 3.890451449942799e-02  1.815099789699658e-01 
 3.981071705534966e-02  1.793000571573218e-01 
 4.073802778041120e-02  1.771173423847139e-01 
 4.168693834703347e-02  1.749614964948088e-01 
 4.265795188015920e-02  1.728321855664615e-01 
 4.365158322401652e-02  1.707290798613217e-01 
 4.466835921509623e-02  1.686518537711167e-01 
 4.570881896148742e-02  1.666001857656005e-01 
 4.677351412871973e-02  1.645737583411631e-01 
 4.786300923226374e-02  1.625722579700904e-01 
 4.897788193684452e-02  1.605953750504659e-01 
 5.011872336272712e-02  1.586428038567071e-01 
 5.128613839913638e-02  1.567142424907282e-01 
 5.248074602497715e-02  1.548093928337205e-01 
 5.370317963702516e-02  1.529279604985440e-01 
 5.495408738576234e-02  1.510696547827208e-01 
 5.623413251903479e-02  1.492341886220242e-01 
 5.754399373371557e-02  1.474212785446546e-01 
 5.888436553555877e-02  1.456306446259957e-01 
 6.025595860743563e-02  1.438620104439435e-01 
 6.165950018614807e-02  1.421151030348003e-01 
 6.309573444801918e-02  1.403896528497267e-01 
 6.456542290346540e-02  1.386853937117449e-01 
 6.606934480075945e-02  1.370020627732865e-01 
 6.760829753919802e-02  1.353394004742765e-01 
 6.918309709189348e-02  1.336971505007480e-01 
 7.079457843841361e-02  1.320750597439814e-01 
 7.244359600749882e-02  1.304728782601587e-01 
 7.413102413009155e-02  1.288903592305301e-01 
 7.585775750291818e-02  1.273272589220832e-01 
 7.762471166286897e-02  1.257833366487102e-01 
 7.943282347242793e-02  1.242583547328662e-01 
 8.128305161640970e-02  1.227520784677127e-01 
 8.317637711026686e-02  1.212642760797391e-01 
 8.511380382023739e-02  1.197947186918583e-01 
 8.709635899560780e-02  1.183431802869674e-01 
 8.912509381337429e-02  1.169094376719706e-01 
 9.120108393559070e-02  1.154932704422559e-01 
 9.332543007969883e-02  1.140944609466221e-01 
 9.549925860214331e-02  1.127127942526479e-01 
 9.772372209558078e-02  1.113480581125001e-01 
 9.999999999999970e-02  1.100000429291735e-01 
 1.023292992280751e-01  1.086685417231578e-01 
 1.047128548050896e-01  1.073533500995252e-01 
 1.071519305237603e-01  1.060542662154349e-01 
 1.096478196143182e-01  1.047710907480483e-01 
 1.122018454301960e-01  1.035036268628489e-01 
 1.148153621496879e-01  1.022516801823636e-01 
 1.174897554939526e-01  1.010150587552784e-01 
 1.202264434617409e-01  9.979357302594521e-02 
 1.230268770812377e-01  9.858703580427353e-02 
 1.258925411794163e-01  9.739526223600248e-02 
 1.288249551693130e-01  9.621806977334903e-02 
 1.318256738556403e-01  9.505527814602630e-02 
 1.348962882591649e-01  9.390670933262875e-02 
 1.380384264602880e-01  9.277218753237841e-02 
 1.412537544622749e-01  9.165153913722823e-02 
 1.445439770745922e-01  9.054459270431775e-02 
 1.479108388168202e-01  8.945117892877671e-02 
 1.513561248436203e-01  8.837113061687231e-02 
 1.548816618912476e-01  8.730428265949523e-02 
 1.584893192461108e-01  8.625047200598111e-02 
 1.621810097358924e-01  8.520953763826203e-02 
 1.659586907437555e-01  8.418132054534483e-02 
 1.698243652461738e-01  8.316566369811143e-02 
 1.737800828749369e-01  8.216241202443757e-02 
 1.778279410038916e-01  8.117141238462545e-02 
 1.819700858609977e-01  8.019251354714686e-02 
 1.862087136662861e-01  7.922556616469206e-02 
 1.905460717963240e-01  7.827042275052164e-02 
 1.949844599758038e-01  7.732693765511627e-02 
 1.995262314968872e-01  7.639496704312169e-02 
 2.041737944669521e-01  7.547436887058430e-02 
 2.089296130854031e-01  7.456500286247436e-02 
 2.137962089502223e-01  7.366673049049260e-02 
 2.187761623949543e-01  7.277941495115717e-02 
 2.238721138568330e-01  7.190292114416685e-02 
 2.290867652767763e-01  7.103711565103735e-02 
 2.344228815319912e-01  7.018186671400720e-02 
 2.398832919019480e-01  6.933704421520978e-02 
 2.454708915685020e-01  6.850251965610815e-02 
 2.511886431509570e-01  6.767816613718901e-02 
 2.570395782768853e-01  6.686385833791321e-02 
 2.630267991895371e-01  6.605947249691893e-02 
 2.691534803926904e-01  6.526488639247452e-02 
 2.754228703338155e-01  6.447997932317794e-02 
 2.818382931264442e-01  6.370463208889958e-02 
 2.884031503126593e-01  6.293872697196543e-02 
 2.951209226666373e-01  6.218214771857737e-02 
 3.019951720402003e-01  6.143477952046793e-02 
 3.090295432513577e-01  6.069650899678605e-02 
 3.162277660168365e-01  5.996722417621157e-02 
