 frequency              vavdd_real             vavdd_imag             vout_real              vout_imag             
 1.000000000000000e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128600255564e-01  2.211417337049042e-05 
 1.011579454259899e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128600418705e-01  2.237024342900848e-05 
 1.023292992280754e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128600585114e-01  2.262927863903868e-05 
 1.035142166679344e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128600755786e-01  2.289131333541547e-05 
 1.047128548050900e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128600930153e-01  2.315638225055522e-05 
 1.059253725177289e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128601108784e-01  2.342452051905192e-05 
 1.071519305237607e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128601291535e-01  2.369576368234377e-05 
 1.083926914021204e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128601478408e-01  2.397014769341607e-05 
 1.096478196143186e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128601669544e-01  2.424770892157251e-05 
 1.109174815262402e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128601865370e-01  2.452848415724988e-05 
 1.122018454301964e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128602066027e-01  2.481251061690306e-05 
 1.135010815672316e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128602270805e-01  2.509982594792918e-05 
 1.148153621496884e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128602480558e-01  2.539046823366377e-05 
 1.161448613840344e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128602695284e-01  2.568447599842471e-05 
 1.174897554939531e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128602914841e-01  2.598188821262288e-05 
 1.188502227437020e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128603139515e-01  2.628274429792137e-05 
 1.202264434617414e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128603369731e-01  2.658708413246999e-05 
 1.216186000646370e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128603604920e-01  2.689494805618136e-05 
 1.230268770812383e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128603845794e-01  2.720637687608307e-05 
 1.244514611771387e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128604092211e-01  2.752141187172829e-05 
 1.258925411794169e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128604344311e-01  2.784009480066058e-05 
 1.273503081016664e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128604602523e-01  2.816246790395731e-05 
 1.288249551693136e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128604866560e-01  2.848857391182153e-05 
 1.303166778452301e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128605136993e-01  2.881845604924985e-05 
 1.318256738556409e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128605413394e-01  2.915215804176097e-05 
 1.333521432163326e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128605696474e-01  2.948972412118959e-05 
 1.348962882591656e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128605985949e-01  2.983119903155348e-05 
 1.364583136588927e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128606282246e-01  3.017662803497890e-05 
 1.380384264602887e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128606585505e-01  3.052605691770464e-05 
 1.396368361055940e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128606895586e-01  3.087953199614917e-05 
 1.412537544622757e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128607213057e-01  3.123710012304745e-05 
 1.428893958511106e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128607538059e-01  3.159880869366691e-05 
 1.445439770745931e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128607870593e-01  3.196470565208350e-05 
 1.462177174456722e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128608210659e-01  3.233483949754012e-05 
 1.479108388168211e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128608558967e-01  3.270925929087577e-05 
 1.496235656094437e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128608915091e-01  3.308801466102412e-05 
 1.513561248436212e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128609279599e-01  3.347115581159816e-05 
 1.531087461682034e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128609652776e-01  3.385873352753773e-05 
 1.548816618912485e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128610034337e-01  3.425079918184991e-05 
 1.566751070108153e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128610425136e-01  3.464740474240759e-05 
