 vin_diff               vin_cm                 v(INP)                 v(INN)                 vout                   idd                   
-2.000000000000002e-02  1.650000000000000e+00  1.640000000000000e+00  1.660000000000000e+00  2.009791699050208e-07  1.997079007512005e-05 
-1.999899999999988e-02  1.650000000000000e+00  1.640000500000000e+00  1.659999500000000e+00  2.330217909783586e-07  1.997079024274430e-05 
-1.999800000000018e-02  1.650000000000000e+00  1.640001000000000e+00  1.659999000000000e+00  2.330217825155564e-07  1.997079023158101e-05 
-1.999700000000004e-02  1.650000000000000e+00  1.640001500000000e+00  1.659998500000000e+00  2.330217764500355e-07  1.997078998013459e-05 
-1.999599999999990e-02  1.650000000000000e+00  1.640002000000000e+00  1.659998000000000e+00  2.330217679892264e-07  1.997078977096719e-05 
-1.999500000000021e-02  1.650000000000000e+00  1.640002500000000e+00  1.659997500000000e+00  2.330217594891321e-07  1.997078981827355e-05 
-1.999400000000007e-02  1.650000000000000e+00  1.640003000000000e+00  1.659997000000000e+00  2.330217509931804e-07  1.997078979417477e-05 
-1.999299999999993e-02  1.650000000000000e+00  1.640003500000000e+00  1.659996500000000e+00  2.330217425451965e-07  1.997078991743886e-05 
-1.999199999999979e-02  1.650000000000000e+00  1.640004000000000e+00  1.659996000000000e+00  2.330217340688800e-07  1.997079020463485e-05 
-1.999100000000009e-02  1.650000000000000e+00  1.640004500000000e+00  1.659995500000000e+00  2.330217255719357e-07  1.997079013892963e-05 
-1.998999999999995e-02  1.650000000000000e+00  1.640005000000000e+00  1.659995000000000e+00  2.330217171149317e-07  1.997079039109831e-05 
-1.998899999999981e-02  1.650000000000000e+00  1.640005500000000e+00  1.659994500000000e+00  2.330217086333882e-07  1.997079025991688e-05 
-1.998800000000012e-02  1.650000000000000e+00  1.640006000000000e+00  1.659994000000000e+00  2.330217001573973e-07  1.997079003687769e-05 
-1.998699999999998e-02  1.650000000000000e+00  1.640006500000000e+00  1.659993500000000e+00  2.330216916997326e-07  1.997079002006170e-05 
-1.998599999999984e-02  1.650000000000000e+00  1.640007000000000e+00  1.659993000000000e+00  2.330216831848525e-07  1.997079032247971e-05 
-1.998500000000014e-02  1.650000000000000e+00  1.640007500000000e+00  1.659992500000000e+00  2.330216747396685e-07  1.997079008488038e-05 
-1.998400000000000e-02  1.650000000000000e+00  1.640008000000000e+00  1.659992000000000e+00  2.330216662697354e-07  1.997079010241390e-05 
-1.998299999999986e-02  1.650000000000000e+00  1.640008500000000e+00  1.659991500000000e+00  2.330216578017094e-07  1.997078982388064e-05 
-1.998200000000017e-02  1.650000000000000e+00  1.640009000000000e+00  1.659991000000000e+00  2.330216493405602e-07  1.997079028092612e-05 
-1.998100000000003e-02  1.650000000000000e+00  1.640009500000000e+00  1.659990500000000e+00  2.330216408919156e-07  1.997078955491655e-05 
-1.997999999999989e-02  1.650000000000000e+00  1.640010000000000e+00  1.659990000000000e+00  2.330216324282826e-07  1.997078972774906e-05 
-1.997900000000019e-02  1.650000000000000e+00  1.640010500000000e+00  1.659989500000000e+00  2.330216239783010e-07  1.997078973208182e-05 
-1.997800000000005e-02  1.650000000000000e+00  1.640011000000000e+00  1.659989000000000e+00  2.330216154852026e-07  1.997078966569233e-05 
-1.997699999999991e-02  1.650000000000000e+00  1.640011500000000e+00  1.659988500000000e+00  2.330216070318197e-07  1.997078981145363e-05 
-1.997599999999977e-02  1.650000000000000e+00  1.640012000000000e+00  1.659988000000000e+00  2.330215985786802e-07  1.997078971528890e-05 
-1.997500000000008e-02  1.650000000000000e+00  1.640012500000000e+00  1.659987500000000e+00  2.330215901313922e-07  1.997078948633167e-05 
-1.997399999999994e-02  1.650000000000000e+00  1.640013000000000e+00  1.659987000000000e+00  2.330215816547073e-07  1.997078963936211e-05 
-1.997299999999980e-02  1.650000000000000e+00  1.640013500000000e+00  1.659986500000000e+00  2.330215732083109e-07  1.997078940971929e-05 
-1.997200000000010e-02  1.650000000000000e+00  1.640014000000000e+00  1.659986000000000e+00  2.330215647534406e-07  1.997078986744527e-05 
