Parameter,Unit,NOM,FF,SS,FS,SF,VL,VH,TL,TH
"Set conditions",,,,,,,,,,
"AVDD",V,3.300,3.300,3.300,3.300,3.300,3.000,3.600,3.300,3.300
"CLoad",pF,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000
"Vin,cm",V,1.650,1.650,1.650,1.650,1.650,1.500,1.800,1.650,1.650
"Closed-loop target gain",V/V,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
"",,,,,,,,,,
"Open-loop simulation",,,,,,,,,,
"Bias current",uA,40.090,45.285,35.873,40.726,39.432,39.477,40.523,35.432,43.277
"Total current",uA,912.690,1040.995,809.312,925.974,897.989,892.077,928.998,765.773,1038.501
"Total power",mW,3.012,3.435,2.671,3.056,2.963,2.676,3.344,2.527,3.427
"DC gain",dB,93.850,92.380,94.658,92.101,94.916,92.943,94.590,94.543,93.118
"UGF",MHz,12.103,14.016,10.613,12.322,11.853,11.851,12.295,12.857,10.408
"Phase margin",deg,70.811,73.548,68.429,70.756,70.852,70.366,71.187,73.532,66.915
"Input offset",uV,14.555,19.012,9.783,19.839,9.403,14.758,14.385,13.844,13.830
"CMRR @ 60 Hz",dB,110.814,111.378,110.020,111.061,110.434,109.628,111.768,110.825,110.464
"CMRR @ 150 Hz",dB,110.814,111.377,110.020,111.060,110.434,109.628,111.768,110.825,110.464
"PSRR+ @ 60 Hz",dB,103.772,104.164,103.094,104.212,103.122,103.746,103.932,104.148,102.670
"PSRR+ @ 150 Hz",dB,99.332,100.179,98.414,99.634,98.945,99.242,99.455,99.672,98.228
"PSRR- @ 60 Hz",dB,103.772,104.164,103.094,104.212,103.123,103.746,103.932,104.149,102.670
"PSRR- @ 150 Hz",dB,99.332,100.179,98.415,99.634,98.945,99.242,99.455,99.672,98.228
"Input-referred noise 0.05-150 Hz",uVrms,1.876,1.775,1.981,1.850,1.903,1.876,1.877,1.783,2.066
"",,,,,,,,,,
"Closed-loop simulation",,,,,,,,,,
"Closed-loop gain",dB,-1.152e-04,-1.117e-04,-1.186e-04,-1.182e-04,-1.105e-04,-1.194e-04,-1.025e-04,-1.068e-04,-1.306e-04
"Gain error",%,-1.327e-03,-1.286e-03,-1.365e-03,-1.360e-03,-1.272e-03,-1.375e-03,-1.180e-03,-1.229e-03,-1.504e-03
"Vout,DC",V,1.650,1.650,1.650,1.650,1.650,1.500,1.800,1.650,1.650
"Input CM low",mV,319.000,215.000,423.000,240.000,399.000,315.000,329.000,438.000,154.000
"Input CM high",V,3.222,3.220,3.223,3.164,3.249,2.913,3.528,3.247,3.188
"Input CM high headroom",mV,78.000,80.000,77.000,136.000,51.000,87.000,72.000,53.000,112.000
"Output swing low",mV,317.018,213.008,421.000,238.026,397.020,313.003,327.014,436.014,152.000
"Output swing high",V,3.220,3.218,3.221,3.162,3.247,2.911,3.526,3.245,3.186
"SR rise",V/us,10.052,11.618,8.800,10.227,9.869,9.886,10.171,8.973,10.611
"SR fall",V/us,7.827,8.872,6.984,7.947,7.701,7.664,7.952,6.921,8.453
"Settling time",ns,163.400,145.400,181.900,160.900,165.900,165.900,161.400,170.900,165.400
