Parameter,Unit,Spec,NOM,FF,SS,FS,SF,VL,VH,TL,TH
"Set conditions",,,,,,,,,,,
"AVDD",V,,3.300,3.300,3.300,3.300,3.300,3.000,3.600,3.300,3.300
"CLoad",pF,,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000
"Vin,cm",V,,1.650,1.650,1.650,1.650,1.650,1.500,1.800,1.650,1.650
"Closed-loop target gain",V/V,,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
"",,,,,,,,,,,
"Operating point",,,,,,,,,,,
"Bias current",uA,40±10,40.092,45.286,35.875,40.727,39.434,39.479,40.525,35.435,43.278
"Total current",mA,≤1.25,0.825,0.942,0.730,0.841,0.808,0.806,0.839,0.680,0.948
"Total power",mW,≤4.5,2.721,3.109,2.408,2.774,2.665,2.419,3.020,2.244,3.128
"",,,,,,,,,,,
"Open-loop simulation",,,,,,,,,,,
"DC gain",dB,≥88,96.522,96.345,96.324,96.190,96.634,95.934,97.023,96.599,95.678
"UGF",MHz,≥8,12.835,15.068,11.066,13.115,12.548,12.566,13.041,14.448,10.616
"Phase margin",deg,≥55,67.767,61.737,72.737,67.661,67.832,67.337,68.117,72.157,62.054
"Input offset",uV,±2000,3.193,7.450,-1.468,6.456,-0.088,3.235,3.169,-1.045,6.918
"CMRR @ 60 Hz",dB,≥105,111.957,112.400,111.313,112.118,111.684,110.932,112.777,111.742,111.777
"CMRR @ 150 Hz",dB,≥105,111.957,112.400,111.313,112.118,111.684,110.932,112.777,111.742,111.777
"PSRR+ @ 60 Hz",dB,≥100,103.379,104.391,102.078,103.983,102.630,103.109,103.712,103.261,102.744
"PSRR+ @ 150 Hz",dB,≥95,99.232,100.834,97.580,99.597,98.795,99.048,99.422,99.397,98.271
"PSRR- @ 60 Hz",dB,≥100,103.379,104.390,102.078,103.983,102.631,103.109,103.712,103.261,102.743
"PSRR- @ 150 Hz",dB,≥95,99.232,100.834,97.581,99.597,98.796,99.048,99.422,99.397,98.271
"Input-referred noise 0.05-150 Hz",uVrms,≤2.5,1.873,1.780,1.969,1.849,1.898,1.874,1.874,1.774,2.074
"",,,,,,,,,,,
"Closed-loop simulation",,,,,,,,,,,
"Closed-loop gain",dB,,-1.042e-04,-1.051e-04,-1.129e-04,-1.131e-04,-1.091e-04,-1.111e-04,-1.012e-04,-1.073e-04,-1.062e-04
"Gain error",%,±0.01,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
"Vout,DC error",uV,±2000,-3.192,-7.419,1.504,-6.455,0.088,-3.204,-3.131,1.045,-6.919
"Input low",mV,≤600,106.000,24.000,255.000,40.000,203.000,148.000,157.000,292.000,0.000
"Input high",V,≥2.75,3.237,3.235,3.238,3.186,3.259,2.929,3.542,3.259,3.207
"Input high headroom",mV,≤250,63.000,65.000,62.000,114.000,41.000,71.000,58.000,41.000,93.000
"Output low",mV,≤600,107.816,25.948,256.895,41.868,203.702,149.951,158.980,293.880,0.100
"Output high",V,≥2.75,3.235,3.233,3.236,3.184,3.257,2.927,3.540,3.257,3.205
"Output high headroom",mV,≤250,64.870,66.875,63.741,115.860,42.653,72.717,59.744,42.636,94.944
"SR rise",V/us,≥6.5,9.814,12.563,7.852,9.980,9.640,9.655,9.927,8.855,10.248
"SR fall",V/us,≥5.0,7.966,9.902,6.533,8.093,7.834,7.803,8.091,7.040,8.628
"Settling time",ns,≤225,163.400,129.900,199.900,160.900,165.900,165.400,161.400,171.400,163.900
