Parameter,Unit,Spec,NOM,FF,SS,FS,SF,VL,VH,TL,TH
"Set conditions",,,,,,,,,,,
"AVDD",V,,3.300,3.300,3.300,3.300,3.300,3.000,3.600,3.300,3.300
"CLoad",pF,,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000
"Vin,cm",V,,1.650,1.650,1.650,1.650,1.650,1.500,1.800,1.650,1.650
"Closed-loop target gain",V/V,,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
"",,,,,,,,,,,
"Operating point",,,,,,,,,,,
"Bias current",uA,40±10,40.092,45.286,35.875,40.727,39.434,39.479,40.525,35.435,43.278
"Total current",mA,≤1.25,0.828,0.946,0.732,0.844,0.811,0.809,0.843,0.683,0.952
"Total power",mW,≤4.5,2.732,3.123,2.417,2.785,2.676,2.428,3.033,2.254,3.141
"",,,,,,,,,,,
"Open-loop simulation",,,,,,,,,,,
"DC gain",dB,≥88,96.522,96.345,96.324,96.190,96.634,95.934,97.023,96.599,95.678
"UGF",MHz,≥8,12.835,15.068,11.066,13.115,12.548,12.566,13.041,14.448,10.616
"Phase margin",deg,≥55,67.767,61.737,72.737,67.661,67.832,67.337,68.117,72.157,62.054
"Input offset",uV,±2000,3.193,7.450,-1.468,6.455,-0.088,3.235,3.168,-1.045,6.918
"CMRR @ 60 Hz",dB,≥105,111.957,112.400,111.313,112.118,111.684,110.932,112.777,111.742,111.777
"CMRR @ 150 Hz",dB,≥105,111.957,112.400,111.313,112.118,111.684,110.932,112.777,111.742,111.777
"PSRR+ @ 60 Hz",dB,≥100,103.379,104.390,102.078,103.984,102.630,103.109,103.712,103.260,102.743
"PSRR+ @ 150 Hz",dB,≥95,99.232,100.834,97.581,99.598,98.795,99.048,99.422,99.397,98.271
"PSRR- @ 60 Hz",dB,≥100,103.379,104.390,102.078,103.983,102.631,103.109,103.711,103.261,102.744
"PSRR- @ 150 Hz",dB,≥95,99.232,100.834,97.581,99.597,98.796,99.048,99.422,99.397,98.271
"Input-referred noise 0.05-150 Hz",uVrms,≤2.5,1.873,1.780,1.969,1.849,1.898,1.874,1.874,1.774,2.074
"",,,,,,,,,,,
"Closed-loop simulation",,,,,,,,,,,
"Closed-loop gain",dB,,-1.037e-04,-1.064e-04,-1.122e-04,-1.123e-04,-1.027e-04,-1.139e-04,-9.587e-05,-1.064e-04,-1.088e-04
"Gain error",%,±0.01,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
"Vout,DC error",uV,±2000,-3.194,-7.448,1.504,-6.423,0.124,-3.234,-3.133,1.045,-6.919
"Input low",mV,≤600,108.000,24.000,255.000,80.000,232.000,116.000,156.000,290.000,0.000
"Input high",V,≥2.75,3.237,3.235,3.238,3.186,3.259,2.929,3.542,3.259,3.207
"Input high headroom",mV,≤250,63.000,65.000,62.000,114.000,41.000,71.000,58.000,41.000,93.000
"Output low",mV,≤600,109.837,25.988,256.941,81.917,233.921,116.350,157.996,291.871,0.098
"Output high",V,≥2.75,3.235,3.233,3.236,3.184,3.257,2.927,3.540,3.257,3.205
"Output high headroom",mV,≤250,64.874,66.875,63.760,115.852,42.619,72.686,59.805,42.672,94.944
"SR rise",V/us,≥6.5,9.814,12.563,7.852,9.980,9.640,9.655,9.927,8.855,10.248
"SR fall",V/us,≥5.0,7.966,9.902,6.533,8.093,7.834,7.803,8.091,7.040,8.628
"Settling time",ns,≤225,163.400,129.900,199.900,160.900,165.900,165.400,161.400,171.400,163.900
