Parameter,Unit,NOM,FF,SS,FS,SF,VL,VH,TL,TH
"Set conditions",,,,,,,,,,
"AVDD",V,3.300,3.300,3.300,3.300,3.300,3.000,3.600,3.300,3.300
"CLoad",pF,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000
"Vin,cm",V,1.650,1.650,1.650,1.650,1.650,1.500,1.800,1.650,1.650
"Closed-loop target gain",V/V,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
"",,,,,,,,,,
"Open-loop simulation",,,,,,,,,,
"Bias current",uA,40.090,45.285,35.873,40.726,39.432,39.477,40.523,35.432,43.277
"Total current",mA,0.913,1.041,0.809,0.926,0.898,0.892,0.929,0.766,1.039
"Total power",mW,3.012,3.436,2.671,3.056,2.964,2.676,3.345,2.527,3.427
"DC gain",dB,93.855,92.388,94.660,92.110,94.919,92.949,94.596,94.547,93.123
"UGF",MHz,12.144,14.192,10.510,12.370,11.889,11.886,12.341,13.515,10.157
"Phase margin",deg,71.975,66.435,76.633,71.925,72.007,71.516,72.361,77.873,65.179
"Input offset",uV,14.532,18.990,9.758,19.818,9.379,14.738,14.359,13.822,13.805
"CMRR @ 60 Hz",dB,110.809,111.372,110.015,111.056,110.427,109.625,111.757,110.819,110.459
"CMRR @ 150 Hz",dB,110.809,111.372,110.015,111.056,110.427,109.625,111.757,110.819,110.459
"PSRR+ @ 60 Hz",dB,103.738,104.377,102.739,104.177,103.091,103.712,103.899,104.118,102.632
"PSRR+ @ 150 Hz",dB,99.258,100.730,97.695,99.559,98.873,99.168,99.381,99.606,98.148
"PSRR- @ 60 Hz",dB,103.738,104.376,102.740,104.177,103.092,103.711,103.899,104.118,102.632
"PSRR- @ 150 Hz",dB,99.258,100.729,97.695,99.559,98.873,99.168,99.381,99.606,98.148
"Input-referred noise 0.05-150 Hz",uVrms,1.876,1.775,1.981,1.850,1.903,1.876,1.877,1.783,2.066
"",,,,,,,,,,
"Closed-loop simulation",,,,,,,,,,
"Closed-loop gain",dB,-1.178e-04,-1.161e-04,-1.131e-04,-1.197e-04,-1.126e-04,-1.223e-04,-1.007e-04,-1.080e-04,-1.306e-04
"Gain error",%,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.002
"Vout,DC",V,1.650,1.650,1.650,1.650,1.650,1.500,1.800,1.650,1.650
"Input low",mV,318.000,214.000,423.000,239.000,398.000,315.000,328.000,437.000,153.000
"Input high",V,3.222,3.220,3.223,3.164,3.249,2.913,3.528,3.247,3.188
"Input high headroom",mV,78.000,80.000,77.000,136.000,51.000,87.000,72.000,53.000,112.000
"Output low",mV,316.004,212.002,421.028,237.019,396.016,313.029,326.011,435.001,151.001
"Output high",V,3.220,3.218,3.221,3.162,3.247,2.911,3.526,3.245,3.186
"Output high headroom",mV,79.837,81.809,78.858,137.827,52.836,88.699,73.857,54.593,113.900
"SR rise",V/us,9.968,12.780,7.966,10.142,9.786,9.802,10.086,8.995,10.406
"SR fall",V/us,7.763,9.600,6.389,7.883,7.637,7.600,7.887,6.881,8.372
"Settling time",ns,164.900,131.900,201.400,162.400,167.900,167.400,163.400,172.900,166.400
